symbol,entry_bar,exit_bar,entry_time,exit_time,direction,outcome,entry,tp1,tp2,sl,gross_r,net_r,cost_r,mtf_score,volume_ratio,rsi,eff_ratio,vol_atr_pct,vol_ratio_regime,adaptive_pack,adaptive_reason,risk_mult,quality_score,trend_score,volatility_score,entry_quality_score,portfolio_risk_score,session,trend_1h,trend_4h,entry_source,signals,score_tags,premium,knn_score,swing_trend
WLDUSDT,188,233,1703995200,1704036600,LONG,SL,3.7245,4.005,4.0851,3.61759755,-1.0,-1.1045205231498438,0.10452052314984385,14,2.59,54.53,0.2415349887133187,0.018769616851590874,1.6390677041767547,base,adaptive disabled,1.15,73.3,65,88,70,80,OFF_HOURS,bullish,neutral,FVG,BOS bullish | Vol 2.6x | FVG | BullWick | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.15,BOS+2 | 1h+2 | 4hN+1 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | BullWick+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1 | QualityRisk:1.15,0,0.5,bear
WLDUSDT,215,222,1704019500,1704026700,LONG,SL,3.797,4.005,4.02482,3.68309,-1.0,-1.0999999999999999,0.09999999999999984,15,2.0,65.33,0.3613445378151272,0.013087290235113305,1.368348901285421,base,adaptive disabled,1.15,75.8,65,100,70,80,LONDON,bullish,neutral,FVG,BOS bullish | Vol 2.0x | FVG | ChoCH | Engulfing | BullWick | Session:LONDON | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.15,BOS+2 | 1h+2 | 4hN+1 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | BullWick+1 | Zone:FVG+1 | Sess:LONDON | Strong1h+1 | RelStrengthRisk:1.15,0,0.6,bear
TRXUSDT,331,378,1704123900,1704167100,LONG,EXPIRED,0.107135,0.10848,0.10970624,0.10584938,0.0,-0.25000000000000244,0.25000000000000244,16,3.87,60.93,0.16384180790959788,0.0017395178317776352,1.0989659723934189,base,adaptive disabled,1.15,75.8,60,79,90,80,NEW_YORK,neutral,bullish,FVG,BOS bullish | Vol 3.9x | FVG | ChoCH | Session:NEW_YORK | Zone:FVG | MTF 16 | Risk x1.15,BOS+2 | BodyStrong+1 | 1hN+1 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:NEW_YORK | NestedOB_1h+2 | QualityRisk:1.15,0,0.65,bear
TRXUSDT,342,386,1704133800,1704174300,LONG,TRAIL,0.107125,0.10848,0.109696,0.1058395,1.1250040514959305,0.8750040514959296,0.25000000000000094,18,1.53,62.64,0.17333333333332954,0.0025730599819222045,1.721055497016298,base,adaptive disabled,1.15,73.0,60,80,80,80,OFF_HOURS,neutral,bullish,OB,BOS bullish | Vol 1.5x | FVG | OB | ChoCH | Engulfing | BullWick | Zone:OB | MTF 18 | Risk x1.15,BOS+2 | BodyStrong+1 | 1hN+1 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | OB+1 | ChoCH+1 | Engulfing+1 | BullWick+1 | Zone:OB+1 | Sess:OFF_HOURS | NestedOB_1h+2 | QualityRisk:1.15,0,0.5,bull
TRXUSDT,349,386,1704140100,1704174300,LONG,TRAIL,0.107125,0.10848,0.109696,0.1058395,1.1260947616571488,0.876094761657148,0.25000000000000094,16,1.6,60.63,0.19626168224299212,0.0018562186009510554,1.4181510124524643,base,adaptive disabled,1.15,73.6,60,83,80,80,DEAD_ZONE,neutral,bullish,OB,BOS bullish | Vol 1.6x | FVG | OB | ChoCH | Zone:OB | MTF 16 | Risk x1.15,BOS+2 | BodyStrong+1 | 1hN+1 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | OB+1 | ChoCH+1 | Zone:OB+1 | Sess:DEAD_ZONE | NestedOB_1h+2 | QualityRisk:1.15,0,0.575,bull
TRXUSDT,365,396,1704154500,1704183300,LONG,TRAIL,0.10755,0.10915,0.1101312,0.1062594,1.6330052619706448,1.3830052619706454,0.24999999999999944,15,1.81,63.46,0.20175438596491158,0.002903375133530476,1.9527012400596102,base,adaptive disabled,1.15,79.3,90,74,70,80,OFF_HOURS,bullish,bullish,FVG,BOS bullish | Vol 1.8x | FVG | BullWick | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | BullWick+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1 | TrendPairRisk:1.15,0,0.575,bull
TRXUSDT,366,397,1704155400,1704184200,LONG,TRAIL,0.10797,0.10926564,0.11056128,0.10667436,1.2318544984835904,0.9818544984835905,0.24999999999999986,17,2.43,65.82,0.22553191489361638,0.0027779816015485598,1.759115998144085,base,adaptive disabled,1.15,87.9,90,87,90,80,OFF_HOURS,bullish,bullish,FVG,BOS bullish | Vol 2.4x | FVG | Engulfing | BullWick | StrongTrend1h | Zone:FVG | MTF 17 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | Engulfing+1 | BullWick+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1 | TrendPairRisk:1.15,0,0.575,bull
TRXUSDT,367,397,1704156300,1704184200,LONG,TRAIL,0.10797,0.10926564,0.11056128,0.10667436,1.2317971654056927,0.9817971654056928,0.24999999999999986,17,2.82,68.96,0.2661290322580651,0.002496030943829532,1.5794002875137667,base,adaptive disabled,1.15,88.7,90,91,90,80,OFF_HOURS,bullish,bullish,FVG,BOS bullish | Vol 2.8x | FVG | ChoCH | Engulfing | BullWick | StrongTrend1h | Zone:FVG | MTF 17 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | BullWick+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1 | TrendPairRisk:1.15,0,0.625,range
TRXUSDT,376,396,1704164400,1704183300,LONG,TRAIL,0.107825,0.10915,0.1104128,0.1065311,1.41571926305678,1.16571926305678,0.24999999999999992,16,3.78,49.68,0.15102040816326207,0.0024369426441072125,1.5420112968841277,base,adaptive disabled,1.25,89.1,90,78,100,80,OFF_HOURS,bullish,bullish,OB,BOS bullish | Vol 3.8x | FVG | OB | StrongTrend1h | Zone:OB | MTF 16 | Risk x1.25,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | OB+1 | Zone:OB+1 | Sess:OFF_HOURS | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0.55,range
BCHUSDT,423,428,1704206700,1704212100,SHORT,TRAIL,262.1,255.87242186,249.64484373,268.32757814,0.9316184283926693,0.8053574674984876,0.12626096089418176,14,3.26,29.58,0.4650455927051645,0.010280105130807118,2.0809305116714594,base,adaptive disabled,1.0,85.0,80,90,90,80,NEW_YORK,bearish,bearish,FVG,BOS bearish | Vol 3.3x | FVG | ChoCH | Session:NEW_YORK | Zone:FVG | MTF 14,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:NEW_YORK,0,0.475,bull
