symbol,entry_bar,exit_bar,entry_time,exit_time,direction,outcome,entry,tp1,tp2,sl,gross_r,net_r,cost_r,mtf_score,volume_ratio,rsi,eff_ratio,vol_atr_pct,vol_ratio_regime,adaptive_pack,adaptive_reason,risk_mult,quality_score,trend_score,volatility_score,entry_quality_score,portfolio_risk_score,session,trend_1h,trend_4h,entry_source,signals,score_tags,premium,knn_score,swing_trend
ZECUSDT,88,91,1770212700,1770216300,SHORT,TRAIL,276.265,270.60513995,260.09397129,284.35051435,0.6883724959174348,0.5858688128957114,0.1025036830217234,14,2.88,31.9,0.395614871306007,0.012461809811762389,1.6993653331119039,base,adaptive disabled,1.0,78.2,55,100,90,80,NEW_YORK,bearish,neutral,FVG,BOS bearish | Vol 2.9x | FVG | ChoCH | Engulfing | Session:NEW_YORK | Zone:FVG | MTF 14,BOS+2 | BodyStrong+1 | 1h+2 | 4hN+1 | Vol+2 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:NEW_YORK,0,-1.0,bear
BTCUSDT,89,101,1770213600,1770225300,SHORT,TRAIL,75571.55,72912.6,71454.348,76739.15820467,2.720169767475756,2.525999626247539,0.19417014122821752,14,2.15,37.89,0.2901924177180925,0.008100985704295039,2.510708411831654,base,adaptive disabled,1.0,75.0,55,84,90,80,NEW_YORK,bearish,neutral,FVG,BOS bearish | Vol 2.1x | FVG | ChoCH | Session:NEW_YORK | Zone:FVG | MTF 14,BOS+2 | BodyStrong+1 | 1h+2 | 4hN+1 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:NEW_YORK,0,-1.0,bear
XRPUSDT,89,99,1770213600,1770223500,SHORT,TRAIL,1.5729,1.5264,1.49275511,1.61297245,1.3217005038239866,1.2039462861507473,0.11775421767323924,14,1.53,33.49,0.4166666666666642,0.007499466339757324,1.729550838725498,base,adaptive disabled,1.0,72.2,55,100,70,80,NEW_YORK,bearish,neutral,FVG,BOS bearish | Vol 1.5x | FVG | ChoCH | BearWick | Session:NEW_YORK | Zone:FVG | MTF 14,BOS+2 | BodyStrong+1 | 1h+2 | 4hN+1 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | BearWick+1 | Zone:FVG+1 | Sess:NEW_YORK,0,-1.0,range
AVAXUSDT,93,150,1770217200,1770269400,SHORT,TRAIL,9.8745,9.528,9.39462159,10.11443921,1.5849030955830272,1.4614405735550524,0.12346252202797478,14,3.58,35.56,0.3304093567251478,0.01831419135259876,3.920405940432451,base,adaptive disabled,1.15,77.0,55,79,100,80,NEW_YORK,bearish,neutral,OB,BOS bearish | Vol 3.6x | OB | ChoCH | Session:NEW_YORK | Zone:OB | MTF 14 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4hN+1 | Vol+2 | RSI+1 | BTC+2 | OB+1 | ChoCH+1 | Zone:OB+1 | Sess:NEW_YORK | QualityRisk:1.15,0,-1.0,range
BTCUSDT,93,101,1770217200,1770225300,SHORT,TRAIL,75071.85,72912.6,72070.77460259,76572.38769871,1.765282999997574,1.6151931020938974,0.15008989790367666,14,6.43,36.9,0.2869642068051275,0.016384548983575258,5.078002413375443,base,adaptive disabled,1.15,70.0,55,74,80,80,NEW_YORK,bearish,neutral,OB,BOS bearish | Vol 6.4x | FVG | OB | ChoCH | Session:NEW_YORK | Zone:OB | MTF 14 | Risk x1.15,BOS+2 | 1h+2 | 4hN+1 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | OB+1 | ChoCH+1 | Zone:OB+1 | Sess:NEW_YORK | QualityRisk:1.15,0,-1.0,bear
TAOUSDT,93,105,1770217200,1770228900,SHORT,TRAIL,190.05,184.3,180.29566671,194.92716664,1.2992003649022825,1.182298474504705,0.11690189039757762,15,4.21,35.54,0.351351351351349,0.019120337378743756,3.3112947915023785,base,adaptive disabled,1.0,74.2,55,80,90,80,NEW_YORK,bearish,neutral,FVG,BOS bearish | Vol 4.2x | FVG | ChoCH | Engulfing | Session:NEW_YORK | Zone:FVG | MTF 15,BOS+2 | BodyStrong+1 | 1h+2 | 4hN+1 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:NEW_YORK,0,-1.0,bear
XLMUSDT,141,150,1770260400,1770269400,SHORT,TRAIL,0.168175,0.16464332,0.1580845,0.17322025,0.7321641623492617,0.6321641623492618,0.09999999999999998,14,1.61,35.94,0.1542239685658138,0.01194852767666509,1.1892953136278588,base,adaptive disabled,1.15,61.9,55,78,50,80,OFF_HOURS,bearish,neutral,FVG,BOS bearish | Vol 1.6x | FVG | ChoCH | Engulfing | BearWick | Zone:FVG | MTF 14 | Risk x1.15,BOS+2 | 1h+2 | 4hN+1 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | BearWick+1 | Zone:FVG+1 | Sess:OFF_HOURS | QualityRisk:1.15,0,0.675,range
XRPUSDT,169,171,1770285600,1770288300,SHORT,TRAIL,1.42265,1.39293322,1.33774492,1.46510254,1.4792690590453388,1.3787344385020215,0.10053462054331737,14,2.69,33.04,0.2771084337349403,0.009357422210280197,0.8384592645696656,base,adaptive disabled,1.15,76.8,55,93,90,80,LONDON,bearish,neutral,FVG,BOS bearish | Vol 2.7x | FVG | ChoCH | Session:LONDON | Zone:FVG | MTF 14 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4hN+1 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:LONDON | QualityRisk:1.15,0,0.725,bear
DOTUSDT,172,174,1770288300,1770291000,SHORT,TRAIL,1.418,1.388222,1.33292,1.46054,0.96019172947216,0.86019172947216,0.09999999999999995,14,3.5,32.58,0.3387096774193554,0.008758594623693558,0.9071401575165362,base,adaptive disabled,1.15,78.2,55,100,90,80,LONDON,bearish,neutral,FVG,BOS bearish | Vol 3.5x | FVG | ChoCH | Session:LONDON | Zone:FVG | MTF 14 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4hN+1 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:LONDON | QualityRisk:1.15,0,0.725,bear
SEIUSDT,172,174,1770288300,1770291000,SHORT,TRAIL,0.08037,0.07868223,0.0755478,0.0827811,0.8943790811181858,0.7943790811181857,0.10000000000000003,14,2.95,30.81,0.3393939393939384,0.008506083014698145,0.9719073768583182,base,adaptive disabled,1.15,78.2,55,100,90,80,LONDON,bearish,neutral,FVG,BOS bearish | Vol 3.0x | FVG | ChoCH | Engulfing | Session:LONDON | Zone:FVG | MTF 14 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4hN+1 | Vol+2 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:LONDON | QualityRisk:1.15,0,0.75,range
