symbol,entry_bar,exit_bar,entry_time,exit_time,direction,outcome,entry,tp1,tp2,sl,gross_r,net_r,cost_r,mtf_score,volume_ratio,rsi,eff_ratio,vol_atr_pct,vol_ratio_regime,adaptive_pack,adaptive_reason,risk_mult,quality_score,trend_score,volatility_score,entry_quality_score,portfolio_risk_score,session,trend_1h,trend_4h,entry_source,signals,score_tags,premium,sniper,knn_score,swing_trend,mae_r,size_mult,signal_bar
SOLUSDT,96,111,1659008700,1659023100,LONG,TRAIL,40.43,41.27903,43.2601,39.01495,1.0769377545630918,1.0197948974202347,0.05714285714285711,13,2.74,69.32,0.2790697674418622,0.011369125214885853,1.6813672956723105,base,adaptive disabled,1.25,70.8,55,93,70,80,OVERLAP,bullish,neutral,FVG,BOS bullish | Vol 2.7x | FVG | ChoCH | Engulfing | Session:OVERLAP | Zone:FVG | MTF 13 | Risk x1.25,BOS+2 | 1h+2 | 4hN+1 | Vol+2 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:OVERLAP | QualityRisk:1.15 | RelStrengthRisk:1.25,0,0,-1.0,range,0.8834,1.0,96
SOLUSDT,98,111,1659010500,1659023100,LONG,TRAIL,40.43,41.27903,43.2601,39.01495,1.0769417539374417,1.0197988967945846,0.05714285714285711,13,2.0,64.09,0.2790697674418587,0.012020310971786382,1.7776704337208398,base,adaptive disabled,1.15,76.8,55,93,90,80,OVERLAP,bullish,neutral,FVG,BOS bullish | Vol 2.0x | FVG | ChoCH | BullWick | Session:OVERLAP | Zone:FVG | MTF 13 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4hN+1 | Vol+1 | RSI+1 | BTCok+1 | FVG+1 | ChoCH+1 | BullWick+1 | Zone:FVG+1 | Sess:OVERLAP | QualityRisk:1.15,0,0,-1.0,range,0.8834,1.0,97
ETHUSDT,100,103,1659012300,1659015900,LONG,TRAIL,1628.99,1661.32494132,1736.77313773,1575.09843114,0.0,-0.06045435434369352,0.06045435434369352,19,3.04,54.16,0.16807335625716438,0.018286189347508173,2.895014226189326,base,adaptive disabled,1.15,69.2,55,70,80,80,OVERLAP,bullish,neutral,OB,BOS bullish | Vol 3.0x | FVG | OB | LiqSweep | MACD_Div | ChoCH | BullWick | Session:OVERLAP | Zone:OB | 💎PREMIUM | MTF 19 | Risk x1.15,BOS+2 | 1h+2 | 4hN+1 | Vol+2 | RSI+1 | BTCok+1 | FVG+1 | OB+1 | LiqSweep+1 | MACD_Div+1 | ChoCH+1 | BullWick+1 | Zone:OB+1 | Sess:OVERLAP | 💎Premium+3 | QualityRisk:1.15,1,1,-1.0,bear,0.0471,1.0,100
NEARUSDT,100,103,1659012300,1659015900,LONG,TRAIL,4.154,4.241234,4.44478,4.00861,0.0,-0.057142857142857176,0.057142857142857176,18,2.54,55.22,0.22781774580335634,0.022338063735865093,2.859272158260536,base,adaptive disabled,1.15,70.7,55,77,80,80,OVERLAP,bullish,neutral,OB,BOS bullish | Vol 2.5x | FVG | OB | LiqSweep | MACD_Div | BullWick | Session:OVERLAP | Zone:OB | 💎PREMIUM | MTF 18 | Risk x1.15,BOS+2 | 1h+2 | 4hN+1 | Vol+2 | RSI+1 | BTCok+1 | FVG+1 | OB+1 | LiqSweep+1 | MACD_Div+1 | BullWick+1 | Zone:OB+1 | Sess:OVERLAP | 💎Premium+3 | QualityRisk:1.15,1,0,-1.0,range,0.1238,1.0,100
ADAUSDT,131,161,1659040200,1659068100,LONG,TRAIL,0.51812,0.52766165,0.54992549,0.50221726,0.9200529464309767,0.8548918484063597,0.06516109802461705,13,2.5,64.81,0.1640659830584034,0.009938773335091937,1.4098781447597217,base,adaptive disabled,1.15,68.0,55,79,70,80,DEAD_ZONE,bullish,neutral,FVG,BOS bullish | Vol 2.5x | FVG | ChoCH | Zone:FVG | MTF 13 | Risk x1.15,BOS+2 | 1h+2 | 4hN+1 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:DEAD_ZONE | RelStrengthRisk:1.15,0,0,0.6,bull,0.7357,1.0,131
LINKUSDT,203,225,1659105000,1659125700,LONG,TRAIL,7.935,8.101635,8.49045,7.657275,0.0,-0.05714285714285727,0.05714285714285727,14,2.37,65.36,0.19571045576407506,0.023852127281069196,1.927874113743657,base,adaptive disabled,1.15,76.3,65,73,90,80,NEW_YORK,bullish,neutral,FVG,BOS bullish | Vol 2.4x | FVG | ChoCH | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4hN+1 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+0 | RelStrengthRisk:1.15,0,0,0.775,range,0.7885,1.0,203
ADAUSDT,279,295,1659173400,1659188700,LONG,TRAIL,0.52853,0.53962913,0.5655271,0.51003145,0.5041439030216428,0.44700104587878564,0.05714285714285714,13,3.06,67.56,0.6289412545635529,0.008035923707440131,0.9877787534256902,base,adaptive disabled,1.15,74.0,60,100,70,80,LONDON,neutral,bullish,FVG,BOS bullish | Vol 3.1x | FVG | ChoCH | Session:LONDON | Zone:FVG | MTF 13 | Risk x1.15,BOS+2 | 1hN+1 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:LONDON | QualityRisk:1.15,0,1,0.55,bear,0.3914,1.0,279
SOLUSDT,279,294,1659173400,1659187800,LONG,TRAIL,42.7,43.5967,45.689,41.2055,0.992847229785776,0.935704372642919,0.057142857142857065,16,2.44,68.72,0.4191176470588217,0.007783813607289157,0.8590872176065354,base,adaptive disabled,1.15,90.5,90,100,90,80,LONDON,bullish,bullish,FVG,BOS bullish | Vol 2.4x | FVG | ChoCH | Engulfing | BullWick | Session:LONDON | StrongTrend1h | Zone:FVG | MTF 16 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | BullWick+1 | Zone:FVG+1 | Sess:LONDON | Strong1h+0 | QualityRisk:1.15,0,0,0.675,range,0.5754,1.0,277
ADAUSDT,280,295,1659174300,1659188700,LONG,TRAIL,0.52853,0.53962913,0.5655271,0.51003145,0.5037232862812548,0.4465804291383977,0.05714285714285714,13,1.78,62.0,0.5165042439484403,0.008430324203867886,1.002943951438411,base,adaptive disabled,1.15,68.0,60,100,50,80,LONDON,neutral,bullish,FVG,BOS bullish | Vol 1.8x | FVG | ChoCH | BullWick | Session:LONDON | Zone:FVG | MTF 13 | Risk x1.15,BOS+2 | 1hN+1 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | BullWick+1 | Zone:FVG+1 | Sess:LONDON | QualityRisk:1.15,0,1,0.6,bear,0.3914,1.0,280
SOLUSDT,280,293,1659174300,1659186900,LONG,TRAIL,42.32,42.94648188,44.40827294,41.27586353,1.5264222850858078,1.4453600844713612,0.08106220061444666,15,2.23,54.7,0.3152542372881391,0.007485391456360349,0.8261508360013144,base,adaptive disabled,1.15,89.9,90,97,90,80,LONDON,bullish,bullish,FVG,BOS bullish | Vol 2.2x | FVG | BullWick | Session:LONDON | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | BullWick+1 | Zone:FVG+1 | Sess:LONDON | Strong1h+0 | QualityRisk:1.15,0,0,0.7,range,0.4597,1.0,280
XRPUSDT,280,289,1659174300,1659183300,LONG,TRAIL,0.36691,0.37304,0.37397,0.36250708,1.2009668354962495,1.034300168829584,0.16666666666666546,15,2.77,54.17,0.3433224755700328,0.004770272878806826,0.8979855224766566,base,adaptive disabled,1.15,90.5,90,100,90,80,LONDON,bullish,bullish,FVG,BOS bullish | Vol 2.8x | FVG | BullWick | Session:LONDON | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | BullWick+1 | Zone:FVG+1 | Sess:LONDON | Strong1h+0 | QualityRisk:1.15,0,0,0.55,range,0.1181,1.0,280
SOLUSDT,294,297,1659186900,1659190500,LONG,TRAIL,43.62,44.53602,46.6734,42.0933,0.8583853595538852,0.801242502411028,0.05714285714285721,13,1.73,71.31,0.27118644067796643,0.013491536984093838,1.7960608610117068,base,adaptive disabled,1.15,76.9,90,92,50,80,NEW_YORK,bullish,bullish,FVG,BOS bullish | Vol 1.7x | FVG | ChoCH | BullWick | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 13 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+1 | BTC+2 | FVG+1 | ChoCH+1 | BullWick+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+0 | QualityRisk:1.15,0,0,0.625,bull,0.0066,1.0,294
AVAXUSDT,298,304,1659190500,1659196800,LONG,TRAIL,25.02,25.54542,26.7714,24.1443,0.9126383826256222,0.855495525482765,0.05714285714285725,15,1.61,66.96,0.22362869198312174,0.011563966226233761,1.6468448372839584,base,adaptive disabled,1.15,75.7,90,86,50,80,NEW_YORK,bullish,bullish,FVG,BOS bullish | Vol 1.6x | FVG | ChoCH | Engulfing | BullWick | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | BullWick+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+0 | RelStrengthRisk:1.15,0,0,0.65,range,0.1485,1.0,295
XRPUSDT,406,409,1659287700,1659291300,LONG,TRAIL,0.39231,0.3972303,0.40563,0.38410951,0.0,-0.09567964841125341,0.09567964841125341,15,3.28,59.68,0.16711281070745637,0.00651775166732644,1.22427191205589,base,adaptive disabled,1.25,80.5,90,80,70,80,OFF_HOURS,bullish,bullish,FVG,BOS bullish | Vol 3.3x | FVG | ChoCH | Engulfing | BullWick | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.25,BOS+2 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTCok+1 | FVG+1 | ChoCH+1 | Engulfing+1 | BullWick+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+0 | QualityRisk:1.15 | RelStrengthRisk:1.25,0,0,0.45,range,0.0671,1.0,406
