ts,hour_utc,coin,spread,cost54,cost109
1789271076,3,BTC,0.000001,0.000001,0.000001
1789271076,3,ETH,0.000004,0.000002,0.000002
1789271076,3,SOL,0.000098,0.000049,0.000049
1789271076,3,ADA,0.000967,0.000483,0.000483
1789271076,3,LINK,0.000261,0.000199,0.000208
1789271076,3,AVAX,0.000270,0.000135,0.000135
1789271076,3,XRP,0.000073,0.000145,0.000164
1789271076,3,DOT,0.000396,0.000264,0.000365
1789271076,3,XLM,0.001833,0.001028,0.001056
1789271076,3,SUI,0.000415,0.000208,0.000208
1789271076,3,HYPE,0.000101,0.000061,0.000075
1789271076,3,ZEC,0.000397,0.000206,0.000224
1789271076,3,AAVE,0.001568,0.000844,0.000853
1789271076,3,TAO,0.000427,0.000213,0.000213
1789271076,3,NEAR,0.000426,0.000213,0.000213
1789271076,3,BILL,0.005265,0.003273,0.003330
1789271687,3,BTC,0.000001,0.000001,0.000001
1789271687,3,ETH,0.000004,0.000002,0.000002
1789271687,3,SOL,0.000197,0.000098,0.000098
1789271687,3,ADA,0.000484,0.000242,0.000242
1789271687,3,LINK,0.000261,0.000199,0.000209
1789271687,3,AVAX,0.000540,0.000270,0.000313
1789271687,3,XRP,0.000073,0.000037,0.000037
1789271687,3,DOT,0.000099,0.000394,0.000489
1789271687,3,XLM,0.001947,0.001011,0.001020
1789271687,3,SUI,0.000415,0.000208,0.000208
1789271687,3,HYPE,0.000164,0.000084,0.000089
1789271687,3,ZEC,0.000009,0.000004,0.000004
1789271687,3,AAVE,0.001177,0.000802,0.001050
1789271687,3,TAO,0.000426,0.000213,0.000213
1789271687,3,NEAR,0.000853,0.000426,0.000426
1789271687,3,BILL,0.004528,0.003513,0.003645
1789272131,4,BTC,0.000001,0.000001,0.000001
1789272131,4,ETH,0.000004,0.000002,0.000002
1789272131,4,SOL,0.000099,0.000049,0.000049
1789272131,4,ADA,0.000485,0.000242,0.000242
1789272131,4,LINK,0.000262,0.000131,0.000131
1789272131,4,AVAX,0.000541,0.000270,0.000314
1789272131,4,XRP,0.000073,0.000037,0.000037
1789272131,4,DOT,0.000099,0.000699,0.000772
1789272131,4,XLM,0.001502,0.000788,0.000798
1789272131,4,SUI,0.000554,0.000325,0.000371
1789272131,4,HYPE,0.000139,0.000070,0.000110
1789272131,4,ZEC,0.000079,0.000041,0.000045
1789272131,4,AAVE,0.000787,0.000665,0.000726
1789272131,4,TAO,0.000854,0.000427,0.000427
1789272131,4,NEAR,0.000427,0.000213,0.000213
1789272131,4,BILL,0.006038,0.003643,0.003709
1789272743,4,BTC,0.000001,0.000001,0.000001
1789272743,4,ETH,0.000004,0.000002,0.000002
1789272743,4,SOL,0.000197,0.000098,0.000098
1789272743,4,ADA,0.000483,0.000242,0.000242
1789272743,4,LINK,0.000348,0.000242,0.000252
1789272743,4,AVAX,0.000405,0.000203,0.000203
1789272743,4,XRP,0.000073,0.000104,0.000126
1789272743,4,DOT,0.000398,0.000531,0.000865
1789272743,4,XLM,0.001832,0.001064,0.001101
1789272743,4,SUI,0.000415,0.000207,0.000207
1789272743,4,HYPE,0.000240,0.000127,0.000143
1789272743,4,ZEC,0.000009,0.000004,0.000004
1789272743,4,AAVE,0.001098,0.000741,0.001080
1789272743,4,TAO,0.000851,0.000426,0.000426
1789272743,4,NEAR,0.000426,0.000213,0.000213
1789272743,4,BILL,0.006006,0.003642,0.003699
1789273354,4,BTC,0.000001,0.000001,0.000001
1789273354,4,ETH,0.000004,0.000002,0.000002
1789273354,4,SOL,0.000098,0.000049,0.000049
1789273354,4,ADA,0.000484,0.000242,0.000242
1789273354,4,LINK,0.000436,0.000286,0.000296
1789273354,4,AVAX,0.000271,0.000135,0.000135
1789273354,4,XRP,0.000073,0.000037,0.000037
1789273354,4,DOT,0.000398,0.000282,0.000290
1789273354,4,XLM,0.002502,0.001325,0.001344
1789273354,4,SUI,0.000554,0.000277,0.000277
1789273354,4,HYPE,0.000126,0.000089,0.000159
1789273354,4,ZEC,0.000009,0.000004,0.000007
1789273354,4,AAVE,0.001336,0.000728,0.000737
1789273354,4,TAO,0.000426,0.000213,0.000213
1789273354,4,NEAR,0.000851,0.000426,0.000426
1789273354,4,BILL,0.004521,0.002884,0.002950
1789273964,4,BTC,0.000001,0.000001,0.000001
1789273964,4,ETH,0.000004,0.000002,0.000002
1789273964,4,SOL,0.000098,0.000049,0.000049
1789273964,4,ADA,0.000483,0.000577,0.000651
1789273964,4,LINK,0.000435,0.000286,0.000295
1789273964,4,AVAX,0.000405,0.000203,0.000246
1789273964,4,XRP,0.000073,0.000037,0.000037
1789273964,4,DOT,0.000497,0.000514,0.000658
1789273964,4,XLM,0.002167,0.001121,0.001130
1789273964,4,SUI,0.000277,0.000253,0.000334
1789273964,4,HYPE,0.000063,0.000035,0.000043
1789273964,4,ZEC,0.000009,0.000004,0.000004
1789273964,4,AAVE,0.001023,0.000812,0.000859
1789273964,4,TAO,0.000424,0.000212,0.000212
1789273964,4,NEAR,0.000850,0.000425,0.000425
1789273964,4,BILL,0.004518,0.002882,0.002948
1789274574,4,BTC,0.000001,0.000001,0.000001
1789274574,4,ETH,0.000004,0.000002,0.000002
1789274574,4,SOL,0.000098,0.000049,0.000049
1789274574,4,ADA,0.000483,0.000242,0.000242
1789274574,4,LINK,0.000261,0.000199,0.000208
1789274574,4,AVAX,0.000135,0.000068,0.000068
1789274574,4,XRP,0.000073,0.000037,0.000037
1789274574,4,DOT,0.000497,0.000370,0.000530
1789274574,4,XLM,0.002057,0.001066,0.001075
1789274574,4,SUI,0.000415,0.000208,0.000208
1789274574,4,HYPE,0.000215,0.000114,0.000144
1789274574,4,ZEC,0.000009,0.000004,0.000004
1789274574,4,AAVE,0.000945,0.000532,0.000542
1789274574,4,TAO,0.000846,0.000423,0.000423
1789274574,4,NEAR,0.000852,0.000426,0.000426
1789274574,4,BILL,0.004518,0.002901,0.002957
1789275185,4,BTC,0.000001,0.000001,0.000001
1789275185,4,ETH,0.000004,0.000002,0.000002
1789275185,4,SOL,0.000197,0.000098,0.000098
1789275185,4,ADA,0.000483,0.000241,0.000241
1789275185,4,LINK,0.000261,0.000199,0.000209
1789275185,4,AVAX,0.000135,0.000068,0.000068
1789275185,4,XRP,0.000220,0.000110,0.000110
1789275185,4,DOT,0.000100,0.000541,0.000674
1789275185,4,XLM,0.002002,0.001075,0.001094
1789275185,4,SUI,0.000415,0.000324,0.000335
1789275185,4,HYPE,0.000063,0.000035,0.000152
