symbol,entry_bar,exit_bar,entry_time,exit_time,direction,outcome,entry,tp1,tp2,sl,gross_r,net_r,cost_r,mtf_score,volume_ratio,rsi,eff_ratio,vol_atr_pct,vol_ratio_regime,adaptive_pack,adaptive_reason,risk_mult,quality_score,trend_score,volatility_score,entry_quality_score,portfolio_risk_score,session,trend_1h,trend_4h,entry_source,signals,score_tags,premium,sniper,knn_score,swing_trend,mae_r,mfe_tp1,accel_ratio,buy_pressure,absorption,obv_agree,obv_strength,size_mult,signal_bar,zone_age_bars,bos_candles_ago,extension_atr,room_atr,tp1_beyond_level,entry_range_atr,run_bars
ADAUSDT,149,328,1674694800,1674856800,LONG,TRAIL,0.3797,0.3876737,0.4195685,0.3664105,0.7418241331976075,0.6664893117690361,0.07533482142857138,14,5.35,63.9,0.14628030091947694,0.021441056914691378,3.0363769774960123,base,adaptive disabled,1.0,69.7,55,57,90,80,OFF_HOURS,bullish,neutral,FVG,BOS bullish | Vol 5.3x | FVG | ChoCH | Engulfing | Zone:FVG | MTF 14,BOS+2 | BodyStrong+1 | 1h+2 | 4hN+1 | Vol+2 | RSI+1 | BTCok+1 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:OFF_HOURS,0,0,0.525,bull,0.9165,1.2917,0.492,0.1194,2.641,1.0,0.1188,1.318359375,149,0,1,0.117,0.11,1,0.55,0
DOTUSDT,169,181,1674712800,1674724500,LONG,SL,6.459,6.50848769,6.70643845,6.37652052,-0.9309133617234187,-1.063062139819498,0.13214877809607925,15,1.62,61.51,0.42647058823529527,0.004790000524217177,0.9864207746364158,base,adaptive disabled,1.15,69.2,55,100,60,80,OFF_HOURS,bullish,neutral,OB,BOS bullish | Vol 1.6x | FVG | OB | ChoCH | Engulfing | Zone:OB | MTF 15 | Risk x1.15,BOS+2 | 1h+2 | 4hN+1 | Vol+1 | RSI+1 | BTCok+1 | FVG+1 | OB+1 | ChoCH+1 | Engulfing+1 | Zone:OB+1 | Sess:OFF_HOURS | NestedOB_1h+2 | QualityRisk:1.15,0,0,0.45,range,1.2488,0.6264,0.0,0.1219,2.153,-1.0,-0.0386,0.84375,169,29,1,0.638,1.102,1,3.886,2
ETHUSDT,170,202,1674713700,1674743400,LONG,TRAIL,1608.97,1620.554584,1666.89292,1589.66236,0.5663201663316576,0.39053891633165755,0.17578125000000008,15,8.06,43.29,0.3160116921078282,0.007857895289122003,1.9382887872959522,base,adaptive disabled,1.0,75.7,55,87,90,80,OFF_HOURS,bullish,neutral,FVG,BOS bullish | Vol 8.1x | FVG | ChoCH | Discount | BullWick | Zone:FVG | MTF 15,BOS+2 | BodyStrong+1 | 1h+2 | 4hN+1 | Vol+2 | RSI+1 | BTCok+1 | FVG+1 | ChoCH+1 | Discount+1 | BullWick+1 | Zone:FVG+1 | Sess:OFF_HOURS,0,0,0.575,range,0.9307,1.0065,1.779,-0.0402,2.266,1.0,-0.2451,1.0546875,170,26,2,1.799,2.64,0,0.971,0
AVAXUSDT,203,246,1674743400,1674783000,LONG,SL,18.35,18.73535,20.27675,17.70775,-2.0727909692487354,-2.1799338263915926,0.10714285714285705,14,3.52,66.73,0.6428571428571501,0.017651714072663444,2.883648198977535,base,adaptive disabled,1.15,73.8,65,90,70,80,NEW_YORK,bullish,neutral,FVG,BOS bullish | Vol 3.5x | FVG | LiqSweep | ChoCH | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.15,BOS+2 | 1h+2 | 4hN+1 | Vol+2 | RSI+1 | BTCok+1 | FVG+1 | LiqSweep+1 | ChoCH+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+1 | RelStrengthRisk:1.15,0,1,0.55,bear,1.4013,0.9861,0.0,0.2902,1.408,1.0,0.4542,1.875,203,1,2,0.349,-1.0,0,1.803,0
LINKUSDT,203,207,1674743400,1674747900,LONG,TRAIL,6.973,7.08958959,7.55594797,6.77868401,0.0,-0.12615767299953046,0.12615767299953046,17,2.25,67.76,0.7777777777777802,0.012057142656590107,2.50277052117725,base,adaptive disabled,1.15,73.8,65,90,70,80,NEW_YORK,bullish,neutral,FVG,BOS bullish | Vol 2.2x | FVG | LiqSweep | MACD_Div | ChoCH | Engulfing | BullWick | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 17 | Risk x1.15,BOS+2 | 1h+2 | 4hN+1 | Vol+2 | RSI+1 | BTCok+1 | FVG+1 | LiqSweep+1 | MACD_Div+1 | ChoCH+1 | Engulfing+1 | BullWick+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+1 | RelStrengthRisk:1.15,0,1,0.425,bear,0.0309,1.0807,0.0,0.4593,1.876,1.0,0.7355,1.7578125,201,0,5,1.824,0.139,1,2.239,0
LINKUSDT,227,275,1674765000,1674809100,LONG,TRAIL,7.213,7.364473,7.970365,6.960545,0.7087711476219964,0.6334363261934252,0.07533482142857134,14,1.53,66.17,0.5024875621890555,0.012796715277147893,1.9142216918116048,base,adaptive disabled,1.15,73.8,65,90,70,80,DEAD_ZONE,bullish,neutral,FVG,BOS bullish | Vol 1.5x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4hN+1 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:DEAD_ZONE | Strong1h+1 | RelStrengthRisk:1.15,0,0,0.4,bull,1.1606,1.0761,0.0,-0.1278,1.481,1.0,0.1139,1.318359375,227,1,3,1.254,0.11,1,0.94,0
LINKUSDT,269,275,1674802800,1674809100,LONG,TRAIL,7.164,7.29355727,7.81178637,6.94807121,0.9041136123311102,0.834129602787964,0.06998400954314629,16,1.46,55.81,0.4035087719298273,0.005759993613952454,0.947451972838641,base,adaptive disabled,1.25,78.8,65,100,80,80,LONDON,bullish,neutral,OB,BOS bullish | Vol 1.5x | FVG | OB | ChoCH | Engulfing | Session:LONDON | StrongTrend1h | Zone:OB | MTF 16 | Risk x1.25,BOS+2 | BodyStrong+1 | 1h+2 | 4hN+1 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | OB+1 | ChoCH+1 | Engulfing+1 | Zone:OB+1 | Sess:LONDON | Strong1h+1 | QualityRisk:1.15 | RelStrengthRisk:1.25,0,0,0.5,bull,0.1297,1.6363,10.0,0.0847,1.024,-1.0,-0.0183,1.0546875,269,4,6,1.335,1.046,1,0.779,0
AVAXUSDT,274,309,1674807300,1674839700,LONG,TRAIL,18.1,18.33755852,19.28779258,17.70406914,3.021140523416843,2.838280313934814,0.18286020948202927,15,3.42,60.21,0.23404255319148518,0.004777359920589559,0.9544103485853126,base,adaptive disabled,1.15,71.6,60,88,70,80,LONDON,neutral,bullish,FVG,BOS bullish | Vol 3.4x | FVG | ChoCH | BullWick | Session:LONDON | Zone:FVG | MTF 15 | Risk x1.15,BOS+2 | 1hN+1 | 4h+2 | Vol+2 | RSI+1 | BTCok+1 | FVG+1 | ChoCH+1 | BullWick+1 | Zone:FVG+1 | Sess:LONDON | NestedOB_1h+2 | QualityRisk:1.15,0,0,0.5,bull,1.086,1.0524,0.647,0.2145,3.641,1.0,0.3175,2.0,274,2,3,0.417,1.355,1,0.73,1
XLMUSDT,294,299,1674825300,1674830700,SHORT,TRAIL,0.09115,0.09049372,0.0878686,0.0922438,0.7072048055444762,0.5405381388778104,0.16666666666666577,16,4.59,37.67,0.3464052287581646,0.0049137932358672256,1.5431005189027922,base,adaptive disabled,1.15,90.5,90,100,90,80,NEW_YORK,bearish,bearish,FVG,BOS bearish | Vol 4.6x | FVG | ChoCH | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 16 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+1 | TrendPairRisk:1.15,0,0,0.525,bear,0.2743,1.1428,1.656,-0.0225,2.182,1.0,-0.3707,1.0,294,3,3,1.022,2.105,0,2.725,2
AAVEUSDT,303,389,1674833400,1674911700,LONG,SL,88.09,89.93989,97.33945,85.00685,-1.3054830287206247,-1.3769116001491963,0.07142857142857134,16,1.36,65.34,0.4111111111111105,0.010933890742698004,1.9819954865067477,base,adaptive disabled,1.25,76.5,90,90,50,80,NEW_YORK,bullish,bullish,FVG,BOS bullish | Vol 1.4x | FVG | LiqSweep | MACD_Div | ChoCH | BullWick | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 16 | Risk x1.25,BOS+2 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTCok+1 | FVG+1 | LiqSweep+1 | MACD_Div+1 | ChoCH+1 | BullWick+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+1 | QualityRisk:1.15 | RelStrengthRisk:1.25,0,0,0.55,range,1.2001,0.8379,0.0,0.1072,1.791,-1.0,-0.0053,1.25,302,0,1,0.646,1.457,1,2.293,5
DOTUSDT,323,338,1674851400,1674865800,LONG,TRAIL,6.52,6.61599163,6.99995816,6.36001395,0.2755093765373477,0.22966162918687547,0.045847747350472215,15,4.53,71.77,0.6350364963503716,0.0059138388679059115,1.3538466837096015,base,adaptive disabled,1.0,90.5,90,100,90,80,DEAD_ZONE,bullish,bullish,FVG,BOS bullish | Vol 4.5x | FVG | ChoCH | Engulfing | StrongTrend1h | Zone:FVG | MTF 15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | BTCok+1 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:DEAD_ZONE | Strong1h+1,0,0,0.5,bull,0.2563,1.0834,3.955,0.1895,2.416,1.0,0.4348,0.5625,321,0,1,1.469,0.031,1,3.033,0
AVAXUSDT,338,340,1674864900,1674867600,LONG,TRAIL,20.95,21.38995,23.14975,20.21675,0.0,-0.04017857142857153,0.04017857142857153,14,1.7,70.34,0.3435114503816801,0.021269075657822895,2.3308404676904217,base,adaptive disabled,1.0,82.5,90,90,70,80,OFF_HOURS,bullish,bullish,FVG,BOS bullish | Vol 1.7x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 14,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1,0,0,0.525,bull,0.2864,1.932,0.726,0.0707,1.469,1.0,0.5154,0.703125,337,3,5,2.151,-1.0,0,1.479,0
ADAUSDT,342,513,1674868500,1675023300,LONG,TRAIL,0.39086,0.39827972,0.42795858,0.37849381,0.20148012352276576,0.17481159222897194,0.026668531293793804,15,2.43,71.0,0.46852367688022223,0.009540411737650146,1.8348413409872122,base,adaptive disabled,1.15,88.5,90,90,90,80,OFF_HOURS,bullish,bullish,FVG,BOS bullish | Vol 2.4x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1 | RelStrengthRisk:1.15,0,0,0.7,bull,1.1426,1.0176,2.376,-0.094,2.034,1.0,0.4306,0.421875,338,0,1,1.471,-1.0,0,3.407,0
