symbol,entry_bar,exit_bar,entry_time,exit_time,direction,outcome,entry,tp1,tp2,sl,gross_r,net_r,cost_r,mtf_score,volume_ratio,rsi,eff_ratio,vol_atr_pct,vol_ratio_regime,adaptive_pack,adaptive_reason,risk_mult,quality_score,trend_score,volatility_score,entry_quality_score,portfolio_risk_score,session,trend_1h,trend_4h,entry_source,entry_is_intrabar,atr_at_signal,signals,score_tags,premium,sniper,knn_score,swing_trend,pullback_frac,run_len_before,impulse6_atr,retrace_bars_ratio,pullback_vol_ratio,post_sl_tp1,post_sl_max_r,mae_r,mfe_tp1,accel_ratio,buy_pressure,absorption,obv_agree,obv_strength,size_mult,signal_bar,zone_age_bars,bos_candles_ago,extension_atr,room_atr,tp1_beyond_level,entry_range_atr,run_bars
AVAXUSDT,413,423,1738091700,1738101600,SHORT,TRAIL,33.228,32.530212,27.4131,34.39098,0.5855646700717144,0.5598503843574287,0.025714285714285773,15,1.52,30.38,0.48526522593319504,0.006694103420899042,1.1959300616936315,base,adaptive disabled,1.25,84.5,90,100,70,80,DEAD_ZONE,bearish,bearish,FVG,True,0.22993388591590083,BOS bearish | Vol 1.5x | FVG | ChoCH | Engulfing | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.25,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:DEAD_ZONE | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0,-1.0,bear,0.1722,1,2.7747,0.0526,1.5454,-1,0.0,0.0267,1.681,0.0,-0.1594,1.648,1.0,-0.1911,0.75,413,1,2,1.026,0.818,1,0.922,0
DOTUSDT,425,513,1738102500,1738182600,SHORT,SL,5.652,5.533308,4.6629,5.84982,-0.5331551410373069,-0.551235498180164,0.018080357142857138,16,2.06,32.14,0.44408945686901075,0.011085861996062886,1.6853427566411434,base,adaptive disabled,1.15,90.5,90,100,90,80,DEAD_ZONE,bearish,bearish,FVG,True,0.045409622135937175,BOS bearish | Vol 2.1x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 16 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:DEAD_ZONE | Strong1h+1 | TrendPairRisk:1.15,0,0,-1.0,bear,0.171,0,3.5015,0.0526,1.9911,-1,0.0,1.1475,0.9268,1.759,-0.1328,2.038,1.0,-0.3711,0.52734375,425,0,5,2.07,3.678,0,1.013,3
ETHUSDT,425,543,1738102500,1738209600,SHORT,SL,3081.69,3016.97451,2542.39425,3189.54915,-1.0378987318183028,-1.0700415889611599,0.032142857142857216,15,2.39,31.31,0.4779431304809996,0.010440352543872154,2.1204477103168053,base,adaptive disabled,1.15,88.5,90,90,90,80,DEAD_ZONE,bearish,bearish,FVG,True,21.30123739029704,BOS bearish | Vol 2.4x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:DEAD_ZONE | Strong1h+1 | TrendPairRisk:1.15,0,0,-1.0,bear,0.2934,0,4.1678,0.0526,2.461,-1,0.0,1.1211,0.4399,1.904,-0.2415,1.663,1.0,-0.4261,0.9375,425,1,5,2.424,1.125,1,1.439,3
SOLUSDT,425,513,1738102500,1738182600,SHORT,SL,227.13,222.36027,187.38225,235.07955,-0.48929656395644927,-0.503760849670735,0.014464285714285686,16,1.38,33.27,0.48555452003727984,0.010111252089210156,1.2120089621632832,base,adaptive disabled,1.25,84.5,90,100,70,80,DEAD_ZONE,bearish,bearish,FVG,True,2.0444501908888437,BOS bearish | Vol 1.4x | FVG | ChoCH | Engulfing | StrongTrend1h | Zone:FVG | MTF 16 | Risk x1.25,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:DEAD_ZONE | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0,-1.0,bear,0.1733,0,2.338,0.0526,1.4381,-1,0.0,1.3108,0.9518,1.29,-0.1107,1.408,1.0,-0.2755,0.421875,425,0,6,1.56,1.531,1,0.983,2
XRPUSDT,460,485,1738134000,1738157400,LONG,SL,3.1048,3.14156503,3.41117522,3.04352496,-1.1165078390809728,-1.1763616555778693,0.059853816496896674,15,1.39,63.73,0.6459143968871672,0.005134479655393893,0.8701432875091926,base,adaptive disabled,1.25,68.0,60,100,50,80,OFF_HOURS,neutral,bullish,FVG,True,0.01647504331562031,BOS bullish | Vol 1.4x | FVG | ChoCH | BullWick | Zone:FVG | MTF 15 | Risk x1.25,BOS+2 | 1hN+1 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | BullWick+1 | Zone:FVG+1 | Sess:OFF_HOURS | NestedOB_1h+2 | QualityRisk:1.15 | RelStrengthRisk:1.25,0,1,-1.0,bear,0.3043,2,1.4567,0.25,1.0065,-1,0.0,1.3284,0.6637,3.952,0.1755,1.636,1.0,0.1847,0.984375,457,2,5,1.578,1.196,1,0.631,1
XRPUSDT,623,637,1738280700,1738294200,LONG,SL,3.1322,3.1796,3.35430662,3.08777868,-0.5748928667585718,-0.6224879179637137,0.04759505120514194,15,1.31,58.53,0.3911439114391105,0.0042495290831089,1.1264884146741374,base,adaptive disabled,1.15,84.5,90,100,70,80,DEAD_ZONE,bullish,bullish,FVG,True,0.0130213235557545,BOS bullish | Vol 1.3x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:DEAD_ZONE | Strong1h+1 | QualityRisk:1.15,0,0,-1.0,range,0.5542,0,2.0889,0.1111,1.3027,-1,0.0,1.1188,0.2194,7.067,0.0158,1.409,1.0,0.1594,0.5625,623,4,1,0.161,0.215,1,0.929,2
AAVEUSDT,654,677,1738308600,1738330200,LONG,TRAIL,323.48,330.27308,380.089,312.1582,0.35995270186719425,0.33825627329576574,0.021696428571428582,14,2.56,69.82,0.8930307941653209,0.008687623171373218,1.4521133509292674,base,adaptive disabled,1.25,84.5,90,100,70,80,LONDON,bullish,bullish,FVG,True,2.2100073290798936,BOS bullish | Vol 2.6x | FVG | ChoCH | Session:LONDON | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.25,BOS+2 | 1h+2 | 4h+2 | Vol+2 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:LONDON | Strong1h+1 | QualityRisk:1.15 | RelStrengthRisk:1.25,0,0,-1.0,range,0.1663,4,3.6516,0.0526,2.5229,-1,0.0,0.726,1.0319,0.0,0.1112,2.58,1.0,0.3604,0.6328125,654,0,2,1.235,4.851,0,0.991,3
LINKUSDT,655,670,1738309500,1738323900,LONG,TRAIL,24.996,25.520916,29.3703,24.12114,0.7472624191299191,0.704405276272776,0.04285714285714295,16,1.88,60.59,0.5,0.01013126310151499,1.817415488933173,base,adaptive disabled,1.0,82.5,90,90,70,80,LONDON,bullish,bullish,FVG,True,0.17726729393536014,BOS bullish | Vol 1.9x | FVG | MACD_Div | ChoCH | Session:LONDON | StrongTrend1h | Zone:FVG | MTF 16,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | MACD_Div+1 | ChoCH+1 | Zone:FVG+1 | Sess:LONDON | Strong1h+1,0,0,-1.0,range,0.3148,0,4.2704,0.1111,1.5734,-1,0.0,0.3326,1.2726,0.0,0.208,0.995,1.0,0.3628,1.25,655,3,4,0.829,0.987,1,1.89,10
DOTUSDT,656,674,1738310400,1738327500,LONG,TRAIL,6.206,6.33454218,7.27718485,5.99176303,0.31769726765646356,0.2981439197912468,0.019553347865216734,14,1.51,59.4,0.425531914893616,0.0074620115053328105,1.6235205032583186,base,adaptive disabled,1.15,84.5,90,100,70,80,LONDON,bullish,bullish,FVG,True,0.037236970151162896,BOS bullish | Vol 1.5x | FVG | ChoCH | Session:LONDON | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTCok+1 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:LONDON | Strong1h+1 | QualityRisk:1.15,0,0,-1.0,range,0.3768,0,4.2968,0.1765,2.1443,-1,0.0,0.3314,1.0969,10.0,0.1214,1.251,1.0,0.1216,0.5625,656,3,5,0.779,1.208,1,1.208,0
ADAUSDT,680,688,1738332000,1738340100,LONG,TRAIL,0.9669,0.98369577,1.10686476,0.93890705,0.7630827583373646,0.6916803661725517,0.0714023921648129,13,1.6,67.39,0.6644295302013363,0.005020816317971364,1.151726279891258,base,adaptive disabled,1.25,74.0,60,100,70,80,OVERLAP,neutral,bullish,FVG,True,0.005292952474544248,BOS bullish | Vol 1.6x | FVG | ChoCH | Session:OVERLAP | Zone:FVG | MTF 13 | Risk x1.25,BOS+2 | BodyStrong+1 | 1hN+1 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OVERLAP | QualityRisk:1.15 | RelStrengthRisk:1.25,0,0,-1.0,range,0.4045,0,2.4561,0.25,1.3134,-1,0.0,0.1179,1.0003,0.0,0.0789,1.807,1.0,0.2592,1.72265625,675,4,6,2.872,2.947,1,0.794,0
