symbol,entry_bar,exit_bar,entry_time,exit_time,direction,outcome,entry,tp1,tp2,sl,gross_r,net_r,cost_r,mtf_score,volume_ratio,rsi,eff_ratio,vol_atr_pct,vol_ratio_regime,adaptive_pack,adaptive_reason,risk_mult,quality_score,trend_score,volatility_score,entry_quality_score,portfolio_risk_score,session,trend_1h,trend_4h,entry_source,entry_is_intrabar,atr_at_signal,signals,score_tags,premium,sniper,knn_score,swing_trend,pullback_frac,run_len_before,impulse6_atr,retrace_bars_ratio,pullback_vol_ratio,post_sl_tp1,post_sl_max_r,mae_r,mfe_tp1,accel_ratio,buy_pressure,absorption,obv_agree,obv_strength,size_mult,signal_bar,zone_age_bars,bos_candles_ago,extension_atr,room_atr,tp1_beyond_level,entry_range_atr,run_bars
SEIUSDT,320,326,1771863300,1771869600,SHORT,TRAIL,0.067,0.0657632,0.05669332,0.06906134,0.2892535923234423,0.2673139802264568,0.021939612096985514,17,1.81,33.14,0.8079096045197709,0.0062699037749623125,1.7827426426267134,base,adaptive disabled,1.15,84.5,90,100,70,80,NEW_YORK,bearish,bearish,FVG,True,0.0003413369054906166,BOS bearish | Vol 1.8x | FVG | MACD_Div | ChoCH | BearWick | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 17 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | MACD_Div+1 | ChoCH+1 | BearWick+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+1 | TrendPairRisk:1.15,0,1,-1.0,bull,0.2321,2,4.0429,0.0526,2.0276,-1,0.0,0.0922,1.229,0.0,-0.2292,1.672,1.0,-0.3584,0.5625,319,28,6,2.812,2.725,1,1.23,1
ADAUSDT,327,357,1771869600,1771897500,SHORT,TRAIL,0.2633,0.2577707,0.2172225,0.2725155,0.06866827627366572,0.04456113341652297,0.024107142857142747,14,1.44,34.01,0.34999999999999815,0.011167856882319157,1.9938347161345689,base,adaptive disabled,1.15,76.5,90,90,50,80,OFF_HOURS,bearish,bearish,FVG,True,0.0020968545864817486,BOS bearish | Vol 1.4x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1 | TrendPairRisk:1.15,0,0,-1.0,range,0.2411,0,3.9583,0.0526,1.4001,-1,0.0,0.2387,1.067,0.677,-0.2071,0.946,1.0,-0.5652,0.703125,327,1,3,0.954,3.005,0,1.526,5
SUIUSDT,406,412,1771940700,1771947000,SHORT,SL,0.8508,0.84118787,0.77069894,0.86682021,-1.2562257298749535,-1.3358876069664525,0.07966187709149891,15,7.98,34.62,0.3827160493827152,0.008199807340347214,1.5596033563162375,base,adaptive disabled,1.25,84.5,90,100,70,80,NEW_YORK,bearish,bearish,FVG,True,0.004620211000223202,BOS bearish | Vol 8.0x | FVG | ChoCH | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.25,BOS+2 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,1,-1.0,bull,0.481,0,4.2422,0.0526,8.1914,-1,0.0,1.0799,0.8323,1.292,0.1228,3.653,-1.0,0.1199,1.25,406,0,3,1.104,0.022,1,2.186,4
BTCUSDT,409,412,1771943400,1771947000,SHORT,SL,63105.8,62651.43824,59319.452,63863.0696,-0.29247757337677377,-0.3206025733767738,0.028125000000000018,16,1.45,37.51,0.4162124550620472,0.003237223597354582,0.9407878988669619,base,adaptive disabled,1.25,84.5,90,100,70,80,NEW_YORK,bearish,bearish,FVG,True,211.15253258798245,BOS bearish | Vol 1.4x | FVG | ChoCH | Engulfing | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 16 | Risk x1.25,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0,-1.0,range,0.7565,0,3.1693,0.25,4.1217,-1,0.0,1.1111,0.8154,10.0,0.0442,1.34,-1.0,0.092,0.28125,405,2,2,0.665,1.056,1,1.056,0
DOTUSDT,409,451,1771943400,1771982100,SHORT,SL,1.239,1.22255184,1.10193199,1.2664136,-1.1627440394548705,-1.21359015233315,0.050846112878279746,15,5.12,37.24,0.2631578947368347,0.006477302068488085,1.3418810786297357,base,adaptive disabled,1.15,82.7,90,91,70,80,NEW_YORK,bearish,bearish,FVG,True,0.006413602035223668,BOS bearish | Vol 5.1x | FVG | ChoCH | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+1 | TrendPairRisk:1.15,0,1,-1.0,bull,0.7143,0,2.4947,0.25,2.3712,-1,0.0,1.3497,0.7904,0.333,0.0342,2.189,1.0,-0.0471,0.9375,406,3,4,0.624,-1.0,0,1.091,2
ADAUSDT,449,451,1771979400,1771982100,SHORT,SL,0.2584,0.25615342,0.23967848,0.2621443,-0.8437499999999959,-0.8903328058649108,0.04658280586491495,17,3.32,39.37,0.24528301886793283,0.0036176754792265286,0.8590334868506777,base,adaptive disabled,1.25,85.3,90,89,80,80,OFF_HOURS,bearish,bearish,OB,True,0.0011443049243210714,BOS bearish | Vol 3.3x | FVG | OB | ChoCH | BearWick | StrongTrend1h | Zone:OB | MTF 17 | Risk x1.25,BOS+2 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | OB+1 | ChoCH+1 | BearWick+1 | Zone:OB+1 | Sess:OFF_HOURS | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0,-1.0,bear,0.2778,4,1.9226,0.4286,2.813,-1,0.0,2.4304,0.3116,1.625,-0.2081,3.455,1.0,-0.458,0.5625,449,4,5,0.787,0.874,1,0.961,3
BTCUSDT,563,604,1772082000,1772119800,LONG,SL,68388.8,69073.67960347,74096.13002889,67247.33399422,-0.2667519485540279,-0.2819174593203085,0.0151655107662806,16,1.51,59.58,0.7133316637448903,0.004959298468804119,1.0028775847360756,base,adaptive disabled,1.15,84.5,90,100,70,80,OFF_HOURS,bullish,bullish,FVG,True,331.06600577818637,BOS bullish | Vol 1.5x | FVG | ChoCH | Engulfing | Discount | StrongTrend1h | Zone:FVG | MTF 16 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTCok+1 | FVG+1 | ChoCH+1 | Engulfing+1 | Discount+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1 | QualityRisk:1.15,0,0,-1.0,range,0.3924,0,2.405,0.1111,1.1382,-1,0.0,1.3823,0.4369,5.053,0.0738,1.638,1.0,0.2448,0.2109375,562,1,2,1.036,4.183,0,0.544,3
XRPUSDT,564,609,1772082900,1772124300,LONG,SL,1.4413,1.46189128,1.61289398,1.4069812,-0.7823700129375143,-0.8201676632050061,0.037797650267491774,21,2.09,50.83,0.25248508946322373,0.010023345680530924,1.5497554161056566,base,adaptive disabled,1.25,91.5,90,90,100,80,OFF_HOURS,bullish,bullish,OB,True,0.010818796690359667,BOS bullish | Vol 2.1x | FVG | OB | LiqSweep | ChoCH | StrongTrend1h | Zone:OB | 💎PREMIUM | MTF 21 | Risk x1.25,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | OB+1 | LiqSweep+1 | ChoCH+1 | Zone:OB+1 | Sess:OFF_HOURS | Strong1h+1 | 💎Premium+3 | QualityRisk:1.15 | RelStrengthRisk:1.25,1,1,-1.0,bear,0.5347,0,2.6713,0.1765,1.827,-1,0.0,1.0985,0.7139,0.0,-0.1399,1.155,-1.0,-0.0612,0.75,564,5,3,0.25,1.747,1,1.812,0
TAOUSDT,578,582,1772095500,1772100000,LONG,TRAIL,186.4,190.3144,219.02,179.876,0.41673053341508354,0.38458767627222634,0.03214285714285714,13,1.78,66.01,0.5151515151515144,0.009284472464267642,0.9885232447255028,base,adaptive disabled,1.25,78.5,90,100,50,80,LONDON,bullish,bullish,FVG,True,1.5505451918653013,BOS bullish | Vol 1.8x | FVG | ChoCH | Session:LONDON | StrongTrend1h | Zone:FVG | MTF 13 | Risk x1.25,BOS+2 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTCok+1 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:LONDON | Strong1h+1 | QualityRisk:1.15 | RelStrengthRisk:1.25,0,0,-1.0,bull,0.2535,4,2.6442,0.0526,1.7538,-1,0.0,0.1226,1.1241,0.0,0.0628,1.53,1.0,0.3004,0.9375,578,0,6,1.935,1.935,1,1.161,3
SEIUSDT,583,609,1772100000,1772124300,LONG,SL,0.07099,0.07158595,0.07595621,0.06999676,-1.124999999999995,-1.1893258426966247,0.0643258426966297,17,1.46,60.65,0.3367346938775544,0.0064172250314867875,1.1718840189338713,base,adaptive disabled,1.15,84.5,90,100,70,80,LONDON,bullish,bullish,FVG,True,0.0003432425730180052,BOS bullish | Vol 1.5x | FVG | LiqSweep | ChoCH | Engulfing | Session:LONDON | StrongTrend1h | Zone:FVG | MTF 17 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | LiqSweep+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:LONDON | Strong1h+1 | QualityRisk:1.15,0,0,-1.0,range,0.4248,0,3.2339,0.0526,0.6998,-1,0.0,1.5001,0.6041,0.0,0.1122,1.396,1.0,0.2127,0.75,582,1,2,0.961,1.428,1,0.728,1
