symbol,entry_bar,exit_bar,entry_time,exit_time,direction,outcome,entry,tp1,tp2,sl,gross_r,net_r,cost_r,mtf_score,volume_ratio,rsi,eff_ratio,vol_atr_pct,vol_ratio_regime,adaptive_pack,adaptive_reason,risk_mult,quality_score,trend_score,volatility_score,entry_quality_score,portfolio_risk_score,session,trend_1h,trend_4h,entry_source,entry_is_intrabar,atr_at_signal,signals,score_tags,premium,sniper,knn_score,swing_trend,pullback_frac,run_len_before,impulse6_atr,retrace_bars_ratio,pullback_vol_ratio,post_sl_tp1,post_sl_max_r,mae_r,mfe_tp1,accel_ratio,buy_pressure,absorption,obv_agree,obv_strength,size_mult,signal_bar,zone_age_bars,bos_candles_ago,extension_atr,room_atr,tp1_beyond_level,entry_range_atr,run_bars
SEIUSDT,320,326,1771863300,1771869600,SHORT,TRAIL,0.067,0.0657632,0.05669332,0.06906134,0.2892535923234423,0.2673139802264568,0.021939612096985514,17,1.81,33.14,0.8079096045197709,0.0062699037749623125,1.7827426426267134,base,adaptive disabled,1.15,84.5,90,100,70,80,NEW_YORK,bearish,bearish,FVG,True,0.0003413369054906166,BOS bearish | Vol 1.8x | FVG | MACD_Div | ChoCH | BearWick | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 17 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | MACD_Div+1 | ChoCH+1 | BearWick+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+1 | TrendPairRisk:1.15,0,1,-1.0,bull,0.2321,2,4.0429,0.0526,2.0276,-1,0.0,0.0922,1.229,0.0,-0.2292,1.672,1.0,-0.3584,0.5625,319,28,6,2.812,2.725,1,1.23,1
ADAUSDT,327,357,1771869600,1771897500,SHORT,TRAIL,0.2633,0.2577707,0.2172225,0.2725155,0.06866827627366572,0.04456113341652297,0.024107142857142747,14,1.44,34.01,0.34999999999999815,0.011167856882319157,1.9938347161345689,base,adaptive disabled,1.15,76.5,90,90,50,80,OFF_HOURS,bearish,bearish,FVG,True,0.0020968545864817486,BOS bearish | Vol 1.4x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1 | TrendPairRisk:1.15,0,0,-1.0,range,0.2411,0,3.9583,0.0526,1.4001,-1,0.0,0.2387,1.067,0.677,-0.2071,0.946,1.0,-0.5652,0.703125,327,1,3,0.954,3.005,0,1.526,5
SUIUSDT,406,412,1771940700,1771947000,SHORT,SL,0.8508,0.84118787,0.77069894,0.86682021,-1.2562257298749535,-1.3358876069664525,0.07966187709149891,15,7.98,34.62,0.3827160493827152,0.008199807340347214,1.5596033563162375,base,adaptive disabled,1.25,84.5,90,100,70,80,NEW_YORK,bearish,bearish,FVG,True,0.004620211000223202,BOS bearish | Vol 8.0x | FVG | ChoCH | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.25,BOS+2 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,1,-1.0,bull,0.481,0,4.2422,0.0526,8.1914,-1,0.0,1.0799,0.8323,1.292,0.1228,3.653,-1.0,0.1199,1.25,406,0,3,1.104,0.022,1,2.186,4
BTCUSDT,409,412,1771943400,1771947000,SHORT,SL,63105.8,62651.43824,59319.452,63863.0696,-0.29247757337677377,-0.3206025733767738,0.028125000000000018,16,1.45,37.51,0.4162124550620472,0.003237223597354582,0.9407878988669619,base,adaptive disabled,1.25,84.5,90,100,70,80,NEW_YORK,bearish,bearish,FVG,True,211.15253258798245,BOS bearish | Vol 1.4x | FVG | ChoCH | Engulfing | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 16 | Risk x1.25,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0,-1.0,range,0.7565,0,3.1693,0.25,4.1217,-1,0.0,1.1111,0.8154,10.0,0.0442,1.34,-1.0,0.092,0.28125,405,2,2,0.665,1.056,1,1.056,0
BTCUSDT,409,412,1771943400,1771947000,SHORT,SL,63105.8,62651.43824,59319.452,63863.0696,-0.38997009783569836,-0.4274700978356984,0.03750000000000002,16,10.45,38.23,0.3287171094045071,0.005807758922361476,1.687825739982653,base,adaptive disabled,1.15,84.3,90,99,70,80,NEW_YORK,bearish,bearish,FVG,True,243.2130659760833,BOS bearish | Vol 10.4x | FVG | ChoCH | Engulfing | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 16 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+1 | TrendPairRisk:1.15,0,0,-1.0,range,0.7565,0,2.7515,0.25,4.1217,-1,0.0,1.1111,0.8154,1.432,0.197,3.852,-1.0,0.3783,0.375,406,3,3,0.516,0.978,1,0.917,0
DOTUSDT,409,451,1771943400,1771982100,SHORT,SL,1.239,1.22255184,1.10193199,1.2664136,-1.1627440394548705,-1.21359015233315,0.050846112878279746,15,5.12,37.24,0.2631578947368347,0.006477302068488085,1.3418810786297357,base,adaptive disabled,1.15,82.7,90,91,70,80,NEW_YORK,bearish,bearish,FVG,True,0.006413602035223668,BOS bearish | Vol 5.1x | FVG | ChoCH | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+1 | TrendPairRisk:1.15,0,1,-1.0,bull,0.7143,0,2.4947,0.25,2.3712,-1,0.0,1.3497,0.7904,0.333,0.0342,2.189,1.0,-0.0471,0.9375,406,3,4,0.624,-1.0,0,1.091,2
ETHUSDT,409,415,1771943400,1771949700,SHORT,SL,1827.15,1813.99452,1717.521,1849.0758,-1.5,-1.6,0.1000000000000001,16,1.6,36.77,0.30900243309003167,0.007997037072931085,1.710335870284142,base,adaptive disabled,1.15,77.9,90,97,50,80,NEW_YORK,bearish,bearish,FVG,True,9.001944688995353,BOS bearish | Vol 1.6x | FVG | ChoCH | Engulfing | BearWick | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 16 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | BearWick+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+1 | TrendPairRisk:1.15,0,1,-1.0,bull,0.9197,5,3.567,0.25,4.6231,-1,0.0,1.5954,1.9118,0.677,0.212,1.875,1.0,-0.4987,1.0,407,18,1,0.288,0.08,1,1.441,4
SUIUSDT,409,412,1771943400,1771947000,SHORT,SL,0.8565,0.8503332,0.80511,0.866778,-0.7589025102159921,-0.833902510215992,0.07499999999999994,16,5.22,31.16,0.5542168674698841,0.0054456509221149614,1.0357628055072665,base,adaptive disabled,1.25,90.5,90,100,90,80,NEW_YORK,bearish,bearish,FVG,True,0.0041986887694128025,BOS bearish | Vol 5.2x | FVG | ChoCH | Engulfing | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 16 | Risk x1.25,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,1,-1.0,bull,0.8061,0,3.644,0.25,3.1572,-1,0.0,1.1286,2.2216,3.407,-0.147,2.81,1.0,-0.1664,0.75,405,2,2,1.524,-1.0,0,1.143,1
XLMUSDT,409,451,1771943400,1771982100,SHORT,SL,0.14932,0.1482449,0.1403608,0.15111184,-1.5,-1.6000000000000005,0.10000000000000063,17,5.98,36.88,0.4883720930232868,0.005182614812730371,1.3326468511877119,base,adaptive disabled,1.15,84.5,90,100,70,80,NEW_YORK,bearish,bearish,FVG,True,0.0005678421638626498,BOS bearish | Vol 6.0x | FVG | ChoCH | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 17 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+1 | NestedOB_1h+2 | TrendPairRisk:1.15,0,0,-1.0,range,0.9132,0,2.9938,0.25,2.9552,-1,0.0,2.6063,1.5068,0.863,0.0864,2.233,-1.0,0.1652,1.0,406,16,1,0.37,0.088,1,1.109,2
XLMUSDT,409,451,1771943400,1771982100,SHORT,SL,0.14932,0.1482449,0.1403608,0.15111184,-1.5,-1.6000000000000005,0.10000000000000063,17,1.88,32.38,0.576923076923103,0.005185729992565317,1.4052385429282093,base,adaptive disabled,1.15,84.5,90,100,70,80,NEW_YORK,bearish,bearish,FVG,True,0.0005442618657697537,BOS bearish | Vol 1.9x | FVG | ChoCH | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 17 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+1 | NestedOB_1h+2 | TrendPairRisk:1.15,0,0,-1.0,range,0.9132,0,3.1235,0.25,2.9552,-1,0.0,2.6063,1.5068,1.5,0.0221,2.332,-1.0,0.0437,1.0,408,18,3,0.974,-1.0,0,1.158,2
