symbol,direction,entry_time,exit_time,entry,sl,tp1,outcome,net_r,risk_pct,size_mult,eff_ratio,z
DOTUSDT,LONG,1771665300,1771666200,1.374,1.3618571428571429,1.3800714285714286,TP2,0.4547388235294027,0.008837596173840733,1,0.5000000000000017,2.3440966720748144
AAVEUSDT,LONG,1771666200,1771667100,120.93,119.47142857142858,121.65928571428572,TP2,0.466836043095,0.012061286931046288,1,0.7678275290215579,2.248832682991716
ADAUSDT,LONG,1771666200,1771671600,0.2858,0.28344285714285716,0.2869785714285714,SL,-1.0484993939393943,0.008247525742277242,1,0.3203883495145609,2.570963457839489
LINKUSDT,LONG,1771667100,1771673400,8.955,8.908000000000001,8.9785,TP2,0.4237872340425714,0.00524846454494691,1,0.2734082397003766,2.6650660656020593
AVAXUSDT,LONG,1771669800,1771670700,9.26,9.209428571428571,9.285285714285715,TP2,0.4267570621469108,0.0054612773835236465,1,0.23886639676112906,1.8852707294637607
ETHUSDT,LONG,1771672500,1771673400,1978.06,1969.4171428571428,1982.3814285714284,TP2,0.4084534214875898,0.004369360455626781,1,0.4149947201689566,2.054335529172968
SOLUSDT,LONG,1771672500,1771677900,85.57,85.07,85.82,SL,-1.068456,0.00584316933504733,1,0.6018518518518554,2.2565811756901226
TAOUSDT,LONG,1771675200,1771677900,182.2,180.14285714285714,183.22857142857143,SL,-1.0354277777777778,0.0112905755057237,1,0.48888888888888943,1.647936970277671
HYPEUSDT,SHORT,1771677900,1771685100,29.902,30.15514285714286,29.775428571428574,SL,-1.0472492099322799,0.00846575002149881,1,0.13285714285714229,-2.5073383188194085
ZECUSDT,SHORT,1771677900,1771679700,259.55,261.96000000000004,258.345,TP2,0.4569211618257145,0.009285301483336577,1,0.12761506276150317,-2.5216015408285744
AVAXUSDT,LONG,1771680600,1771683300,9.328,9.27742857142857,9.353285714285715,TP2,0.4262192090395661,0.005421465327125747,1,0.5663430420711952,2.076582560684169
XRPUSDT,LONG,1771682400,1771684200,1.4468,1.4381857142857144,1.451107142857143,TP2,0.4328185737976783,0.005954026620324658,1,0.3030303030303061,2.3218849299366577
AAVEUSDT,LONG,1771683300,1771684200,123.84,122.10285714285715,124.70857142857143,TP2,0.47148421052631584,0.014027316352897777,1,0.3459715639810435,1.9373357346057014
BTCUSDT,LONG,1771684200,1771685100,68413.7,68146.94285714286,68547.07857142857,TP2,0.3974142558774968,0.003899177253344597,1,0.20169342599249235,2.559975485748384
ADAUSDT,SHORT,1771690500,1771691400,0.2811,0.28344285714285716,0.2799285714285714,TP2,0.4520073170731827,0.008334603852213256,1,0.2777777777777772,-2.454025553359359
HYPEUSDT,SHORT,1771690500,1771698600,29.709,30.003999999999998,29.5615,SL,-1.0402833898305086,0.009929650947524292,1,0.44649933949801685,-1.869011473181817
LINKUSDT,SHORT,1771690500,1771691400,8.878,8.951714285714287,8.841142857142858,TP2,0.45182480620153864,0.008303028352589122,1,0.2703583061889285,-2.3079456153663505
XLMUSDT,SHORT,1771694100,1771699500,0.16166,0.16293857142857143,0.1610207142857143,SL,-1.0505751955307263,0.007909015393860117,1,0.17586206896551607,-1.830538229068027
SEIUSDT,SHORT,1771695000,1771715700,0.07063,0.07122571428571428,0.07033214285714286,TP2,0.45257458033573084,0.00843429542282711,1,0.18045112781955225,-1.9335040044483678
TAOUSDT,LONG,1771696800,1771707600,184.4,181.84285714285716,185.67857142857142,SL,-1.0288446927374304,0.013867369073442722,1,0.3684210526315784,2.323504695074445
ADAUSDT,SHORT,1771707600,1771711200,0.2791,0.2811,0.2781,SL,-1.05582,0.007165890361877469,1,0.24137931034482538,-2.73054616385464
AVAXUSDT,SHORT,1771707600,1771715700,9.15,9.209,9.1205,TP2,0.4379661016949301,0.006448087431693965,1,0.23835616438355964,-2.8082429063062517
XLMUSDT,SHORT,1771718400,1771720200,0.16087,0.1617157142857143,0.16044714285714287,TP2,0.42391283783783684,0.005257128648686983,1,0.3015873015873056,-1.5517702973884682
AVAXUSDT,SHORT,1771719300,1771720200,9.07,9.127,9.041500000000001,TP2,0.43635087719296645,0.006284454244762913,1,0.5482233502538052,-1.8590760817552756
LINKUSDT,SHORT,1771719300,1771720200,8.859,8.90242857142857,8.837285714285715,TP2,0.4184039473684211,0.004902197926241277,1,0.366666666666663,-1.402450204327723
LABUSDT,SHORT,1771721100,1771730100,0.13893,0.1405485714285714,0.1381207142857143,TP2,0.46566601941747565,0.011650265807035381,1,0.3383458646616564,-1.736141511612894
NEARUSDT,SHORT,1771721100,1771729200,1.0348,1.045142857142857,1.0296285714285713,TP2,0.45998011049724796,0.00999503009553252,1,0.29677419354838636,-3.0393435042597035
SEIUSDT,SHORT,1771721100,1771726500,0.07006,0.07043,0.06987499999999999,SL,-1.0757405405405398,0.005281187553525596,1,0.4300518134715103,-1.9706832125642362
