symbol,direction,entry_time,exit_time,entry,sl,tp1,outcome,net_r,risk_pct,size_mult,eff_ratio,z
NEARUSDT,SHORT,1771810200,1771812000,0.982,0.9977428571428572,0.9780642857142857,TP2,0.22504900181488027,0.016031422752400357,1,0.3722222222222221,-2.9412829565730148
SOLUSDT,SHORT,1771810200,1771812000,78.43,79.8257142857143,78.08107142857143,TP2,0.22752262026612077,0.017795668567057058,1,0.6893491124260359,-3.0540855324897906
SUIUSDT,SHORT,1771810200,1771812000,0.8692,0.8841714285714285,0.8654571428571428,TP2,0.22677709923664305,0.017224377095522977,1,0.5971394517282493,-3.2751511584488093
HYPEUSDT,SHORT,1771816500,1771817400,27.291,27.850857142857144,27.151035714285715,TP2,0.2305014544526649,0.02051435062317771,1,0.6528599605522696,-1.6968054189221156
AAVEUSDT,SHORT,1771817400,1771824600,111.36,113.44857142857143,110.83785714285715,SL,-1.0213274965800274,0.01875513136288999,1,0.6660231660231694,-1.3217480653890048
LABUSDT,LONG,1771828200,1771844400,0.13695,0.13447571428571428,0.13756857142857143,TP2,0.22786027713626428,0.01806707348876024,1,0.2601156069364163,3.049288265377478
ZECUSDT,LONG,1771850700,1771854300,251.42,247.10999999999999,252.4975,SL,-1.0233336426914152,0.0171426298623817,1,0.3604336043360423,2.9787327299593693
HYPEUSDT,SHORT,1771855200,1771856100,27.12,27.560285714285715,27.009928571428574,TP2,0.22536145360155332,0.016234723978086757,1,0.309612320764737,-2.226754046456812
SUIUSDT,SHORT,1771862400,1771863300,0.8857,0.9001428571428572,0.8820892857142858,TP2,0.22547022749752338,0.01630671462442944,1,0.40304182509505626,-2.128457498137417
TAOUSDT,SHORT,1771862400,1771863300,169.1,172.4142857142857,168.27142857142857,TP2,0.22959137931034268,0.019599560699501556,1,0.26717557251908236,-1.7537169677321711
AAVEUSDT,SHORT,1771863300,1771866900,115.85,117.87142857142857,115.34464285714286,TP2,0.22707561837455476,0.01744867131142486,1,0.18088737201365301,-2.538180722127717
ADAUSDT,SHORT,1771866900,1771867800,0.2648,0.2691142857142857,0.26372142857142855,TP2,0.22544900662251646,0.016292619766939954,1,0.3199999999999997,-1.6756565404437964
HYPEUSDT,SHORT,1771866900,1771867800,26.208,26.800714285714285,26.05982142857143,TP2,0.23231323210411847,0.0226157770800628,1,0.5161825726141107,-1.4923369730217957
DOTUSDT,SHORT,1771867800,1771869600,1.258,1.2785714285714285,1.252857142857143,TP2,0.22553888888888887,0.016352486940722222,1,0.6144578313252974,-2.0601472801208036
AVAXUSDT,SHORT,1771868700,1771869600,8.386,8.521714285714285,8.352071428571428,TP2,0.22528336842105265,0.016183434976661804,1,0.6020942408376977,-2.2195687560116117
ETHUSDT,SHORT,1771868700,1771869600,1847.53,1877.7614285714285,1839.972142857143,TP2,0.22555484358756073,0.016363159770844633,1,0.526562958614617,-2.34706359535343
TAOUSDT,SHORT,1771903800,1771905600,167.4,170.35714285714286,166.66071428571428,TP2,0.2273565217391353,0.017665130568356387,1,0.3170731707317082,-2.7784564421125086
SUIUSDT,SHORT,1771904700,1771905600,0.8577,0.8718857142857143,0.8541535714285714,TP2,0.22581510574018515,0.016539249487832898,1,0.3986486486486462,-2.762310337491472
AAVEUSDT,SHORT,1771906500,1771922700,111.77,113.57428571428571,111.31892857142857,SL,-1.0247787806809185,0.01614284436150768,1,0.45051698670605406,-2.275646544542417
XRPUSDT,SHORT,1771906500,1771944300,1.324,1.3455000000000001,1.3186250000000002,TP2,0.22536744186045993,0.016238670694864035,1,0.3936305732484111,-2.301354062886228
ZECUSDT,SHORT,1771906500,1771907400,233.24,237.34857142857143,232.21285714285716,TP2,0.22729235048678548,0.017615209349045736,1,0.3816743572841146,-2.2377390101338017
TAOUSDT,LONG,1771947000,1771949700,169.8,166.84285714285716,170.5392857142857,TP2,0.22703188405796615,0.017415446744068596,1,0.472868217054262,2.737680124034189
ZECUSDT,LONG,1771948800,1771949700,238.57,234.49714285714285,239.5882142857143,TP2,0.22656976499474046,0.01707195851472169,1,0.2844996729888814,3.118814567751466
NEARUSDT,LONG,1771949700,1771967700,0.9871,0.9696428571428571,0.9914642857142857,SL,-1.02261767594108,0.01768528300794535,1,0.2318634423897578,3.2653328522743834
