symbol,direction,entry_time,exit_time,entry,sl,tp1,outcome,net_r,risk_pct,size_mult,eff_ratio,z
LABUSDT,SHORT,1771668900,1771674300,0.14074,0.14334,0.14009,TP2,0.22834769230769764,0.018473781440954944,1,0.14485514485514525,2.1705582126079728
LABUSDT,SHORT,1771690500,1771691400,0.14122,0.1436757142857143,0.14060607142857146,TP2,0.22699732402559059,0.017389281162117853,1,0.0626185958254264,2.717693813100325
LABUSDT,LONG,1771810200,1771811100,0.1336,0.13112285714285712,0.1342192857142857,TP2,0.22842675893886688,0.018541488451668118,1,0.22958693563881094,-2.1190975740022258
LABUSDT,SHORT,1771828200,1771831800,0.13695,0.1394242857142857,0.13633142857142855,TP2,0.22786027713626428,0.01806707348876024,1,0.2601156069364163,3.049288265377478
AAVEUSDT,LONG,1771863300,1771864200,115.85,113.82857142857142,116.35535714285713,TP2,0.22707561837455476,0.01744867131142486,1,0.18088737201365301,-2.538180722127717
ZECUSDT,LONG,1771863300,1771864200,240.61,236.47285714285715,241.64428571428573,TP2,0.22673660220994482,0.01719439282300349,1,0.2718136135221559,-2.6112761068244064
SOLUSDT,LONG,1771866900,1771872300,78.53,77.14428571428572,78.87642857142858,TP2,0.2273315463917552,0.0176456677157047,1,0.2608695652173909,-2.0494140317128777
HYPEUSDT,LONG,1771898400,1771901100,26.052,25.631285714285713,26.15717857142857,TP2,0.22523069609507435,0.016149020640038644,1,0.2654028436018956,-2.0272996042923506
TAOUSDT,LONG,1771902900,1771911000,168.5,165.62857142857143,169.21785714285716,SL,-1.0234726368159204,0.017041119118270494,1,0.2566371681415938,-2.562552677699001
NEARUSDT,LONG,1771906500,1771907400,0.9697,0.9538,0.973675,TP2,0.22560503144653737,0.016396823759925745,1,0.17770034843205515,-2.188140597405709
TAOUSDT,SHORT,1771946100,1771949700,168.6,171.37142857142857,167.90714285714284,SL,-1.0243340206185567,0.016437891882731676,1,0.22962962962962777,2.686759397461148
HYPEUSDT,SHORT,1771947000,1771947900,26.773,27.225285714285715,26.659928571428573,TP2,0.22632204674667952,0.01689335204443706,1,0.19505340078695932,2.062456376464484
ZECUSDT,SHORT,1771948800,1771951500,238.57,242.64285714285714,237.5517857142857,SL,-1.0234302350052613,0.01707195851472169,1,0.2844996729888814,3.118814567751466
NEARUSDT,SHORT,1771949700,1771950600,0.9871,1.004557142857143,0.9827357142857143,TP2,0.22738232405891823,0.01768528300794535,1,0.2318634423897578,3.2653328522743834
TAOUSDT,SHORT,1771983000,1771984800,173.2,176.17142857142855,172.45714285714286,TP2,0.22668461538461301,0.01715605410755527,1,0.22784810126582186,2.9467899541839517
ZECUSDT,SHORT,1771983900,1771986600,248.4,252.70285714285714,247.3242857142857,TP2,0.2269083665338678,0.0173222912353347,1,0.12769679300291548,2.453453618960541
LABUSDT,SHORT,1772012700,1772013600,0.15104,0.15523714285714285,0.14999071428571428,TP2,0.23560544588155538,0.02778828692493943,1,0.20640569395017705,2.2036707823647714
AAVEUSDT,SHORT,1772031600,1772032500,119.67,121.62857142857142,119.18035714285715,TP2,0.22555973741794305,0.016366436271174258,1,0.1453175457481175,2.3149968376072754
ZECUSDT,SHORT,1772031600,1772032500,248.3,253.27714285714285,247.0557142857143,TP2,0.2300447761194058,0.020044876589379177,1,0.29738697635835804,2.445820390063863
TAOUSDT,SHORT,1772045100,1772046900,184.1,187.34285714285713,183.2892857142857,TP2,0.22729162995594712,0.017614650422906795,1,0.2948717948717957,2.0515141818336353
LABUSDT,LONG,1772053200,1772055900,0.14678,0.14396857142857142,0.14748285714285714,TP2,0.22911666666666666,0.01915403032721469,1,0.23155216284987246,-2.3341572363606917
ETHUSDT,SHORT,1772056800,1772059500,2100.21,2134.66,2091.5975,TP2,0.22561439767780042,0.016403121592602588,1,0.25401241172694283,2.296355505025892
AAVEUSDT,LONG,1772059500,1772063100,120.74,118.67571428571428,121.25607142857143,SL,-1.0233959861591695,0.017096949762180857,1,0.24034334763948467,-3.113365663683386
ZECUSDT,LONG,1772059500,1772063100,252.36,247.3957142857143,253.60107142857146,SL,-1.0203340431654675,0.019671444421801087,1,0.07363834422657982,-2.525756392482614
AVAXUSDT,LONG,1772062200,1772064900,9.544,9.386285714285716,9.583428571428572,TP2,0.22579420289855068,0.016524967069811956,1,0.2727272727272719,-2.494756992796705
HYPEUSDT,LONG,1772064000,1772065800,27.884,27.28242857142857,28.03439285714286,TP2,0.23145922583709483,0.02157407217656822,1,0.25773195876288607,-2.0253282459415742
LABUSDT,SHORT,1772071200,1772072100,0.15079,0.15378285714285714,0.15004178571428572,TP2,0.22984668257756558,0.01984784894792184,1,0.2910216718266258,2.288661537816378
DOTUSDT,LONG,1772082900,1772090100,1.595,1.541,1.6085,TP2,0.23818518518518625,0.033855799373040785,1,0.09890109890109951,-2.0063645846358034
LABUSDT,LONG,1772082900,1772090100,0.1467,0.14429999999999998,0.1473,TP2,0.22554999999999426,0.01635991820040901,1,0.17013888888888876,-2.6528790910662474
NEARUSDT,LONG,1772084700,1772086500,1.1408,1.1198428571428571,1.1460392857142858,TP2,0.22822603953647164,0.018370567020637125,1,0.29452852153667114,-2.106139608984418
LABUSDT,SHORT,1772099100,1772100900,0.15119,0.15374857142857143,0.15055035714285714,TP2,0.22636337241764118,0.016922887946103856,1,0.22413793103448135,2.8689515052786576
HYPEUSDT,LONG,1772119800,1772120700,28.211,27.59428571428571,28.36517857142857,TP2,0.23170238591614262,0.02186077365971737,1,0.28153380423814295,-2.064541626868443
ADAUSDT,LONG,1772122500,1772123400,0.2889,0.28372857142857144,0.29019285714285714,TP2,0.2276541436464115,0.017900410423774913,1,0.09890109890110024,-2.0227305169333447
DOTUSDT,LONG,1772122500,1772123400,1.554,1.4981428571428572,1.5679642857142857,TP2,0.23887161125319592,0.0359441073726788,1,0.09243697478991597,-2.481953184479527
LINKUSDT,LONG,1772122500,1772123400,9.067,8.920714285714286,9.10357142857143,TP2,0.22520742187500611,0.016133860624872026,1,0.26810176125244933,-2.011599029590149
