symbol,direction,entry_time,exit_time,entry,sl,tp1,outcome,net_r,risk_pct,size_mult,eff_ratio,z
TAOUSDT,SHORT,1771665300,1771666200,180.2,181.67142857142855,179.4642857142857,SL,-1.0489864077669904,0.008165530363088619,1,0.10714285714285732,2.219723682508481
HYPEUSDT,SHORT,1771666200,1771667100,30.507,30.758428571428574,30.381285714285717,TP2,0.4514661363636294,0.008241668188565646,1,0.20063694267516002,2.6964876315999864
LINKUSDT,SHORT,1771666200,1771668900,8.941,8.989571428571429,8.916714285714287,TP2,0.4263682352941168,0.005432438046239575,1,0.28676470588235703,2.7792410382943795
ETHUSDT,SHORT,1771667100,1771672500,1971.88,1979.5357142857144,1968.052142857143,SL,-1.1030278783355105,0.0038824443098536797,1,0.2923597406258879,2.161478211869702
LABUSDT,SHORT,1771668900,1771674300,0.14074,0.14334,0.13944,TP2,0.4783476923076923,0.018473781440954944,1,0.14485514485514525,2.1705582126079728
HYPEUSDT,LONG,1771677900,1771682400,29.902,29.648857142857143,30.02857142857143,TP2,0.4527507900677131,0.00846575002149881,1,0.13285714285714229,-2.5073383188194085
ZECUSDT,LONG,1771677900,1771683300,259.55,257.14,260.755,TP2,0.4569211618257145,0.009285301483336577,1,0.12761506276150317,-2.5216015408285744
NEARUSDT,LONG,1771681500,1771682400,1.0719,1.058657142857143,1.0785214285714286,TP2,0.46762330097087346,0.01235456399184347,1,0.2249999999999997,-2.0416781209597405
LINKUSDT,SHORT,1771682400,1771684200,8.972,9.025428571428572,8.945285714285713,SL,-1.0671700534759352,0.005955034711164959,1,0.25925925925925397,2.209376208572143
XRPUSDT,SHORT,1771683300,1771684200,1.447,1.455857142857143,1.4425714285714286,SL,-1.0653483870967742,0.00612103860203377,1,0.1344086021505419,2.208991598077735
BTCUSDT,SHORT,1771684200,1771688700,68413.7,68680.45714285714,68280.32142857142,SL,-1.1025857441225304,0.003899177253344597,1,0.20169342599249235,2.559975485748384
ADAUSDT,LONG,1771720200,1771725600,0.2783,0.27637142857142855,0.2792642857142857,TP2,0.4422785185185044,0.006929829064216451,1,0.25000000000000144,-2.6323863452527125
