symbol,direction,entry_time,exit_time,entry,sl,tp1,outcome,net_r,risk_pct,size_mult,eff_ratio,z
ADAUSDT,SHORT,1771667100,1771668000,0.2854,0.28778571428571426,0.2842071428571429,TP2,0.452148502994,0.008359195114626029,1,0.19607843137254943,1.8046593513716909
DOTUSDT,SHORT,1771667100,1771668000,1.388,1.4027142857142856,1.380642857142857,TP2,0.46226796116504865,0.010601070399341314,1,0.5526315789473687,2.4352171302553454
HYPEUSDT,SHORT,1771667100,1771668900,30.418,30.67457142857143,30.289714285714286,TP2,0.4525777282850712,0.008434855301841985,1,0.08443067389620262,1.5287318826692773
LABUSDT,SHORT,1771669800,1771674300,0.14048,0.14312285714285714,0.1391585714285714,TP2,0.4787381621621674,0.01881304913765052,1,0.08325171400587537,1.3747118593350187
AAVEUSDT,SHORT,1771671600,1771672500,120.56,121.97142857142858,119.85428571428572,SL,-1.0341668016194332,0.011707270831358401,1,0.3471337579617845,1.0658700549223108
TAOUSDT,SHORT,1771673400,1771677900,181.2,183.1142857142857,180.24285714285713,TP2,0.4621373134328358,0.010564490696941034,1,0.43243243243243223,1.1976805857698507
ZECUSDT,LONG,1771678800,1771683300,259.83,257.6557142857143,260.91714285714284,TP2,0.45219947437582153,0.008368108818403289,1,0.11941848390446952,-1.987634372006971
NEARUSDT,LONG,1771682400,1771686900,1.0783,1.0648428571428572,1.0850285714285715,SL,-1.032051380042463,0.01247996184470253,1,0.12787723785166244,-1.1850958528832372
AAVEUSDT,SHORT,1771684200,1771686000,123.29,125.20714285714287,122.33142857142857,TP2,0.474276304023845,0.015549865010486328,1,0.18971848225214366,1.2350785202252503
TAOUSDT,SHORT,1771686000,1771690500,182.3,184.8,181.05,TP2,0.470832,0.013713658804168952,1,0.1724137931034488,1.012424364800835
XRPUSDT,SHORT,1771686000,1771687800,1.4543,1.4659714285714285,1.4484642857142855,TP2,0.4501586291309766,0.008025461439475065,1,0.36421052631578943,1.8002553934375018
AAVEUSDT,LONG,1771691400,1771695900,121.77,120.04714285714286,122.63142857142857,TP2,0.4717283582089593,0.014148453172843403,1,0.0994318181818185,-1.0695818337354754
LINKUSDT,LONG,1771691400,1771695900,8.884,8.806428571428572,8.922785714285714,TP2,0.45418931860036843,0.008731588087733985,1,0.19047619047619566,-1.7663792097758908
ZECUSDT,LONG,1771691400,1771703100,258.97,255.4614285714286,260.7242857142857,TP2,0.4704757328990146,0.013548177119247096,1,0.16883116883117205,-1.2228720241380475
TAOUSDT,SHORT,1771697700,1771704000,184.2,186.89999999999998,182.85,TP2,0.47271111111111097,0.014657980456025977,1,0.3090909090909054,1.9274233790787834
LABUSDT,SHORT,1771700400,1771706700,0.14139,0.14399142857142855,0.1400892857142857,TP2,0.4782596375617845,0.018398957291382474,1,0.05851413543721248,1.023078177806952
AAVEUSDT,SHORT,1771702200,1771706700,123.42,124.69,122.785,TP2,0.4611275590551237,0.010290066439799076,1,0.18908382066277127,1.1630345806335116
LABUSDT,LONG,1771708500,1771715700,0.13956,0.13753714285714283,0.14057142857142857,TP2,0.47240338983050856,0.014494533841051505,1,0.0027598896044160252,-1.223556496321061
HYPEUSDT,LONG,1771709400,1771723800,29.72,29.441,29.859499999999997,TP2,0.45739068100357766,0.00938761776581423,1,0.11365807067812732,-1.147269524082864
ZECUSDT,SHORT,1771712100,1771713900,261.0,263.40000000000003,259.8,TP2,0.45649999999998836,0.009195402298850611,1,0.1732473811442387,1.2988617559342794
TAOUSDT,LONG,1771716600,1771721100,181.7,179.55714285714285,182.77142857142857,SL,-1.0339173333333334,0.011793379982703064,1,0.2444444444444471,-1.3860692236078165
LABUSDT,LONG,1771722000,1771723800,0.13896,0.13733285714285715,0.13977357142857144,TP2,0.4658395083406582,0.011709433341557676,1,0.37345679012346006,-1.551356068422206
NEARUSDT,LONG,1771722000,1771729200,1.0403,1.0291285714285716,1.0458857142857143,SL,-1.0372485933503839,0.010738660551214538,1,0.24265842349304562,-1.8143877333921576
ZECUSDT,LONG,1771728300,1771731000,257.65,254.8328571428571,259.05857142857144,SL,-1.0365831643002026,0.010933991294946125,1,0.33925925925926514,-1.5915139100727382
ADAUSDT,LONG,1771730100,1771740900,0.277,0.27471428571428574,0.2781428571428572,SL,-1.0484749999999996,0.008251676121712287,1,0.32631578947367734,-1.786556144493044
DOTUSDT,LONG,1771730100,1771739100,1.349,1.3378571428571429,1.3545714285714285,SL,-1.0484256410256412,0.00826008683681032,1,0.16666666666666666,-2.1835204716499876
XLMUSDT,LONG,1771731900,1771732800,0.15546,0.15346999999999997,0.15645499999999998,TP2,0.468751758793963,0.012800720442557648,1,0.7886178861788676,-1.5837231029329815
NEARUSDT,LONG,1771738200,1771741800,1.0267,1.017485714285714,1.0313071428571428,TP2,0.4554300775193679,0.008974662232673368,1,0.2265193370165769,-1.484754862841773
TAOUSDT,LONG,1771741800,1771743600,177.4,175.94285714285715,178.12857142857143,TP2,0.45130196078431406,0.008213883072958669,1,0.4666666666666616,-1.133358311202197
ZECUSDT,LONG,1771752600,1771755300,250.09,246.84428571428572,251.71285714285716,TP2,0.469179049295779,0.01297818499625852,1,0.43409490333919154,-1.85804543022794
LABUSDT,LONG,1771753500,1771754400,0.13666,0.13527428571428574,0.13735285714285714,TP2,0.4605517525773194,0.010139867449980095,1,0.13969571230981812,-1.6559635846020428
LABUSDT,LONG,1771764300,1771771500,0.13668,0.1350357142857143,0.13750214285714285,TP2,0.4667503040834056,0.012030185208411686,1,0.23556942277690854,-1.103919024610483
HYPEUSDT,LONG,1771765200,1771767000,29.323,29.045,29.462,TP2,0.4578086330935252,0.00948061248849027,1,0.10133542812254373,-1.373722226799995
ADAUSDT,LONG,1771772400,1771784100,0.2717,0.2693285714285714,0.2728857142857143,SL,-1.0458289156626508,0.00872811399127183,1,0.5999999999999948,-1.2944379415003098
DOTUSDT,LONG,1771772400,1771776000,1.314,1.3015714285714286,1.3202142857142858,TP2,0.4577103448275864,0.009458577951728681,1,0.38181818181817595,-1.1939852582473303
SUIUSDT,LONG,1771772400,1771775100,0.9198,0.9106,0.9243999999999999,TP2,0.4600086956521678,0.010002174385736015,1,0.43163538873994517,-1.3878965016830047
AAVEUSDT,LONG,1771778700,1771779600,117.72,116.77714285714286,118.19142857142857,TP2,0.45005818181818935,0.008009319935925433,1,0.37190082644627903,-1.0368336132533658
LABUSDT,LONG,1771778700,1771781400,0.13525,0.13349,0.13613,TP2,0.4692613636363558,0.013012939001848455,1,0.2374269005847965,-1.458130391184542
DOTUSDT,LONG,1771783200,1771795800,1.312,1.3007142857142857,1.3176428571428571,SL,-1.0465012658227848,0.00860191637630664,1,0.12,-1.2555553408646796
LINKUSDT,LONG,1771783200,1771799400,8.629,8.558285714285713,8.664357142857142,TP2,0.4511894949494825,0.008194957204112395,1,0.3874538745387509,-1.981759271734105
TAOUSDT,LONG,1771789500,1771793100,173.5,172.02857142857144,174.2357142857143,SL,-1.0471650485436894,0.008480856319473021,1,0.11904761904761857,-1.0032298403116577
SOLUSDT,LONG,1771804800,1771807500,82.73,82.00571428571429,83.09214285714286,SL,-1.0456891518737672,0.008754813420593682,1,0.08536585365853616,-1.4326951388596356
LABUSDT,SHORT,1771806600,1771807500,0.13633,0.13782714285714287,0.13558142857142857,TP2,0.46357595419847336,0.010981756452305872,1,0.16594516594516856,1.7947961147118603
NEARUSDT,SHORT,1771806600,1771807500,1.022,1.0311571428571429,1.0174214285714287,TP2,0.45535725429015955,0.008960022365110435,1,0.30077120822622444,1.8612022461893138
LABUSDT,LONG,1771809300,1771826400,0.13434,0.13206857142857142,0.13547571428571428,TP2,0.4763426415094401,0.01690805844445865,1,0.13250517598343795,-1.2435137999759327
AAVEUSDT,LONG,1771811100,1771824600,112.5,110.76285714285714,113.36857142857143,TP2,0.47409539473684215,0.015441269841269855,1,0.5064655172413803,-2.373940479234645
ADAUSDT,LONG,1771811100,1771824600,0.2601,0.2559857142857143,0.26215714285714287,TP2,0.4747125000000067,0.01581809194265938,1,0.4659685863874381,-2.3432169649949723
AAVEUSDT,SHORT,1771826400,1771827300,113.67,114.95285714285714,113.02857142857144,SL,-1.0354427616926505,0.011285802259673962,1,0.0628415300546439,2.011760860461808
NEARUSDT,SHORT,1771826400,1771827300,0.9914,1.0010857142857144,0.9865571428571428,SL,-1.040942772861357,0.00976973399809794,1,0.003021148036255114,1.4089310947690854
LABUSDT,SHORT,1771827300,1771828200,0.13528,0.13748857142857143,0.1341757142857143,SL,-1.0245009055627425,0.016325927177494325,1,0.1330612244897958,1.6940932043597428
ZECUSDT,SHORT,1771828200,1771830900,243.34,248.40857142857143,240.8057142857143,SL,-1.019203833145434,0.02082917493454194,1,0.4211150652431814,1.8435290269436653
LABUSDT,SHORT,1771891200,1771896600,0.13554,0.1369685714285714,0.13482571428571427,TP2,0.4620488000000098,0.010539851177301387,1,0.32919254658385444,1.409755948830043
SOLUSDT,LONG,1771891200,1771892100,77.86,77.10285714285715,78.23857142857143,TP2,0.45886641509434895,0.00972441378298041,1,0.23728813559322184,-1.59578481476994
