symbol,direction,entry_time,exit_time,entry,sl,tp1,outcome,net_r,risk_pct,size_mult,eff_ratio,z
DOTUSDT,SHORT,1772035200,1772042400,1.516,1.5817142857142856,1.483142857142857,SL,-1.0276834782608697,0.04334715416509607,1,0.7110266159695826,1.1985145910141255
DOTUSDT,SHORT,1772050500,1772054100,1.624,1.679,1.5965,SL,-1.0354327272727273,0.033866995073891626,1,0.4621848739495807,2.0137118640378895
NEARUSDT,SHORT,1772053200,1772057700,1.2321,1.2625,1.2168999999999999,TP2,0.45136447368421423,0.02467332197061928,1,0.8028169014084513,1.862762472406509
SUIUSDT,LONG,1772064000,1772105400,0.9684,0.9437000000000001,0.98075,SL,-1.0470477732793524,0.02550598926063606,1,0.1219110378912673,-1.8251333148542377
ZECUSDT,LONG,1772064900,1772068500,244.88,238.9685714285714,247.8357142857143,TP2,0.4502901884968585,0.024140103607597923,1,0.4173228346456699,-1.9799955847793134
NEARUSDT,LONG,1772067600,1772091900,1.1661,1.126442857142857,1.1859285714285714,SL,-1.035285446685879,0.03400835507858926,1,0.1626898047722341,-1.3831491828563245
DOTUSDT,LONG,1772092800,1772096400,1.579,1.5335714285714284,1.6017142857142856,TP2,0.4582905660377335,0.02877046955577678,1,0.24107142857142805,-1.1955053690339523
DOTUSDT,SHORT,1772114400,1772117100,1.612,1.6521428571428571,1.5919285714285716,TP2,0.4518120996441281,0.0249025168380007,1,0.01136363636363635,0.6034116775348441
DOTUSDT,LONG,1772123400,1772148600,1.576,1.515857142857143,1.6060714285714286,TP2,0.46855486935866986,0.03816171138506164,1,0.007751937984496124,-1.2324573021328553
TAOUSDT,LONG,1772123400,1772125200,181.5,177.14285714285714,183.67857142857144,SL,-1.0499868852459016,0.024006296733569507,1,0.1772151898734183,-1.244138233007068
DOTUSDT,SHORT,1772166600,1772167500,1.66,1.7017142857142855,1.639142857142857,TP2,0.4522465753424683,0.025129087779690137,1,0.4032258064516111,1.6502062886799338
LABUSDT,SHORT,1772262000,1772263800,0.16094,0.16653857142857142,0.15814071428571427,SL,-1.0344959428425617,0.034786699568605896,1,0.11879699248120358,0.7581278638142146
DOTUSDT,LONG,1772262900,1772270100,1.511,1.471142857142857,1.5309285714285714,SL,-1.0454924731182795,0.026377989978254718,1,0.541899441340783,-1.324104275941035
TAOUSDT,LONG,1772262900,1772268300,171.5,167.22857142857143,173.63571428571427,SL,-1.048180602006689,0.024906289046230715,1,0.38999999999999857,-1.9925767927977462
ZECUSDT,LONG,1772262900,1772269200,208.26,203.09857142857143,210.84071428571428,SL,-1.0484191530584002,0.024783580963356245,1,0.6164032464758632,-2.119585352964547
DOTUSDT,SHORT,1772324100,1772327700,1.644,1.690142857142857,1.6209285714285713,TP2,0.457245820433439,0.028067431352102885,1,0.3269230769230762,0.7445938846588402
NEARUSDT,SHORT,1772324100,1772326800,1.1593,1.191542857142857,1.1431785714285714,TP2,0.456853699601244,0.027812349817007778,1,0.4251207729468584,0.6819588637674452
