symbol,direction,entry_time,exit_time,entry,sl,tp1,outcome,net_r,risk_pct,size_mult,eff_ratio,z
LABUSDT,SHORT,1771669800,1771674300,0.14048,0.14312285714285714,0.1398192857142857,TP2,0.2287381621621648,0.01881304913765052,1,0.08325171400587537,1.3747118593350187
NEARUSDT,LONG,1771678800,1771686900,1.0808,1.0663428571428573,1.0844142857142856,SL,-1.03286798418973,0.013376334989954379,1,0.14390243902439012,-0.8981433295877868
DOTUSDT,LONG,1771679700,1771682400,1.376,1.3599999999999999,1.38,TP2,0.21559999999999996,0.011627906976744175,1,0.23404255319148756,-0.4228426002491288
ZECUSDT,LONG,1771682400,1771684200,260.51,258.11285714285714,261.1092857142857,TP2,0.20652991656734185,0.009201730671155983,1,0.18342151675484908,-0.481478589080366
AAVEUSDT,LONG,1771691400,1771693200,121.77,120.04714285714286,122.20071428571428,TP2,0.22172835820895725,0.014148453172843403,1,0.0994318181818185,-1.0695818337354754
AVAXUSDT,LONG,1771692300,1771695900,9.239,9.135285714285715,9.264928571428571,TP2,0.21436749311293912,0.011225704699024334,1,0.07449209932280228,-1.1770500803189143
DOTUSDT,LONG,1771695900,1771700400,1.36,1.346714285714286,1.3633214285714286,TP2,0.20905376344085572,0.009768907563025137,1,0.3500000000000019,-1.251730451896934
XRPUSDT,LONG,1771695900,1771698600,1.4407,1.4259428571428574,1.4443892857142857,TP2,0.21094908034849555,0.010243036619103758,1,0.022508038585210083,-0.7372857317890764
LABUSDT,SHORT,1771700400,1771705800,0.14139,0.14399142857142855,0.14073964285714285,TP2,0.22825963756177656,0.018398957291382474,1,0.05851413543721248,1.023078177806952
SOLUSDT,LONG,1771705800,1771706700,86.05,85.49142857142857,86.18964285714286,SL,-1.0616214833759587,0.006491242633020711,1,0.18819188191881922,-0.9232262730741725
NEARUSDT,SHORT,1771706700,1771707600,1.056,1.0628714285714285,1.054282142857143,TP2,0.188528066528066,0.006507034632034576,1,0.09138381201044699,0.9836756229909358
AAVEUSDT,LONG,1771708500,1771716600,122.32,121.2842857142857,122.57892857142856,SL,-1.0472408275862068,0.008467252172288145,1,0.10037174721189743,-0.8459306681668173
BTCUSDT,LONG,1771708500,1771709400,68269.5,67999.24285714285,68337.06428571428,TP2,0.14895623215982254,0.003958680565364437,1,0.014903961106238596,-1.133340952084264
ETHUSDT,LONG,1771708500,1771709400,1976.35,1966.3785714285714,1978.8428571428572,TP2,0.170719484240699,0.005045375855202047,1,0.14919530230535433,-2.218066275584605
SOLUSDT,LONG,1771716600,1771726500,85.33,84.70857142857142,85.48535714285714,TP2,0.19507494252873056,0.0072826505499657655,1,0.3312693498452031,-1.0715039818802612
TAOUSDT,LONG,1771716600,1771721100,181.7,179.55714285714285,182.23571428571427,SL,-1.0339173333333334,0.011793379982703064,1,0.2444444444444471,-1.3860692236078165
NEARUSDT,SHORT,1771718400,1771719300,1.0569,1.0651,1.05485,TP2,0.19844390243901056,0.007758539123852734,1,0.07870370370370035,0.9528827188249742
AAVEUSDT,LONG,1771723800,1771726500,120.57,119.59142857142857,120.81464285714286,TP2,0.20071591240876646,0.008116209907700338,1,0.4629629629629698,-1.2012127489503845
HYPEUSDT,SHORT,1771725600,1771727400,29.868,30.053714285714285,29.821571428571428,TP2,0.18566892307691818,0.006217834662993348,1,0.2685274302213653,1.7066792041091603
LABUSDT,SHORT,1771743600,1771744500,0.13835,0.13999,0.13794,TP2,0.21625609756097136,0.011853993494759657,1,0.10579576816927416,0.4470513902342459
SOLUSDT,SHORT,1771744500,1771748100,85.24,85.65714285714284,85.13571428571429,TP2,0.16826301369862126,0.004893745391164423,1,0.15053763440860396,1.8814505401322987
ETHUSDT,SHORT,1771745400,1771749000,1975.25,1981.532857142857,1973.6792857142857,TP2,0.12424511141428637,0.0031807908582999864,1,0.08194343727338572,1.0408797605425184
NEARUSDT,SHORT,1771745400,1771747200,1.0324,1.0398857142857143,1.0305285714285715,TP2,0.19483358778625165,0.007250788730835163,1,0.006211180124223003,0.9501979282296015
TAOUSDT,SHORT,1771748100,1771749000,178.5,179.9142857142857,178.14642857142857,TP2,0.1995151515151514,0.007923169267707064,1,0.14285714285713996,0.8121060291902461
XLMUSDT,SHORT,1771750800,1771755300,0.15591,0.15684857142857142,0.15567535714285713,SL,-1.066445662100456,0.0060199565683499165,1,0.028436018957348465,1.0452034706004998
BTCUSDT,SHORT,1771754400,1771755300,68021.4,68167.78571428571,67984.80357142857,TP2,0.06413104323217028,0.0021520538284380804,1,0.1962872793670168,0.7144846708028524
AAVEUSDT,SHORT,1771756200,1771758000,119.37,120.07571428571428,119.19357142857143,TP2,0.18234089068826412,0.005911990330185854,1,0.10447761194029867,1.6704923078867324
ADAUSDT,SHORT,1771756200,1771758000,0.2763,0.2778142857142857,0.27592142857142854,TP2,0.17701509433964097,0.005480585285145546,1,0.08571428571428481,1.1586105005992506
AVAXUSDT,SHORT,1771756200,1771758000,9.026,9.070857142857141,9.014785714285715,TP2,0.16951337579616754,0.004969769871165783,1,0.11698113207546694,1.569794899533074
SOLUSDT,SHORT,1771759800,1771760700,85.26,85.61428571428571,85.17142857142858,TP2,0.15373870967741896,0.004155356723970359,1,0.05960264900662513,0.9744557065397811
HYPEUSDT,SHORT,1771760700,1771761600,29.743,29.945285714285713,29.69242857142857,TP2,0.19118615819208148,0.006801120071469382,1,0.20724801812004615,1.6637132214116237
SEIUSDT,SHORT,1771760700,1771762500,0.07019,0.07051285714285714,0.07010928571428572,TP2,0.163038938053086,0.004599759835548377,1,0.20805369127515702,0.6176263422362418
TAOUSDT,SHORT,1771776000,1771776900,176.6,178.84285714285713,176.0392857142857,TP2,0.21850445859872608,0.012700210321954368,1,0.17757009345794322,0.5974315958194029
XLMUSDT,SHORT,1771787700,1771794000,0.15503,0.15598428571428571,0.15479142857142858,TP2,0.18501736526945425,0.0061554906423641935,1,0.14509803921568226,1.207861063753765
BTCUSDT,SHORT,1771798500,1771799400,67470.2,67652.82857142857,67424.54285714285,SL,-1.1477757822277836,0.002706803469214152,1,0.006469662528408871,0.8928773726198356
ETHUSDT,SHORT,1771798500,1771799400,1945.93,1953.987142857143,1943.9157142857143,SL,-1.0966064539007079,0.004140510119656394,1,0.024962662684016267,1.0891041001844683
LINKUSDT,SHORT,1771798500,1771799400,8.65,8.696857142857144,8.638285714285715,SL,-1.0738414634146336,0.005417010734929858,1,0.012552301255230748,1.4133482085082711
ADAUSDT,SHORT,1771805700,1771806600,0.2713,0.27337142857142854,0.27078214285714286,TP2,0.19761103448275158,0.007635195618977359,1,0.2051282051282046,1.4207716000974262
