symbol,entry_bar,exit_bar,entry_time,exit_time,direction,outcome,entry,tp1,tp2,sl,gross_r,net_r,cost_r,mtf_score,volume_ratio,rsi,eff_ratio,vol_atr_pct,vol_ratio_regime,adaptive_pack,adaptive_reason,risk_mult,quality_score,trend_score,volatility_score,entry_quality_score,portfolio_risk_score,session,trend_1h,trend_4h,entry_source,signals,score_tags,premium,sniper,knn_score,swing_trend,pullback_frac,run_len_before,impulse6_atr,retrace_bars_ratio,pullback_vol_ratio,post_sl_tp1,post_sl_max_r,mae_r,mfe_tp1,accel_ratio,buy_pressure,absorption,obv_agree,obv_strength,size_mult,signal_bar,zone_age_bars,bos_candles_ago,extension_atr,room_atr,tp1_beyond_level,entry_range_atr,run_bars
DOTUSDT,330,335,1706481000,1706486400,LONG,TRAIL,6.699,6.80408256,7.57468804,6.52386239,0.7728297908142076,0.7540036571099734,0.01882613370423404,17,3.96,66.1,0.41697416974170187,0.008864960365871003,1.6858621770321043,base,adaptive disabled,1.15,74.0,60,100,70,80,DEAD_ZONE,neutral,bullish,FVG,BOS bullish | Vol 4.0x | FVG | MACD_Div | ChoCH | BullWick | Zone:FVG | MTF 17 | Risk x1.15,BOS+2 | 1hN+1 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | MACD_Div+1 | ChoCH+1 | BullWick+1 | Zone:FVG+1 | Sess:DEAD_ZONE | NestedOB_1h+2 | RelStrengthRisk:1.15,0,1,-1.0,bear,0.3692,0,3.1392,0.1765,2.6178,-1,0.0,0.0228,1.6749,0.0,0.1007,2.013,1.0,0.1663,1.23046875,328,0,4,2.566,0.698,1,0.772,0
ADAUSDT,343,402,1706492700,1706546700,LONG,TRAIL,0.4943,0.50146454,0.55400449,0.4823591,0.7666664573022138,0.7503669635454618,0.01629949375675196,14,1.42,60.03,0.4971428571428527,0.006267066981112054,1.227593080510911,base,adaptive disabled,1.0,74.0,60,100,70,80,OFF_HOURS,neutral,bullish,FVG,BOS bullish | Vol 1.4x | FVG | ChoCH | Engulfing | BullWick | Zone:FVG | MTF 14,BOS+2 | BodyStrong+1 | 1hN+1 | 4h+2 | Vol+1 | RSI+1 | BTCok+1 | FVG+1 | ChoCH+1 | Engulfing+1 | BullWick+1 | Zone:FVG+1 | Sess:OFF_HOURS,0,0,-1.0,bull,0.1786,0,3.1377,0.0526,1.424,-1,0.0,0.8877,1.8424,0.0,0.1871,1.941,-1.0,-0.0113,0.984375,343,0,2,0.876,1.861,1,0.73,2
AVAXUSDT,343,402,1706492700,1706546700,LONG,TRAIL,35.343,36.085203,41.528025,34.105995,1.1290027374586094,1.1114246124586096,0.017578124999999955,13,2.71,58.38,0.40109072880515856,0.01104359867789035,1.3949999775239634,base,adaptive disabled,1.15,74.0,60,100,70,80,OFF_HOURS,neutral,bullish,FVG,BOS bullish | Vol 2.7x | FVG | LiqSweep | ChoCH | Zone:FVG | MTF 13 | Risk x1.15,BOS+2 | 1hN+1 | 4h+2 | Vol+2 | RSI+1 | BTCok+1 | FVG+1 | LiqSweep+1 | ChoCH+1 | Zone:FVG+1 | Sess:OFF_HOURS | QualityRisk:1.15,0,0,-1.0,range,0.249,0,3.7138,0.0526,2.8763,-1,0.0,0.8213,1.5427,0.0,0.0641,2.56,1.0,0.0534,1.5380859375,343,0,1,0.803,4.641,0,1.057,2
LINKUSDT,344,404,1706493600,1706548500,LONG,TRAIL,14.603,14.90417619,17.11280161,14.10103968,0.4439965540378781,0.4359422910830767,0.008054262954801385,13,2.84,69.01,0.6897810218978081,0.008448955166101642,1.3904291899582673,base,adaptive disabled,1.0,74.0,60,100,70,80,OFF_HOURS,neutral,bullish,FVG,BOS bullish | Vol 2.8x | FVG | ChoCH | Engulfing | BullWick | Zone:FVG | MTF 13,BOS+2 | 1hN+1 | 4h+2 | Vol+2 | BTCok+1 | FVG+1 | ChoCH+1 | Engulfing+1 | BullWick+1 | Zone:FVG+1 | Sess:OFF_HOURS,0,0,-1.0,bull,0.3875,0,3.3789,0.1111,2.4532,-1,0.0,0.6973,1.2584,6.873,0.2081,1.868,1.0,0.1858,0.692138671875,342,0,6,2.542,-1.0,0,0.919,0
ETHUSDT,427,496,1706568300,1706631300,LONG,TRAIL,2314.7,2333.08473677,2467.90613975,2284.05877205,0.48041889913879987,0.46342194650851215,0.016996952630287766,14,1.89,70.51,0.6239476145930901,0.0035886427791473954,1.1002270288319822,base,adaptive disabled,1.15,78.5,90,100,50,80,DEAD_ZONE,bullish,bullish,FVG,BOS bullish | Vol 1.9x | FVG | ChoCH | Engulfing | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:DEAD_ZONE | Strong1h+1 | QualityRisk:1.15,0,1,-1.0,bear,0.2682,3,2.3513,0.0526,2.0388,-1,0.0,0.625,1.9658,0.0,0.0709,1.824,1.0,0.365,0.5625,427,0,1,0.516,-1.0,0,1.039,2
SOLUSDT,432,438,1706572800,1706579100,LONG,TRAIL,101.34,102.71584572,112.80538098,99.0469238,0.31153565677407374,0.3015920273386455,0.009943629435428262,16,1.73,62.53,0.21153846153845918,0.006010186402873628,0.8888005068729113,base,adaptive disabled,1.15,75.5,90,85,50,80,DEAD_ZONE,bullish,bullish,FVG,BOS bullish | Vol 1.7x | FVG | ChoCH | Engulfing | BullWick | StrongTrend1h | Zone:FVG | MTF 16 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | BullWick+1 | Zone:FVG+1 | Sess:DEAD_ZONE | Strong1h+1 | QualityRisk:1.15,0,0,-1.0,range,0.3441,3,2.192,0.0526,1.7706,-1,0.0,0.157,1.1702,0.423,0.072,1.603,1.0,0.3828,0.5625,432,0,1,0.152,0.135,1,1.079,2
AVAXUSDT,439,465,1706579100,1706603400,LONG,TP1,36.153,36.62081911,40.05149257,35.37330149,0.0,-0.013040978172447778,0.013040978172447778,16,2.32,58.33,0.15151515151514716,0.008160887771991018,1.1017198492218334,base,adaptive disabled,1.15,80.1,90,78,70,80,OFF_HOURS,bullish,bullish,FVG,BOS bullish | Vol 2.3x | FVG | LiqSweep | MACD_Div | ChoCH | StrongTrend1h | Zone:FVG | MTF 16 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTCok+1 | FVG+1 | LiqSweep+1 | MACD_Div+1 | ChoCH+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1 | QualityRisk:1.15,0,1,-1.0,bear,0.3587,4,3.5127,0.0526,2.2939,-1,0.0,0.8862,1.3659,10.0,-0.0606,1.838,1.0,0.1206,0.703125,439,0,1,0.321,1.393,1,1.26,3
LINKUSDT,439,476,1706579100,1706613300,LONG,TRAIL,15.04,15.17422429,16.15853578,14.81629284,0.7805265374608531,0.7490121237067293,0.031514413754123914,17,2.74,63.86,0.39130434782608875,0.006331942100608524,1.1717219771191967,base,adaptive disabled,1.15,84.5,90,100,70,80,OFF_HOURS,bullish,bullish,FVG,BOS bullish | Vol 2.7x | FVG | LiqSweep | ChoCH | StrongTrend1h | Zone:FVG | MTF 17 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTCok+1 | FVG+1 | LiqSweep+1 | ChoCH+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1 | NestedOB_1h+2 | QualityRisk:1.15,0,1,-1.0,bear,0.3802,4,3.2833,0.0526,2.728,-1,0.0,0.4917,1.4379,0.0,-0.023,2.197,1.0,0.0072,1.171875,439,0,1,0.882,-1.0,0,1.248,3
AAVEUSDT,467,478,1706604300,1706615100,LONG,TRAIL,93.0,93.67497084,98.62475703,91.87504859,0.7111418261167398,0.6780737312023113,0.033068094914428525,19,1.48,52.79,0.15306122448979495,0.0037624965726266468,1.067522891198215,base,adaptive disabled,1.15,74.1,90,78,50,80,LONDON,bullish,bullish,FVG,BOS bullish | Vol 1.5x | FVG | LiqSweep | MACD_Div | ChoCH | BullWick | Session:LONDON | StrongTrend1h | Zone:FVG | MTF 19 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | LiqSweep+1 | MACD_Div+1 | ChoCH+1 | BullWick+1 | Zone:FVG+1 | Sess:LONDON | Strong1h+1 | NestedOB_1h+2 | QualityRisk:1.15,0,1,-1.0,bear,0.3659,3,2.2902,19.0,1.0007,-1,0.0,0.1067,1.4815,0.0,0.2258,2.134,-1.0,-0.0854,1.0,467,0,1,0.377,0.464,1,0.696,2
BTCUSDT,481,515,1706616900,1706648400,LONG,TRAIL,43435.0,43747.732,46041.1,42913.78,0.31375906526993924,0.29188406526993926,0.021874999999999954,15,1.3,61.74,0.3763500415397452,0.0022791224384184332,1.1216353921029354,base,adaptive disabled,1.15,78.5,90,100,50,80,OVERLAP,bullish,bullish,FVG,BOS bullish | Vol 1.3x | FVG | ChoCH | BullWick | Session:OVERLAP | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | BullWick+1 | Zone:FVG+1 | Sess:OVERLAP | Strong1h+1 | QualityRisk:1.15,0,0,-1.0,bull,0.5582,4,3.3093,0.0526,3.2679,-1,0.0,0.6097,1.5141,2.808,0.2506,1.062,1.0,0.2116,0.65625,480,4,4,0.698,2.913,1,2.216,3
