symbol,entry_bar,exit_bar,entry_time,exit_time,direction,outcome,entry,tp1,tp2,sl,gross_r,net_r,cost_r,mtf_score,volume_ratio,rsi,eff_ratio,vol_atr_pct,vol_ratio_regime,adaptive_pack,adaptive_reason,risk_mult,quality_score,trend_score,volatility_score,entry_quality_score,portfolio_risk_score,session,trend_1h,trend_4h,entry_source,signals,score_tags,premium,sniper,knn_score,swing_trend,pullback_frac,run_len_before,impulse6_atr,retrace_bars_ratio,pullback_vol_ratio,post_sl_tp1,post_sl_max_r,mae_r,mfe_tp1,accel_ratio,buy_pressure,absorption,obv_agree,obv_strength,size_mult,signal_bar,zone_age_bars,bos_candles_ago,extension_atr,room_atr,tp1_beyond_level,entry_range_atr,run_bars
BTCUSDT,303,313,1674834300,1674844200,LONG,TRAIL,22930.5,23245.0,24306.33,22655.334,0.6117330084385402,0.5898580084385403,0.021874999999999912,18,2.64,65.13,0.4154342565205684,0.005875207114383701,2.327637322200872,base,adaptive disabled,1.0,72.0,60,90,70,80,NEW_YORK,neutral,bullish,FVG,BOS bullish | Vol 2.6x | FVG | LiqSweep | ChoCH | Engulfing | BullWick | Session:NEW_YORK | Zone:FVG | MTF 18,BOS+2 | 1hN+1 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | LiqSweep+1 | ChoCH+1 | Engulfing+1 | BullWick+1 | Zone:FVG+1 | Sess:NEW_YORK | NestedOB_1h+2,0,0,-1.0,range,0.7038,1,3.7353,0.0526,1.079,-1,0.0,0.0251,1.0308,0.0,0.1547,1.885,1.0,0.1554,0.65625,302,2,1,0.729,0.232,1,1.417,0
AAVEUSDT,304,389,1674835200,1674912600,LONG,SL,88.09,89.93989,103.50575,85.00685,-1.3054830287206247,-1.319768743006339,0.01428571428571427,15,1.94,56.36,0.26974664679582716,0.01314495388462388,2.2951089482579583,base,adaptive disabled,1.25,80.9,90,82,70,80,NEW_YORK,bullish,bullish,FVG,BOS bullish | Vol 1.9x | FVG | MACD_Div | ChoCH | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.25,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTCok+1 | FVG+1 | MACD_Div+1 | ChoCH+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+1 | QualityRisk:1.15 | RelStrengthRisk:1.25,0,0,-1.0,range,0.3904,0,3.9483,0.0526,1.8854,-1,0.0,1.2001,0.2379,0.0,0.0669,0.947,-1.0,-0.0071,1.25,304,2,3,0.125,2.008,1,2.054,5
DOTUSDT,323,337,1674852300,1674865800,LONG,TRAIL,6.52,6.61599163,7.31993027,6.36001395,0.13712133026598416,0.13024416816341333,0.006877162102570833,16,4.53,71.77,0.6350364963503716,0.0059138388679059115,1.3538466837096015,base,adaptive disabled,1.0,90.5,90,100,90,80,DEAD_ZONE,bullish,bullish,FVG,BOS bullish | Vol 4.5x | FVG | ChoCH | Engulfing | StrongTrend1h | Zone:FVG | MTF 16,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:DEAD_ZONE | Strong1h+1,0,0,-1.0,bull,0.4529,0,4.4394,0.1111,1.3267,-1,0.0,0.2563,1.0834,3.955,0.1895,2.416,1.0,0.4348,0.421875,321,0,1,1.469,0.031,1,1.219,4
AVAXUSDT,338,340,1674865800,1674868500,LONG,TRAIL,20.95,21.38995,24.61625,20.21675,0.26609913058302215,0.2600723448687364,0.00602678571428573,14,1.7,70.34,0.3435114503816801,0.021269075657822895,2.3308404676904217,base,adaptive disabled,1.0,82.5,90,90,70,80,OFF_HOURS,bullish,bullish,FVG,BOS bullish | Vol 1.7x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 14,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1,0,0,-1.0,bull,0.2458,0,3.8449,0.25,1.4934,-1,0.0,0.2864,1.932,0.726,0.0707,1.469,1.0,0.5154,0.52734375,337,3,5,2.151,-1.0,0,0.753,0
ADAUSDT,342,512,1674869400,1675023300,LONG,TRAIL,0.39086,0.39827972,0.45269097,0.37849381,0.13688722537014286,0.1328869456760738,0.00400027969406907,15,2.43,71.0,0.46852367688022223,0.009540411737650146,1.8348413409872122,base,adaptive disabled,1.15,88.5,90,90,90,80,OFF_HOURS,bullish,bullish,FVG,BOS bullish | Vol 2.4x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1 | RelStrengthRisk:1.15,0,0,-1.0,bull,0.4247,0,3.0486,0.25,0.9017,-1,0.0,1.1426,1.0176,2.376,-0.094,2.034,1.0,0.4306,0.31640625,338,0,1,1.471,-1.0,0,0.835,0
SOLUSDT,358,388,1674883800,1674911700,LONG,SL,24.609,24.91958414,27.19720119,24.09135976,-1.3183593749999971,-1.3350729163632031,0.01671354136320616,16,2.45,57.74,0.39094650205761305,0.015380870023033524,2.4382197486287343,base,adaptive disabled,1.25,88.5,90,90,90,80,OFF_HOURS,bullish,bullish,FVG,BOS bullish | Vol 2.5x | FVG | ChoCH | Engulfing | StrongTrend1h | Zone:FVG | MTF 16 | Risk x1.25,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTCok+1 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1 | QualityRisk:1.15 | RelStrengthRisk:1.25,0,0,-1.0,range,0.7266,0,3.794,0.1111,4.963,-1,0.0,1.5358,0.483,0.0,-0.0069,1.393,1.0,0.2516,0.87890625,358,18,1,0.6,0.6,1,1.762,2
AAVEUSDT,373,388,1674897300,1674911700,LONG,SL,87.45,88.50404535,96.23371128,85.69325774,-1.500000000000004,-1.5199118566203371,0.01991185662033319,18,1.78,56.86,0.26993865030674863,0.0052128384493821634,0.9948588858082034,base,adaptive disabled,1.15,85.9,90,92,80,80,LONDON,bullish,bullish,OB,BOS bullish | Vol 1.8x | FVG | OB | ChoCH | BullWick | Session:LONDON | StrongTrend1h | Zone:OB | MTF 18 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTCok+1 | FVG+1 | OB+1 | ChoCH+1 | BullWick+1 | Zone:OB+1 | Sess:LONDON | Strong1h+1 | NestedOB_1h+2 | QualityRisk:1.15,0,1,-1.0,bear,0.2841,4,2.0332,0.0526,1.751,-1,0.0,1.5939,0.5218,0.0,0.1263,1.918,1.0,0.2102,1.0,373,4,1,0.705,0.785,1,0.926,3
XLMUSDT,379,388,1674902700,1674911700,LONG,SL,0.09347,0.09414298,0.0990782,0.09234836,-1.5000000000000062,-1.5333333333333397,0.033333333333333534,17,1.98,54.13,0.3333333333333407,0.0034526801130918584,1.0771211070984192,base,adaptive disabled,1.15,78.5,90,100,50,80,LONDON,bullish,bullish,FVG,BOS bullish | Vol 2.0x | FVG | ChoCH | BullWick | Session:LONDON | StrongTrend1h | Zone:FVG | MTF 17 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | BullWick+1 | Zone:FVG+1 | Sess:LONDON | Strong1h+1 | NestedOB_1h+2 | QualityRisk:1.15,0,0,-1.0,range,0.4815,0,2.7799,19.0,1.9141,-1,0.0,1.578,0.2229,0.0,-0.1129,2.141,1.0,-0.0868,1.0,379,25,2,0.124,0.803,1,0.927,0
XRPUSDT,393,438,1674915300,1674956700,SHORT,SL,0.40806,0.40508305,0.38325207,0.41302159,-1.534286388032871,-1.5774643813777462,0.043177993344875196,13,3.02,33.31,0.38323353293413165,0.005562689390618981,1.8588427592589154,base,adaptive disabled,1.0,72.0,60,90,70,80,NEW_YORK,neutral,bearish,FVG,BOS bearish | Vol 3.0x | FVG | ChoCH | Session:NEW_YORK | Zone:FVG | MTF 13,BOS+2 | 1hN+1 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:NEW_YORK,0,0,-1.0,range,0.4007,1,3.4058,0.25,1.5252,-1,0.0,1.2073,0.9641,10.0,0.1688,1.941,1.0,-0.2683,1.3125,390,0,1,1.16,1.495,1,0.57,0
XLMUSDT,416,438,1674936000,1674956700,LONG,TRAIL,0.09284,0.09368925,0.09991709,0.09142458,0.658373486315005,0.6239377711209284,0.034435715194076656,15,1.56,60.65,0.31623931623931484,0.0026555117797042948,0.822766067296899,base,adaptive disabled,1.15,67.4,60,97,50,80,DEAD_ZONE,neutral,bullish,FVG,BOS bullish | Vol 1.6x | FVG | LiqSweep | ChoCH | BullWick | Zone:FVG | MTF 15 | Risk x1.15,BOS+2 | 1hN+1 | 4h+2 | Vol+1 | RSI+1 | BTCok+1 | FVG+1 | LiqSweep+1 | ChoCH+1 | BullWick+1 | Zone:FVG+1 | Sess:DEAD_ZONE | NestedOB_1h+2 | QualityRisk:1.15,0,0,-1.0,range,0.2117,0,2.1937,0.1111,0.9407,-1,0.0,0.5016,1.2953,0.974,0.4558,2.264,1.0,0.0646,1.3125,414,0,1,0.917,0.753,1,0.491,0
