symbol,entry_bar,exit_bar,entry_time,exit_time,direction,outcome,entry,tp1,tp2,sl,gross_r,net_r,cost_r,mtf_score,volume_ratio,rsi,eff_ratio,vol_atr_pct,vol_ratio_regime,adaptive_pack,adaptive_reason,risk_mult,quality_score,trend_score,volatility_score,entry_quality_score,portfolio_risk_score,session,trend_1h,trend_4h,entry_source,signals,score_tags,premium,sniper,knn_score,swing_trend,pullback_frac,run_len_before,impulse6_atr,retrace_bars_ratio,pullback_vol_ratio,post_sl_tp1,post_sl_max_r,mae_r,mfe_tp1,accel_ratio,buy_pressure,absorption,obv_agree,obv_strength,size_mult,signal_bar,zone_age_bars,bos_candles_ago,extension_atr,room_atr,tp1_beyond_level,entry_range_atr,run_bars
HYPEUSDT,305,310,1771849800,1771855200,SHORT,TRAIL,27.644,27.18283857,23.80098808,28.41260238,0.6489050944650907,0.6237284875438371,0.025176606921253585,16,2.49,38.63,0.9081081081081017,0.008825476729560121,1.2503197778698303,base,adaptive disabled,1.25,84.5,90,100,70,80,OVERLAP,bearish,bearish,FVG,BOS bearish | Vol 2.5x | FVG | MACD_Div | ChoCH | Session:OVERLAP | StrongTrend1h | Zone:FVG | MTF 16 | Risk x1.25,BOS+2 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | MACD_Div+1 | ChoCH+1 | Zone:FVG+1 | Sess:OVERLAP | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,1,-1.0,bull,0.3786,5,2.731,0.0526,2.4383,-1,0.0,0.0585,1.3553,0.0,-0.0801,1.621,1.0,-0.2506,1.75,305,1,2,0.945,3.198,0,1.537,4
SEIUSDT,317,326,1771860600,1771869600,SHORT,TRAIL,0.067,0.06576225,0.05668544,0.06906291,0.2890334527439407,0.2817258145047543,0.007307638239186389,19,2.55,32.48,1.0,0.007639253825583302,2.172094507590504,base,adaptive disabled,1.15,88.5,90,90,90,80,NEW_YORK,bearish,bearish,FVG,BOS bearish | Vol 2.5x | FVG | LiqSweep | MACD_Div | ChoCH | BearWick | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 19 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | LiqSweep+1 | MACD_Div+1 | ChoCH+1 | BearWick+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+1 | TrendPairRisk:1.15,0,1,-1.0,bull,0.0171,11,3.3245,0.0526,2.477,-1,0.0,0.1115,1.228,0.0,-0.2356,1.455,1.0,-0.411,0.5625,317,26,4,2.479,3.033,1,1.75,10
SOLUSDT,326,357,1771868700,1771897500,SHORT,TRAIL,78.26,76.61654,64.5645,80.9991,0.06776861012741611,0.06294718155598754,0.004821428571428584,14,1.78,29.55,0.5555555555555497,0.008487713252012433,1.52722253781398,base,adaptive disabled,1.25,84.5,90,100,70,80,OFF_HOURS,bearish,bearish,FVG,BOS bearish | Vol 1.8x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.25,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0,-1.0,range,0.1971,5,3.6183,0.0526,1.871,-1,0.0,0.3724,1.5759,2.442,-0.2459,1.56,1.0,-0.5043,0.421875,326,0,2,1.404,1.157,1,1.14,4
SUIUSDT,326,367,1771868700,1771906500,SHORT,TRAIL,0.874,0.855646,0.72105,0.90459,0.40209218698921134,0.3935207584177828,0.00857142857142857,13,1.74,29.24,0.5652173913043493,0.010278571759638753,2.002494191711785,base,adaptive disabled,1.25,76.5,90,90,50,80,OFF_HOURS,bearish,bearish,FVG,BOS bearish | Vol 1.7x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 13 | Risk x1.25,BOS+2 | 1h+2 | 4h+2 | Vol+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0,-1.0,range,0.1973,0,3.7793,0.0526,1.7636,-1,0.0,0.4838,1.3458,1.083,-0.2538,1.211,1.0,-0.463,0.75,326,0,2,1.151,1.534,1,1.435,4
ADAUSDT,327,357,1771869600,1771897500,SHORT,TRAIL,0.2633,0.2577707,0.2172225,0.2725155,0.06866827627366572,0.06063256198795147,0.008035714285714248,14,1.44,34.01,0.34999999999999815,0.011167856882319157,1.9938347161345689,base,adaptive disabled,1.15,76.5,90,90,50,80,OFF_HOURS,bearish,bearish,FVG,BOS bearish | Vol 1.4x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1 | TrendPairRisk:1.15,0,0,-1.0,range,0.2411,0,3.9583,0.0526,1.4001,-1,0.0,0.2387,1.067,0.677,-0.2071,0.946,1.0,-0.5652,0.703125,327,1,3,0.954,3.005,0,1.526,5
XRPUSDT,371,451,1771909200,1771982100,SHORT,SL,1.3333,1.3108735,1.14641251,1.3706775,-0.9992642632599823,-1.0099656210286934,0.010701357768711103,16,1.43,35.39,0.4562211981566837,0.007879743896656998,1.360901591567944,base,adaptive disabled,1.15,84.5,90,100,70,80,OFF_HOURS,bearish,bearish,FVG,BOS bearish | Vol 1.4x | FVG | ChoCH | Engulfing | StrongTrend1h | Zone:FVG | MTF 16 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1 | TrendPairRisk:1.15,0,0,-1.0,bear,0.3071,0,1.4928,0.1765,0.6352,-1,0.0,1.3511,0.9676,3.882,-0.0226,0.996,1.0,-0.0663,0.75,369,3,1,0.403,0.076,1,0.436,1
SUIUSDT,406,412,1771940700,1771947000,SHORT,SL,0.8508,0.84118787,0.77069894,0.86682021,-1.2562257298749535,-1.2827796889054532,0.026553959030499633,15,7.98,34.62,0.3827160493827152,0.008199807340347214,1.5596033563162375,base,adaptive disabled,1.25,84.5,90,100,70,80,NEW_YORK,bearish,bearish,FVG,BOS bearish | Vol 8.0x | FVG | ChoCH | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.25,BOS+2 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,1,-1.0,bull,0.481,0,4.2422,0.0526,8.1914,-1,0.0,1.0799,0.8323,1.292,0.1228,3.653,-1.0,0.1199,1.25,406,0,3,1.104,0.022,1,2.186,4
BTCUSDT,409,412,1771943400,1771947000,SHORT,SL,63105.8,62651.43824,59319.452,63863.0696,-0.29247757337677377,-0.3018525733767738,0.009375000000000005,16,1.45,37.51,0.4162124550620472,0.003237223597354582,0.9407878988669619,base,adaptive disabled,1.25,84.5,90,100,70,80,NEW_YORK,bearish,bearish,FVG,BOS bearish | Vol 1.4x | FVG | ChoCH | Engulfing | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 16 | Risk x1.25,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0,-1.0,range,0.7565,0,3.1693,0.25,4.1217,-1,0.0,1.1111,0.8154,10.0,0.0442,1.34,-1.0,0.092,0.28125,405,2,2,0.665,1.056,1,1.056,0
DOTUSDT,438,451,1771969500,1771982100,SHORT,SL,1.239,1.22374692,1.11189101,1.2644218,-0.5642303062725673,-0.5724547927369404,0.008224486464373116,16,1.41,37.97,0.41935483870967233,0.0048426430524469545,1.1961328340512232,base,adaptive disabled,1.25,84.5,90,100,70,80,DEAD_ZONE,bearish,bearish,FVG,BOS bearish | Vol 1.4x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 16 | Risk x1.25,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTCok+1 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:DEAD_ZONE | Strong1h+1 | NestedOB_1h+2 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0,-1.0,bear,0.2083,0,2.1801,0.1111,0.9793,-1,0.0,1.4554,0.4589,6.5,-0.2493,1.811,1.0,-0.3734,0.421875,437,0,1,0.934,1.713,1,0.467,4
BTCUSDT,563,604,1772082000,1772119800,LONG,SL,68388.8,69073.67960347,74096.13002889,67247.33399422,-0.2667519485540279,-0.27180711880945474,0.005055170255426866,16,1.51,59.58,0.7133316637448903,0.004959298468804119,1.0028775847360756,base,adaptive disabled,1.15,84.5,90,100,70,80,OFF_HOURS,bullish,bullish,FVG,BOS bullish | Vol 1.5x | FVG | ChoCH | Engulfing | Discount | StrongTrend1h | Zone:FVG | MTF 16 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTCok+1 | FVG+1 | ChoCH+1 | Engulfing+1 | Discount+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1 | QualityRisk:1.15,0,0,-1.0,range,0.3924,0,2.405,0.1111,1.1382,-1,0.0,1.3823,0.4369,5.053,0.0738,1.638,1.0,0.2448,0.2109375,562,1,2,1.036,4.183,0,0.544,3
XRPUSDT,564,609,1772082900,1772124300,LONG,SL,1.4413,1.46189128,1.61289398,1.4069812,-0.7823700129375143,-0.7949692296933448,0.012599216755830592,21,2.09,50.83,0.25248508946322373,0.010023345680530924,1.5497554161056566,base,adaptive disabled,1.25,91.5,90,90,100,80,OFF_HOURS,bullish,bullish,OB,BOS bullish | Vol 2.1x | FVG | OB | LiqSweep | ChoCH | StrongTrend1h | Zone:OB | 💎PREMIUM | MTF 21 | Risk x1.25,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | OB+1 | LiqSweep+1 | ChoCH+1 | Zone:OB+1 | Sess:OFF_HOURS | Strong1h+1 | 💎Premium+3 | QualityRisk:1.15 | RelStrengthRisk:1.25,1,1,-1.0,bear,0.5347,0,2.6713,0.1765,1.827,-1,0.0,1.0985,0.7139,0.0,-0.1399,1.155,-1.0,-0.0612,0.75,564,5,3,0.25,1.747,1,1.812,0
TAOUSDT,578,582,1772095500,1772100000,LONG,TRAIL,186.4,190.3144,219.02,179.876,0.5556407112201114,0.5413549969343971,0.014285714285714284,13,1.78,66.01,0.5151515151515144,0.009284472464267642,0.9885232447255028,base,adaptive disabled,1.25,78.5,90,100,50,80,LONDON,bullish,bullish,FVG,BOS bullish | Vol 1.8x | FVG | ChoCH | Session:LONDON | StrongTrend1h | Zone:FVG | MTF 13 | Risk x1.25,BOS+2 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTCok+1 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:LONDON | Strong1h+1 | QualityRisk:1.15 | RelStrengthRisk:1.25,0,0,-1.0,bull,0.2535,4,2.6442,0.0526,1.7538,-1,0.0,0.1226,1.1241,0.0,0.0628,1.53,1.0,0.3004,1.25,578,0,1,0.645,1.935,1,1.161,3
SEIUSDT,583,609,1772100000,1772124300,LONG,SL,0.07099,0.07158595,0.07595621,0.06999676,-1.124999999999995,-1.146441947565538,0.021441947565543233,17,1.46,60.65,0.3367346938775544,0.0064172250314867875,1.1718840189338713,base,adaptive disabled,1.15,84.5,90,100,70,80,LONDON,bullish,bullish,FVG,BOS bullish | Vol 1.5x | FVG | LiqSweep | ChoCH | Engulfing | Session:LONDON | StrongTrend1h | Zone:FVG | MTF 17 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | LiqSweep+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:LONDON | Strong1h+1 | QualityRisk:1.15,0,0,-1.0,range,0.4248,0,3.2339,0.0526,0.6998,-1,0.0,1.5001,0.6041,0.0,0.1122,1.396,1.0,0.2127,0.75,582,1,2,0.961,1.428,1,0.728,1
LABUSDT,635,645,1772146800,1772156700,LONG,TP1,0.155,0.158255,0.182125,0.149575,0.0,-0.010714285714285744,0.010714285714285744,14,2.45,69.77,0.5540765391015011,0.00930704731658316,1.039152066282497,base,adaptive disabled,1.25,84.5,90,100,70,80,DEAD_ZONE,bullish,bullish,FVG,BOS bullish | Vol 2.5x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.25,BOS+2 | 1h+2 | 4h+2 | Vol+2 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:DEAD_ZONE | Strong1h+1 | QualityRisk:1.15 | RelStrengthRisk:1.25,0,0,-1.0,range,0.1603,0,2.9193,0.0526,2.3924,-1,0.0,0.4756,1.3487,0.789,0.0666,1.969,1.0,0.4418,0.9375,635,0,1,0.686,-1.0,0,1.244,2
DOTUSDT,638,648,1772149500,1772159400,LONG,TRAIL,1.607,1.640747,1.888225,1.550755,0.4594158369632846,0.44535333696328455,0.01406250000000003,13,2.56,64.8,0.5696202531645592,0.01389701623604646,1.188966944716735,base,adaptive disabled,1.25,74.0,60,100,70,80,DEAD_ZONE,neutral,bullish,FVG,BOS bullish | Vol 2.6x | FVG | ChoCH | Zone:FVG | MTF 13 | Risk x1.25,BOS+2 | 1hN+1 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:DEAD_ZONE | QualityRisk:1.15 | RelStrengthRisk:1.25,0,0,-1.0,range,0.2353,0,3.0238,0.0526,2.5836,-1,0.0,0.1956,1.0668,2.045,-0.0234,2.203,1.0,0.2463,1.23046875,638,0,4,1.279,1.279,1,1.163,7
TAOUSDT,640,654,1772151300,1772164800,LONG,TRAIL,183.0,186.03665413,208.30545105,177.93890979,1.1855153239799683,1.156588750074857,0.02892657390511123,16,2.12,58.29,0.1475409836065531,0.008161364912866089,0.9984069743411622,base,adaptive disabled,1.25,72.4,60,77,80,80,OFF_HOURS,neutral,bullish,OB,BOS bullish | Vol 2.1x | FVG | OB | ChoCH | Engulfing | Zone:OB | MTF 16 | Risk x1.25,BOS+2 | 1hN+1 | 4h+2 | Vol+2 | RSI+1 | BTCok+1 | FVG+1 | OB+1 | ChoCH+1 | Engulfing+1 | Zone:OB+1 | Sess:OFF_HOURS | NestedOB_1h+2 | QualityRisk:1.15 | RelStrengthRisk:1.25,0,0,-1.0,range,0.4783,0,2.498,0.0526,2.954,-1,0.0,0.2964,1.416,0.45,-0.0145,1.601,1.0,0.404,2.0,640,4,2,0.22,0.808,1,1.322,3
HYPEUSDT,651,656,1772161200,1772166600,LONG,TRAIL,28.442,28.88402157,32.12551307,27.70529739,1.4127987139885338,1.3925299518078216,0.020268762180712194,13,1.74,61.36,0.8405466970387251,0.005522583437558675,0.8032541257064987,base,adaptive disabled,1.25,68.0,60,100,50,80,OFF_HOURS,neutral,bullish,FVG,BOS bullish | Vol 1.7x | FVG | ChoCH | Zone:FVG | MTF 13 | Risk x1.25,BOS+2 | 1hN+1 | 4h+2 | Vol+1 | RSI+1 | BTCok+1 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OFF_HOURS | NestedOB_1h+2 | QualityRisk:1.15 | RelStrengthRisk:1.25,0,1,-1.0,bear,0.231,5,2.9122,0.0526,1.6758,-1,0.0,0.0787,2.7397,0.0,0.1463,1.621,1.0,0.1699,1.3125,651,0,1,0.274,1.45,1,1.077,4
