symbol,entry_bar,exit_bar,entry_time,exit_time,direction,outcome,entry,tp1,tp2,sl,gross_r,net_r,cost_r,mtf_score,volume_ratio,rsi,eff_ratio,vol_atr_pct,vol_ratio_regime,adaptive_pack,adaptive_reason,risk_mult,quality_score,trend_score,volatility_score,entry_quality_score,portfolio_risk_score,session,trend_1h,trend_4h,entry_source,signals,score_tags,premium,sniper,knn_score,swing_trend,pullback_frac,run_len_before,impulse6_atr,retrace_bars_ratio,pullback_vol_ratio,post_sl_tp1,post_sl_max_r,mae_r,mfe_tp1,accel_ratio,buy_pressure,absorption,obv_agree,obv_strength,size_mult,signal_bar,zone_age_bars,bos_candles_ago,extension_atr,room_atr,tp1_beyond_level,entry_range_atr,run_bars
HYPEUSDT,305,310,1771849800,1771855200,SHORT,TRAIL,27.644,27.18283857,23.80098808,28.41260238,0.6489050944650907,0.6237284875438371,0.025176606921253585,16,2.49,38.63,0.9081081081081017,0.008825476729560121,1.2503197778698303,base,adaptive disabled,1.25,84.5,90,100,70,80,OVERLAP,bearish,bearish,FVG,BOS bearish | Vol 2.5x | FVG | MACD_Div | ChoCH | Session:OVERLAP | StrongTrend1h | Zone:FVG | MTF 16 | Risk x1.25,BOS+2 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | MACD_Div+1 | ChoCH+1 | Zone:FVG+1 | Sess:OVERLAP | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,1,-1.0,bull,0.3786,5,2.731,0.0526,2.4383,-1,0.0,0.0585,1.3553,0.0,-0.0801,1.621,1.0,-0.2506,1.75,305,1,2,0.945,3.198,0,1.537,4
SEIUSDT,317,326,1771860600,1771869600,SHORT,TRAIL,0.067,0.06576225,0.05668544,0.06906291,0.2890334527439407,0.2817258145047543,0.007307638239186389,19,2.55,32.48,1.0,0.007639253825583302,2.172094507590504,base,adaptive disabled,1.15,88.5,90,90,90,80,NEW_YORK,bearish,bearish,FVG,BOS bearish | Vol 2.5x | FVG | LiqSweep | MACD_Div | ChoCH | BearWick | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 19 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | LiqSweep+1 | MACD_Div+1 | ChoCH+1 | BearWick+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+1 | TrendPairRisk:1.15,0,1,-1.0,bull,0.0171,11,3.3245,0.0526,2.477,-1,0.0,0.1115,1.228,0.0,-0.2356,1.455,1.0,-0.411,0.5625,317,26,4,2.479,3.033,1,1.75,10
SEIUSDT,320,326,1771863300,1771869600,SHORT,TRAIL,0.067,0.0657632,0.05669332,0.06906134,0.2892535923234423,0.2819403882911138,0.007313204032328505,17,1.81,33.14,0.8079096045197709,0.0062699037749623125,1.7827426426267134,base,adaptive disabled,1.15,84.5,90,100,70,80,NEW_YORK,bearish,bearish,FVG,BOS bearish | Vol 1.8x | FVG | MACD_Div | ChoCH | BearWick | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 17 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | MACD_Div+1 | ChoCH+1 | BearWick+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+1 | TrendPairRisk:1.15,0,1,-1.0,bull,0.2321,2,4.0429,0.0526,2.0276,-1,0.0,0.0922,1.229,0.0,-0.2292,1.672,1.0,-0.3584,0.5625,319,28,6,2.812,2.725,1,1.23,1
SEIUSDT,326,384,1771868700,1771921800,SHORT,TRAIL,0.06615,0.06476085,0.05457375,0.06846525,0.2478134110787167,0.24299198250728812,0.004821428571428562,14,2.23,28.76,0.4558303886925817,0.007053168680002463,1.9147942360683343,base,adaptive disabled,1.15,82.5,90,90,70,80,OFF_HOURS,bearish,bearish,FVG,BOS bearish | Vol 2.2x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+2 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1 | TrendPairRisk:1.15,0,0,-1.0,bear,0.1528,5,3.8849,0.0526,2.2562,-1,0.0,0.4708,1.0582,0.935,-0.3625,1.874,1.0,-0.6863,0.421875,326,0,2,1.373,0.026,1,1.191,4
SOLUSDT,326,357,1771868700,1771897500,SHORT,TRAIL,78.26,76.61654,64.5645,80.9991,0.06776861012741611,0.06294718155598754,0.004821428571428584,14,1.78,29.55,0.5555555555555497,0.008487713252012433,1.52722253781398,base,adaptive disabled,1.25,84.5,90,100,70,80,OFF_HOURS,bearish,bearish,FVG,BOS bearish | Vol 1.8x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.25,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0,-1.0,range,0.1971,5,3.6183,0.0526,1.871,-1,0.0,0.3724,1.5759,2.442,-0.2459,1.56,1.0,-0.5043,0.421875,326,0,2,1.404,1.157,1,1.14,4
SUIUSDT,326,367,1771868700,1771906500,SHORT,TRAIL,0.874,0.855646,0.72105,0.90459,0.40209218698921134,0.3935207584177828,0.00857142857142857,13,1.74,29.24,0.5652173913043493,0.010278571759638753,2.002494191711785,base,adaptive disabled,1.25,76.5,90,90,50,80,OFF_HOURS,bearish,bearish,FVG,BOS bearish | Vol 1.7x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 13 | Risk x1.25,BOS+2 | 1h+2 | 4h+2 | Vol+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0,-1.0,range,0.1973,0,3.7793,0.0526,1.7636,-1,0.0,0.4838,1.3458,1.083,-0.2538,1.211,1.0,-0.463,0.75,326,0,2,1.151,1.534,1,1.435,4
ADAUSDT,327,357,1771869600,1771897500,SHORT,TRAIL,0.2633,0.2577707,0.2172225,0.2725155,0.06866827627366572,0.06063256198795147,0.008035714285714248,14,1.44,34.01,0.34999999999999815,0.011167856882319157,1.9938347161345689,base,adaptive disabled,1.15,76.5,90,90,50,80,OFF_HOURS,bearish,bearish,FVG,BOS bearish | Vol 1.4x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1 | TrendPairRisk:1.15,0,0,-1.0,range,0.2411,0,3.9583,0.0526,1.4001,-1,0.0,0.2387,1.067,0.677,-0.2071,0.946,1.0,-0.5652,0.703125,327,1,3,0.954,3.005,0,1.526,5
BTCUSDT,327,367,1771869600,1771906500,SHORT,TRAIL,64659.1,63341.4334687,53678.54557247,66855.21088551,0.17559628195205962,0.17145592364980183,0.004140358302257782,16,2.32,34.98,0.39810068740811366,0.008553889630543474,2.1778467723220754,base,adaptive disabled,1.15,88.5,90,90,90,80,OFF_HOURS,bearish,bearish,FVG,BOS bearish | Vol 2.3x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 16 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1 | TrendPairRisk:1.15,0,0,-1.0,bear,0.2397,0,4.2126,0.0526,2.2514,-1,0.0,0.2198,1.329,2.169,-0.1609,1.316,1.0,-0.4038,0.3515625,327,1,3,0.842,1.445,1,1.763,5
SEIUSDT,327,379,1771869600,1771917300,SHORT,TRAIL,0.06654,0.06514266,0.0548955,0.0688689,0.32606595388380943,0.319637382455238,0.006428571428571443,16,1.32,36.14,0.24137931034482493,0.008868998503492083,2.4077557172756276,base,adaptive disabled,1.25,83.1,90,78,80,80,OFF_HOURS,bearish,bearish,OB,BOS bearish | Vol 1.3x | FVG | OB | ChoCH | StrongTrend1h | Zone:OB | MTF 16 | Risk x1.25,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | OB+1 | ChoCH+1 | Zone:OB+1 | Sess:OFF_HOURS | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0,-1.0,bear,0.351,0,4.1138,0.0526,1.2804,-1,0.0,0.3006,1.0305,0.47,-0.2706,0.688,1.0,-0.5744,0.5625,327,6,3,0.481,0.818,1,1.925,5
SOLUSDT,327,357,1771869600,1771897500,SHORT,TRAIL,78.26,76.61654,64.5645,80.9991,0.09035814683655483,0.08392957540798338,0.006428571428571445,15,1.52,37.65,0.33007334963324786,0.01015752922148752,1.8132318274735622,base,adaptive disabled,1.25,82.3,90,89,70,80,OFF_HOURS,bearish,bearish,FVG,BOS bearish | Vol 1.5x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.25,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0,-1.0,range,0.2739,0,4.0007,0.0526,1.5161,-1,0.0,0.3724,1.5759,1.324,-0.1715,0.891,1.0,-0.3698,0.5625,327,1,3,0.5,1.922,1,1.703,5
HYPEUSDT,329,364,1771871400,1771903800,SHORT,TRAIL,26.165,25.615535,21.586125,27.080775,0.1535584614124634,0.14284417569817767,0.010714285714285714,13,1.53,28.67,0.3907284768211927,0.016158979054300797,2.076316071422,base,adaptive disabled,1.25,76.5,90,90,50,80,OFF_HOURS,bearish,bearish,FVG,BOS bearish | Vol 1.5x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 13 | Risk x1.25,BOS+2 | 1h+2 | 4h+2 | Vol+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0,-1.0,bear,0.2884,0,2.7671,0.1765,0.87,-1,0.0,0.5274,1.0265,0.531,-0.0027,0.92,1.0,-0.6262,0.9375,327,1,3,0.334,-1.0,0,0.726,1
XRPUSDT,371,451,1771909200,1771982100,SHORT,SL,1.3333,1.3108735,1.14641251,1.3706775,-0.9992642632599823,-1.0099656210286934,0.010701357768711103,16,1.43,35.39,0.4562211981566837,0.007879743896656998,1.360901591567944,base,adaptive disabled,1.15,84.5,90,100,70,80,OFF_HOURS,bearish,bearish,FVG,BOS bearish | Vol 1.4x | FVG | ChoCH | Engulfing | StrongTrend1h | Zone:FVG | MTF 16 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1 | TrendPairRisk:1.15,0,0,-1.0,bear,0.3071,0,1.4928,0.1765,0.6352,-1,0.0,1.3511,0.9676,3.882,-0.0226,0.996,1.0,-0.0663,0.75,369,3,1,0.403,0.076,1,0.436,1
SUIUSDT,406,412,1771940700,1771947000,SHORT,SL,0.8508,0.84118787,0.77069894,0.86682021,-1.2562257298749535,-1.2827796889054532,0.026553959030499633,15,7.98,34.62,0.3827160493827152,0.008199807340347214,1.5596033563162375,base,adaptive disabled,1.25,84.5,90,100,70,80,NEW_YORK,bearish,bearish,FVG,BOS bearish | Vol 8.0x | FVG | ChoCH | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.25,BOS+2 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,1,-1.0,bull,0.481,0,4.2422,0.0526,8.1914,-1,0.0,1.0799,0.8323,1.292,0.1228,3.653,-1.0,0.1199,1.25,406,0,3,1.104,0.022,1,2.186,4
BTCUSDT,409,412,1771943400,1771947000,SHORT,SL,63105.8,62651.43824,59319.452,63863.0696,-0.29247757337677377,-0.3018525733767738,0.009375000000000005,16,1.45,37.51,0.4162124550620472,0.003237223597354582,0.9407878988669619,base,adaptive disabled,1.25,84.5,90,100,70,80,NEW_YORK,bearish,bearish,FVG,BOS bearish | Vol 1.4x | FVG | ChoCH | Engulfing | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 16 | Risk x1.25,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0,-1.0,range,0.7565,0,3.1693,0.25,4.1217,-1,0.0,1.1111,0.8154,10.0,0.0442,1.34,-1.0,0.092,0.28125,405,2,2,0.665,1.056,1,1.056,0
BTCUSDT,409,412,1771943400,1771947000,SHORT,SL,63105.8,62651.43824,59319.452,63863.0696,-0.38997009783569836,-0.4024700978356984,0.012500000000000008,16,10.45,38.23,0.3287171094045071,0.005807758922361476,1.687825739982653,base,adaptive disabled,1.15,84.3,90,99,70,80,NEW_YORK,bearish,bearish,FVG,BOS bearish | Vol 10.4x | FVG | ChoCH | Engulfing | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 16 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+1 | TrendPairRisk:1.15,0,0,-1.0,range,0.7565,0,2.7515,0.25,4.1217,-1,0.0,1.1111,0.8154,1.432,0.197,3.852,-1.0,0.3783,0.375,406,3,3,0.516,0.978,1,0.917,0
DOTUSDT,409,451,1771943400,1771982100,SHORT,SL,1.239,1.22255184,1.10193199,1.2664136,-1.1627440394548705,-1.1796927437476303,0.016948704292759912,15,5.12,37.24,0.2631578947368347,0.006477302068488085,1.3418810786297357,base,adaptive disabled,1.15,82.7,90,91,70,80,NEW_YORK,bearish,bearish,FVG,BOS bearish | Vol 5.1x | FVG | ChoCH | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+1 | TrendPairRisk:1.15,0,1,-1.0,bull,0.7143,0,2.4947,0.25,2.3712,-1,0.0,1.3497,0.7904,0.333,0.0342,2.189,1.0,-0.0471,0.9375,406,3,4,0.624,-1.0,0,1.091,2
ETHUSDT,409,415,1771943400,1771949700,SHORT,SL,1827.15,1813.99452,1717.521,1849.0758,-1.5,-1.5333333333333334,0.03333333333333337,16,1.6,36.77,0.30900243309003167,0.007997037072931085,1.710335870284142,base,adaptive disabled,1.15,77.9,90,97,50,80,NEW_YORK,bearish,bearish,FVG,BOS bearish | Vol 1.6x | FVG | ChoCH | Engulfing | BearWick | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 16 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | BearWick+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+1 | TrendPairRisk:1.15,0,1,-1.0,bull,0.9197,5,3.567,0.25,4.6231,-1,0.0,1.5954,1.9118,0.677,0.212,1.875,1.0,-0.4987,1.0,407,18,1,0.288,0.08,1,1.441,4
