symbol,entry_bar,exit_bar,entry_time,exit_time,direction,outcome,entry,tp1,tp2,sl,gross_r,net_r,cost_r,mtf_score,volume_ratio,rsi,eff_ratio,vol_atr_pct,vol_ratio_regime,adaptive_pack,adaptive_reason,risk_mult,quality_score,trend_score,volatility_score,entry_quality_score,portfolio_risk_score,session,trend_1h,trend_4h,entry_source,entry_is_intrabar,atr_at_signal,signals,score_tags,premium,sniper,knn_score,swing_trend,pullback_frac,run_len_before,impulse6_atr,retrace_bars_ratio,pullback_vol_ratio,post_sl_tp1,post_sl_max_r,mae_r,mfe_tp1,accel_ratio,buy_pressure,absorption,obv_agree,obv_strength,size_mult,signal_bar,zone_age_bars,bos_candles_ago,extension_atr,room_atr,tp1_beyond_level,entry_range_atr,run_bars
AVAXUSDT,413,423,1738091700,1738101600,SHORT,TRAIL,33.228,32.530212,27.4131,34.39098,0.5855646700717144,0.5598503843574287,0.025714285714285773,15,1.52,30.38,0.48526522593319504,0.006694103420899042,1.1959300616936315,base,adaptive disabled,1.25,84.5,90,100,70,80,DEAD_ZONE,bearish,bearish,FVG,True,0.22993388591590083,BOS bearish | Vol 1.5x | FVG | ChoCH | Engulfing | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.25,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:DEAD_ZONE | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0,-1.0,bear,0.1722,1,2.7747,0.0526,1.5454,-1,0.0,0.0267,1.681,0.0,-0.1594,1.648,1.0,-0.1911,0.75,413,1,2,1.026,0.818,1,0.922,0
SOLUSDT,420,510,1738098000,1738179900,SHORT,TRAIL,229.71,224.88609,189.51075,237.74985,0.46945838541763885,0.4501726711319246,0.01928571428571428,14,1.72,28.71,0.6557377049180327,0.008691347978653573,1.1326900487867326,base,adaptive disabled,1.25,84.5,90,100,70,80,DEAD_ZONE,bearish,bearish,FVG,True,1.991749991187793,BOS bearish | Vol 1.7x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.25,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:DEAD_ZONE | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0,-1.0,bear,0.2181,3,2.8166,0.0526,1.7127,-1,0.0,0.8159,1.476,1.509,-0.1012,1.532,1.0,-0.3294,0.5625,420,0,1,1.105,2.069,1,1.125,2
XLMUSDT,420,427,1738098000,1738105200,SHORT,TRAIL,0.39871,0.39033709,0.32893575,0.41266485,0.5483308670462235,0.5033308670462235,0.04499999999999995,13,2.14,30.09,0.6644433042585948,0.007181957501405599,0.9353257485378288,base,adaptive disabled,1.15,80.0,60,100,90,80,DEAD_ZONE,neutral,bearish,FVG,True,0.0033557979659497444,BOS bearish | Vol 2.1x | FVG | ChoCH | Zone:FVG | MTF 13 | Risk x1.15,BOS+2 | BodyStrong+1 | 1hN+1 | 4h+2 | Vol+2 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:DEAD_ZONE | QualityRisk:1.15,0,0,-1.0,bear,0.1763,4,2.8816,0.0526,2.1616,-1,0.0,0.1276,1.0558,2.49,-0.2628,2.063,1.0,-0.5993,1.3125,420,0,2,1.365,3.32,0,1.037,3
DOTUSDT,425,513,1738102500,1738182600,SHORT,SL,5.652,5.533308,4.6629,5.84982,-0.5331551410373069,-0.551235498180164,0.018080357142857138,16,2.06,32.14,0.44408945686901075,0.011085861996062886,1.6853427566411434,base,adaptive disabled,1.15,90.5,90,100,90,80,DEAD_ZONE,bearish,bearish,FVG,True,0.045409622135937175,BOS bearish | Vol 2.1x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 16 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:DEAD_ZONE | Strong1h+1 | TrendPairRisk:1.15,0,0,-1.0,bear,0.171,0,3.5015,0.0526,1.9911,-1,0.0,1.1475,0.9268,1.759,-0.1328,2.038,1.0,-0.3711,0.52734375,425,0,5,2.07,3.678,0,1.013,3
XRPUSDT,460,485,1738134000,1738157400,LONG,SL,3.1048,3.14156503,3.41117522,3.04352496,-1.1165078390809728,-1.1763616555778693,0.059853816496896674,15,1.39,63.73,0.6459143968871672,0.005134479655393893,0.8701432875091926,base,adaptive disabled,1.25,68.0,60,100,50,80,OFF_HOURS,neutral,bullish,FVG,True,0.01647504331562031,BOS bullish | Vol 1.4x | FVG | ChoCH | BullWick | Zone:FVG | MTF 15 | Risk x1.25,BOS+2 | 1hN+1 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | BullWick+1 | Zone:FVG+1 | Sess:OFF_HOURS | NestedOB_1h+2 | QualityRisk:1.15 | RelStrengthRisk:1.25,0,1,-1.0,bear,0.3043,2,1.4567,0.25,1.0065,-1,0.0,1.3284,0.6637,3.952,0.1755,1.636,1.0,0.1847,0.984375,457,2,5,1.578,1.196,1,0.631,1
ADAUSDT,489,510,1738160100,1738179900,SHORT,TRAIL,0.9225,0.90859175,0.80659791,0.94568042,0.559739642336075,0.5239227762050902,0.03581686613098472,14,1.47,35.28,0.5483870967741904,0.008794376713847727,1.5987162131691774,base,adaptive disabled,1.15,78.5,90,100,50,80,NEW_YORK,bearish,bearish,FVG,True,0.005680417889197361,BOS bearish | Vol 1.5x | FVG | ChoCH | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+1 | TrendPairRisk:1.15,0,0,-1.0,bear,0.3983,0,2.4294,0.1765,1.2466,-1,0.0,1.2511,1.4811,2.386,-0.0755,1.367,1.0,-0.3055,0.75,488,2,4,1.056,2.852,0,0.951,1
BTCUSDT,589,636,1738250100,1738293300,LONG,SL,105777.0,106666.03495336,113185.6246113,104295.27507774,-0.22017307841620942,-0.23824310121380257,0.018070022797593146,18,3.09,70.91,0.5927448830409362,0.006994252610611862,2.9687829529637377,base,adaptive disabled,1.0,88.5,90,90,90,80,NEW_YORK,bullish,bullish,FVG,True,353.72492225962725,BOS bullish | Vol 3.1x | FVG | LiqSweep | MACD_Div | ChoCH | Engulfing | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 18,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | BTC+2 | FVG+1 | LiqSweep+1 | MACD_Div+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+1,0,1,-1.0,bear,0.3771,4,5.1198,0.0526,3.0992,-1,0.0,1.1969,0.5089,0.0,0.1828,1.602,1.0,0.4425,0.2109375,589,0,1,2.392,2.692,0,1.931,3
ADAUSDT,591,635,1738251900,1738292400,LONG,SL,0.9772,0.99668282,1.13955686,0.94472863,-0.7189025285967301,-0.7442945123658165,0.025391983769086426,17,2.51,65.87,0.5606407322654474,0.011374099753911704,2.4844652896868293,base,adaptive disabled,1.15,88.5,90,90,90,80,NEW_YORK,bullish,bullish,FVG,True,0.006171371375618928,BOS bullish | Vol 2.5x | FVG | MACD_Div | ChoCH | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 17 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | MACD_Div+1 | ChoCH+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+1 | RelStrengthRisk:1.15,0,1,-1.0,bear,0.3042,1,4.4885,0.1765,2.6786,-1,0.0,1.0502,0.4106,0.0,0.2937,1.616,1.0,0.3947,0.703125,590,1,4,2.382,3.322,0,1.005,0
XRPUSDT,593,657,1738253700,1738312200,LONG,SL,3.1162,3.1796,3.1978,3.0677517,-0.583998819360019,-0.6274148938146438,0.04341607445462484,18,6.22,71.21,0.7292464878671734,0.008739605776206201,2.5020358426228397,base,adaptive disabled,1.0,88.5,90,90,90,80,NEW_YORK,bullish,bullish,FVG,True,0.014748300147988457,BOS bullish | Vol 6.2x | FVG | LiqSweep | MACD_Div | ChoCH | Engulfing | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 18,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | BTC+2 | FVG+1 | LiqSweep+1 | MACD_Div+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+1,0,1,-1.0,bear,0.5371,0,3.9666,0.3333,2.7673,-1,0.0,1.0919,0.6151,0.0,0.0847,2.345,1.0,0.4024,0.5625,589,0,1,2.427,0.271,1,1.166,0
AAVEUSDT,654,677,1738308600,1738330200,LONG,TRAIL,323.48,330.27308,380.089,312.1582,0.35995270186719425,0.33825627329576574,0.021696428571428582,14,2.56,69.82,0.8930307941653209,0.008687623171373218,1.4521133509292674,base,adaptive disabled,1.25,84.5,90,100,70,80,LONDON,bullish,bullish,FVG,True,2.2100073290798936,BOS bullish | Vol 2.6x | FVG | ChoCH | Session:LONDON | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.25,BOS+2 | 1h+2 | 4h+2 | Vol+2 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:LONDON | Strong1h+1 | QualityRisk:1.15 | RelStrengthRisk:1.25,0,0,-1.0,range,0.1663,4,3.6516,0.0526,2.5229,-1,0.0,0.726,1.0319,0.0,0.1112,2.58,1.0,0.3604,0.6328125,654,0,2,1.235,4.851,0,0.991,3
