symbol,entry_bar,exit_bar,entry_time,exit_time,direction,outcome,entry,tp1,tp2,sl,gross_r,net_r,cost_r,mtf_score,volume_ratio,rsi,eff_ratio,vol_atr_pct,vol_ratio_regime,adaptive_pack,adaptive_reason,risk_mult,quality_score,trend_score,volatility_score,entry_quality_score,portfolio_risk_score,session,trend_1h,trend_4h,entry_source,entry_is_intrabar,atr_at_signal,signals,score_tags,premium,sniper,knn_score,swing_trend,pullback_frac,run_len_before,impulse6_atr,retrace_bars_ratio,pullback_vol_ratio,post_sl_tp1,post_sl_max_r,mae_r,mfe_tp1,accel_ratio,buy_pressure,absorption,obv_agree,obv_strength,size_mult,signal_bar,zone_age_bars,bos_candles_ago,extension_atr,room_atr,tp1_beyond_level,entry_range_atr,run_bars
AVAXUSDT,413,423,1738091700,1738101600,SHORT,TRAIL,33.228,32.530212,27.4131,34.39098,0.5855646700717144,0.5598503843574287,0.025714285714285773,15,1.52,30.38,0.48526522593319504,0.006694103420899042,1.1959300616936315,base,adaptive disabled,1.25,84.5,90,100,70,80,DEAD_ZONE,bearish,bearish,FVG,True,0.22993388591590083,BOS bearish | Vol 1.5x | FVG | ChoCH | Engulfing | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.25,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:DEAD_ZONE | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0,-1.0,bear,0.1722,1,2.7747,0.0526,1.5454,-1,0.0,0.0267,1.681,0.0,-0.1594,1.648,1.0,-0.1911,0.75,413,1,2,1.026,0.818,1,0.922,0
AVAXUSDT,415,423,1738093500,1738101600,SHORT,TRAIL,33.228,32.530212,27.4131,34.39098,0.5855646700717144,0.5598503843574287,0.025714285714285773,15,1.55,33.67,0.6853448275861937,0.00564152781485015,1.0092990183312927,base,adaptive disabled,1.25,84.5,90,100,70,80,DEAD_ZONE,bearish,bearish,FVG,True,0.22224401387096537,BOS bearish | Vol 1.6x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.25,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:DEAD_ZONE | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0,-1.0,bear,0.1722,1,2.8527,0.1765,1.2347,-1,0.0,0.0267,1.681,0.0,-0.1591,2.103,1.0,-0.2215,0.75,415,3,4,0.936,0.972,1,0.738,0
SOLUSDT,420,510,1738098000,1738179900,SHORT,TRAIL,229.71,224.88609,189.51075,237.74985,0.46945838541763885,0.4501726711319246,0.01928571428571428,14,1.72,28.71,0.6557377049180327,0.008691347978653573,1.1326900487867326,base,adaptive disabled,1.25,84.5,90,100,70,80,DEAD_ZONE,bearish,bearish,FVG,True,1.991749991187793,BOS bearish | Vol 1.7x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.25,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:DEAD_ZONE | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0,-1.0,bear,0.2181,3,2.8166,0.0526,1.7127,-1,0.0,0.8159,1.476,1.509,-0.1012,1.532,1.0,-0.3294,0.5625,420,0,1,1.105,2.069,1,1.125,2
XLMUSDT,420,427,1738098000,1738105200,SHORT,TRAIL,0.39871,0.39033709,0.32893575,0.41266485,0.5483308670462235,0.5033308670462235,0.04499999999999995,13,2.14,30.09,0.6644433042585948,0.007181957501405599,0.9353257485378288,base,adaptive disabled,1.15,80.0,60,100,90,80,DEAD_ZONE,neutral,bearish,FVG,True,0.0033557979659497444,BOS bearish | Vol 2.1x | FVG | ChoCH | Zone:FVG | MTF 13 | Risk x1.15,BOS+2 | BodyStrong+1 | 1hN+1 | 4h+2 | Vol+2 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:DEAD_ZONE | QualityRisk:1.15,0,0,-1.0,bear,0.1763,4,2.8816,0.0526,2.1616,-1,0.0,0.1276,1.0558,2.49,-0.2628,2.063,1.0,-0.5993,1.3125,420,0,2,1.365,3.32,0,1.037,3
XLMUSDT,421,427,1738098900,1738105200,SHORT,TRAIL,0.39871,0.39033709,0.32893575,0.41266485,0.41124815028466766,0.37749815028466766,0.03374999999999996,13,1.39,38.09,0.30382513661202265,0.008478563708883158,1.1024306814960139,base,adaptive disabled,1.15,73.2,60,96,70,80,DEAD_ZONE,neutral,bearish,FVG,True,0.0034303838254663758,BOS bearish | Vol 1.4x | FVG | ChoCH | Zone:FVG | MTF 13 | Risk x1.15,BOS+2 | BodyStrong+1 | 1hN+1 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:DEAD_ZONE | QualityRisk:1.15,0,0,-1.0,bear,0.1991,0,2.5216,0.1111,1.9027,-1,0.0,0.1061,1.0558,1.097,-0.1502,1.082,1.0,-0.4511,0.984375,421,1,3,0.431,4.151,0,1.283,4
DOTUSDT,425,513,1738102500,1738182600,SHORT,SL,5.652,5.533308,4.6629,5.84982,-0.5331551410373069,-0.551235498180164,0.018080357142857138,16,2.06,32.14,0.44408945686901075,0.011085861996062886,1.6853427566411434,base,adaptive disabled,1.15,90.5,90,100,90,80,DEAD_ZONE,bearish,bearish,FVG,True,0.045409622135937175,BOS bearish | Vol 2.1x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 16 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:DEAD_ZONE | Strong1h+1 | TrendPairRisk:1.15,0,0,-1.0,bear,0.171,0,3.5015,0.0526,1.9911,-1,0.0,1.1475,0.9268,1.759,-0.1328,2.038,1.0,-0.3711,0.52734375,425,0,5,2.07,3.678,0,1.013,3
ETHUSDT,425,543,1738102500,1738209600,SHORT,SL,3081.69,3016.97451,2542.39425,3189.54915,-1.0378987318183028,-1.0700415889611599,0.032142857142857216,15,2.39,31.31,0.4779431304809996,0.010440352543872154,2.1204477103168053,base,adaptive disabled,1.15,88.5,90,90,90,80,DEAD_ZONE,bearish,bearish,FVG,True,21.30123739029704,BOS bearish | Vol 2.4x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:DEAD_ZONE | Strong1h+1 | TrendPairRisk:1.15,0,0,-1.0,bear,0.2934,0,4.1678,0.0526,2.461,-1,0.0,1.1211,0.4399,1.904,-0.2415,1.663,1.0,-0.4261,0.9375,425,1,5,2.424,1.125,1,1.439,3
LINKUSDT,425,463,1738102500,1738137600,SHORT,SL,22.722,22.244838,18.74565,23.51727,-0.8951853615753141,-0.9253192901467426,0.030133928571428627,14,1.9,31.57,0.35813274981765236,0.011800267981712935,1.5269803295965694,base,adaptive disabled,1.15,84.5,90,100,70,80,DEAD_ZONE,bearish,bearish,FVG,True,0.21031402986257677,BOS bearish | Vol 1.9x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:DEAD_ZONE | Strong1h+1 | TrendPairRisk:1.15,0,0,-1.0,bear,0.1579,0,3.4567,0.0526,1.9171,-1,0.0,1.065,0.7733,0.746,-0.1651,1.822,1.0,-0.2169,0.87890625,425,0,5,1.949,2.625,0,1.041,3
SOLUSDT,425,513,1738102500,1738182600,SHORT,SL,227.13,222.36027,187.38225,235.07955,-0.48929656395644927,-0.503760849670735,0.014464285714285686,16,1.38,33.27,0.48555452003727984,0.010111252089210156,1.2120089621632832,base,adaptive disabled,1.25,84.5,90,100,70,80,DEAD_ZONE,bearish,bearish,FVG,True,2.0444501908888437,BOS bearish | Vol 1.4x | FVG | ChoCH | Engulfing | StrongTrend1h | Zone:FVG | MTF 16 | Risk x1.25,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:DEAD_ZONE | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0,-1.0,bear,0.1733,0,2.338,0.0526,1.4381,-1,0.0,1.3108,0.9518,1.29,-0.1107,1.408,1.0,-0.2755,0.421875,425,0,6,1.56,1.531,1,0.983,2
SUIUSDT,425,510,1738102500,1738179900,SHORT,SL,3.6687,3.5916573,3.0266775,3.7971045,-0.8098796187049523,-0.8339867615620952,0.024107142857142813,16,1.62,38.1,0.18578352180936936,0.013164829119473337,1.4348541738118297,base,adaptive disabled,1.25,83.9,90,82,80,80,DEAD_ZONE,bearish,bearish,OB,True,0.037648463097902915,BOS bearish | Vol 1.6x | FVG | OB | ChoCH | StrongTrend1h | Zone:OB | MTF 16 | Risk x1.25,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | OB+1 | ChoCH+1 | Zone:OB+1 | Sess:DEAD_ZONE | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0,-1.0,bear,0.2717,0,2.8368,0.0526,1.6511,-1,0.0,1.4119,0.8839,0.469,-0.1194,1.301,1.0,-0.3651,0.703125,425,4,1,0.162,4.489,0,1.243,3
