symbol,entry_bar,exit_bar,entry_time,exit_time,direction,outcome,entry,tp1,tp2,sl,gross_r,net_r,cost_r,mtf_score,volume_ratio,rsi,eff_ratio,vol_atr_pct,vol_ratio_regime,adaptive_pack,adaptive_reason,risk_mult,quality_score,trend_score,volatility_score,entry_quality_score,portfolio_risk_score,session,trend_1h,trend_4h,entry_source,entry_is_intrabar,atr_at_signal,signals,score_tags,premium,sniper,knn_score,swing_trend,pullback_frac,run_len_before,impulse6_atr,retrace_bars_ratio,pullback_vol_ratio,post_sl_tp1,post_sl_max_r,mae_r,mfe_tp1,accel_ratio,buy_pressure,absorption,obv_agree,obv_strength,size_mult,signal_bar,zone_age_bars,bos_candles_ago,extension_atr,room_atr,tp1_beyond_level,entry_range_atr,run_bars
XRPUSDT,1498,1571,1776366900,1776433500,LONG,TRAIL,1.4463,1.4766723,1.6994025,1.3956795,0.24779980442706026,0.22851409014134594,0.019285714285714302,15,2.12,69.6,0.6747967479674788,0.0036714350874185882,1.003063774896071,base,adaptive disabled,1.25,90.5,90,100,90,80,DEAD_ZONE,bullish,bullish,FVG,True,0.005914838736047804,BOS bullish | Vol 2.1x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.25,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:DEAD_ZONE | Strong1h+1 | QualityRisk:1.15 | RelStrengthRisk:1.25,0,0,-1.0,bull,0.0469,8,4.159,0.0526,2.233,-1,0.0,0.4149,1.1326,1.311,-0.0145,4.826,1.0,0.4821,0.5625,1498,0,1,1.555,-1.0,0,0.44,7
ADAUSDT,3210,3273,1777907700,1777965300,LONG,TRAIL,0.2519,0.25449703,0.27354189,0.24757162,0.8177630014416278,0.7261022646301653,0.09166073681146251,14,12.82,67.07,0.7999999999999945,0.003303374383361736,1.0,base,adaptive disabled,1.15,74.0,60,100,70,80,NEW_YORK,neutral,bullish,FVG,True,0.0005283783898490769,BOS bullish | Vol 12.8x | FVG | ChoCH | BullWick | Session:NEW_YORK | Zone:FVG | MTF 14 | Risk x1.15,BOS+2 | 1hN+1 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | BullWick+1 | Zone:FVG+1 | Sess:NEW_YORK | QualityRisk:1.15,0,0,-1.0,range,0.1915,0,5.11,0.1111,6.4928,-1,0.0,0.5314,1.3092,0.0,0.5024,20.0,-1.0,-0.3807,1.3125,3210,0,1,0.757,0.189,1,0.568,3
SOLUSDT,3226,3298,1777922100,1777987800,LONG,TRAIL,84.83,85.61634615,91.38288454,83.51942309,0.5971249142486456,0.5397806427667069,0.05734427148193868,14,2.71,55.26,0.36612021857924193,0.0027924908412008745,1.0284865180800054,base,adaptive disabled,1.15,74.0,60,100,70,80,OFF_HOURS,neutral,bullish,FVG,True,0.25057690845729713,BOS bullish | Vol 2.7x | FVG | ChoCH | BullWick | Zone:FVG | MTF 14 | Risk x1.15,BOS+2 | 1hN+1 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | BullWick+1 | Zone:FVG+1 | Sess:OFF_HOURS | QualityRisk:1.15,0,0,-1.0,range,0.2232,0,1.7959,9.0,9.7726,-1,0.0,0.702,1.4116,10.0,0.5029,20.0,-1.0,-0.2267,0.73828125,3224,2,2,0.08,0.279,1,0.639,0
ADAUSDT,3317,3330,1778004000,1778016600,LONG,TRAIL,0.2581,0.25995832,0.273586,0.2550028,0.48014638221619,0.44850575721619024,0.03164062499999978,16,3.84,59.61,0.5789473684210434,0.002455331577979343,1.0,base,adaptive disabled,1.15,90.5,90,100,90,80,OFF_HOURS,bullish,bullish,FVG,True,0.0003794768735818718,BOS bullish | Vol 3.8x | FVG | ChoCH | BullWick | StrongTrend1h | Zone:FVG | MTF 16 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTCok+1 | FVG+1 | ChoCH+1 | BullWick+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1 | QualityRisk:1.15,0,0,-1.0,range,0.3929,3,5.0069,-1.0,-1.0,-1,0.0,0.0646,3.3902,0.0,-0.0743,7.284,-1.0,0.1545,0.31640625,3316,0,1,2.899,3.689,1,0.0,2
XRPUSDT,3872,3884,1778503500,1778515200,LONG,TRAIL,1.4588,1.47214172,1.56998096,1.43656381,1.8593000869303358,1.723682738589636,0.13561734834069986,16,1.68,63.21,0.5104895104895092,0.002631274660467342,2.9360977097975556,base,adaptive disabled,1.0,66.0,60,90,50,80,OVERLAP,neutral,bullish,FVG,True,0.0025361921157039205,BOS bullish | Vol 1.7x | FVG | ChoCH | Engulfing | BullWick | Session:OVERLAP | Zone:FVG | MTF 16,BOS+2 | 1hN+1 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | BullWick+1 | Zone:FVG+1 | Sess:OVERLAP | NestedOB_1h+2,0,0,-1.0,range,0.25,2,4.8104,0.0526,0.0614,-1,0.0,0.0225,2.0462,0.589,0.0916,0.0,1.0,0.2884,1.72265625,3871,0,3,2.366,7.373,0,0.276,1
XRPUSDT,4250,4258,1778843700,1778851800,LONG,SL,1.472,1.48273476,1.56145633,1.45410873,-1.8193230553225057,-1.99210005773765,0.17277700241514427,17,5.53,52.49,0.17213114754097988,0.0030826130294672187,1.4103917927347147,base,adaptive disabled,1.15,76.0,60,80,90,80,OVERLAP,neutral,bullish,FVG,True,0.0034912658309149583,BOS bullish | Vol 5.5x | FVG | ChoCH | BullWick | Session:OVERLAP | Zone:FVG | MTF 17 | Risk x1.15,BOS+2 | BodyStrong+1 | 1hN+1 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | BullWick+1 | Zone:FVG+1 | Sess:OVERLAP | NestedOB_1h+2 | QualityRisk:1.15,0,0,-1.0,range,0.1071,0,3.208,0.1111,2.9929,-1,0.0,1.0396,0.0,0.808,-0.708,20.0,-1.0,-0.333,1.75,4250,0,1,0.029,2.807,1,0.086,3
XRPUSDT,4555,4680,1779118200,1779231600,SHORT,TRAIL,1.3733,1.35368839,1.20986994,1.40598601,0.3602458666567152,0.32243244127992543,0.03781342537678972,16,3.46,33.92,0.674620390455529,0.00313029313612343,1.6161587526182268,base,adaptive disabled,1.15,90.5,90,100,90,80,NEW_YORK,bearish,bearish,FVG,True,0.00478601280410445,BOS bearish | Vol 3.5x | FVG | ChoCH | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 16 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+1 | TrendPairRisk:1.15,0,0,-1.0,range,0.1029,2,2.7998,0.0526,5.1405,-1,0.0,0.7006,1.0606,0.0,-0.1325,5.177,1.0,-0.4387,0.75,4555,0,3,1.546,-1.0,0,0.669,1
XRPUSDT,5788,5806,1780227900,1780245000,LONG,SL,1.3395,1.3491444,1.41987,1.323426,-2.1898718427273764,-2.3898718427273775,0.20000000000000098,13,1.68,56.92,0.2586206896551668,0.0017906606741048276,1.0,base,adaptive disabled,1.15,66.2,60,91,50,80,OVERLAP,neutral,bullish,FVG,True,0.0011968986319463957,BOS bullish | Vol 1.7x | FVG | LiqSweep | ChoCH | Session:OVERLAP | Zone:FVG | MTF 13 | Risk x1.15,BOS+2 | 1hN+1 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | LiqSweep+1 | ChoCH+1 | Zone:FVG+1 | Sess:OVERLAP | QualityRisk:1.15,0,0,-1.0,range,0.0968,0,5.2636,0.1111,2.146,-1,0.0,1.0949,0.591,0.0,0.8105,0.0,0.0,-0.3656,2.0,5788,0,1,1.671,0.585,1,0.0,1
SOLUSDT,5886,5890,1780316100,1780320600,SHORT,TRAIL,80.72,80.138816,75.8768,81.68864,0.5487719895936446,0.4503344895936454,0.09843749999999922,16,2.29,32.98,0.4677419354838715,0.004386006895899466,1.7743590897382968,base,adaptive disabled,1.25,90.5,90,100,90,80,OVERLAP,bearish,bearish,FVG,True,0.2186597752413924,BOS bearish | Vol 2.3x | FVG | ChoCH | Session:OVERLAP | StrongTrend1h | Zone:FVG | MTF 16 | Risk x1.25,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OVERLAP | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0,-1.0,range,0.4444,3,3.9331,0.0526,2.267,-1,0.0,0.1962,1.1012,2.0,0.0684,0.962,1.0,-0.2745,0.984375,5886,0,1,1.418,0.183,1,2.378,2
SOLUSDT,5962,5971,1780384500,1780393500,SHORT,TRAIL,79.62,78.69595978,71.91966485,81.16006703,0.3031523894125585,0.26825553170890365,0.03489685770365489,15,4.67,34.85,0.7543859649122725,0.004240259743862099,1.2111999082661193,base,adaptive disabled,1.25,84.5,90,100,70,80,OFF_HOURS,bearish,bearish,FVG,True,0.3000670291857333,BOS bearish | Vol 4.7x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.25,BOS+2 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0,-1.0,bear,0.3297,2,2.9993,0.0526,2.1876,-1,0.0,0.0844,1.0389,0.0,-0.3767,6.373,1.0,-0.4434,0.5625,5959,1,1,0.3,0.3,1,0.6,1
