symbol,entry_bar,exit_bar,entry_time,exit_time,direction,outcome,entry,tp1,tp2,sl,gross_r,net_r,cost_r,mtf_score,volume_ratio,rsi,eff_ratio,vol_atr_pct,vol_ratio_regime,adaptive_pack,adaptive_reason,risk_mult,quality_score,trend_score,volatility_score,entry_quality_score,portfolio_risk_score,session,trend_1h,trend_4h,entry_source,signals,score_tags,premium,sniper,knn_score,swing_trend,pullback_frac,run_len_before,impulse6_atr,retrace_bars_ratio,pullback_vol_ratio,post_sl_tp1,post_sl_max_r,mae_r,mfe_tp1,accel_ratio,buy_pressure,absorption,obv_agree,obv_strength,size_mult,signal_bar,zone_age_bars,bos_candles_ago,extension_atr,room_atr,tp1_beyond_level,entry_range_atr,run_bars
BTCUSDT,391,448,1775370600,1775422800,SHORT,SL,66748.6,66268.01008,62743.684,67549.5832,-0.4063397198124803,-0.41864440731248054,0.012304687500000187,14,2.69,30.52,0.4761433868974186,0.0036927095555390143,3.605349373020767,base,adaptive disabled,1.0,76.0,60,80,90,80,OFF_HOURS,neutral,bearish,FVG,BOS bearish | Vol 2.7x | FVG | ChoCH | Engulfing | Zone:FVG | MTF 14,BOS+2 | BodyStrong+1 | 1hN+1 | 4h+2 | Vol+2 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:OFF_HOURS,0,0,-1.0,range,0.3011,0,5.1034,0.0526,2.6238,-1,0.0,1.3702,0.205,0.0,-0.0895,1.658,1.0,-0.3565,0.369140625,391,0,2,2.9,1.61,1,1.625,2
ETHUSDT,395,442,1775374200,1775417400,SHORT,SL,2035.67,2018.37060116,1891.50834298,2064.5023314,-1.0129741450599499,-1.0407743618159213,0.027800216755971458,13,1.8,30.7,0.44431554524361816,0.00554417398456828,3.737554903243263,base,adaptive disabled,1.0,70.0,60,80,70,80,OFF_HOURS,neutral,bearish,FVG,BOS bearish | Vol 1.8x | FVG | ChoCH | Engulfing | Zone:FVG | MTF 13,BOS+2 | BodyStrong+1 | 1hN+1 | 4h+2 | Vol+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:OFF_HOURS,0,0,-1.0,range,0.2872,1,4.5895,0.3333,1.8248,-1,0.0,1.1778,0.9052,4.601,-0.0738,1.483,1.0,-0.2265,0.984375,392,1,5,2.996,0.437,1,0.795,0
ETHUSDT,500,552,1775468700,1775516400,LONG,SL,2147.14,2170.65715178,2343.11626486,2107.94474703,-0.8250999177056757,-0.8415341017251801,0.01643418401950435,16,1.75,66.31,0.5334637964774955,0.008867551023249707,2.2239296345662884,base,adaptive disabled,1.0,82.5,90,90,70,80,LONDON,bullish,bullish,FVG,BOS bullish | Vol 1.8x | FVG | ChoCH | Engulfing | Session:LONDON | StrongTrend1h | Zone:FVG | MTF 16,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:LONDON | Strong1h+1,0,0,-1.0,range,0.4833,0,3.9115,0.1111,5.3295,-1,0.0,1.1134,0.9295,0.0,-0.1383,1.38,1.0,0.4272,0.75,500,1,4,1.284,1.543,1,1.27,2
BTCUSDT,529,553,1775494800,1775517300,LONG,SL,69598.7,70099.81064,73774.622,68763.5156,-0.421875,-0.43125,0.009375000000000019,15,1.54,68.62,0.6885322384995672,0.0032758939080962217,1.2665924196248801,base,adaptive disabled,1.0,84.5,90,100,70,80,NEW_YORK,bullish,bullish,FVG,BOS bullish | Vol 1.5x | FVG | ChoCH | BullWick | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | BTC+2 | FVG+1 | ChoCH+1 | BullWick+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+1,0,0,-1.0,range,0.6071,0,2.8458,0.0526,2.1516,-1,0.0,1.5921,0.6961,0.0,0.0864,1.383,1.0,0.0793,0.28125,526,27,1,0.962,0.96,1,2.364,1
BTCUSDT,707,711,1775655000,1775659500,LONG,SL,72369.3,73112.42785482,78562.03212352,71130.7535753,-0.223481479563467,-0.2284115811452297,0.004930101581762673,15,3.16,69.46,0.5962486473488022,0.006944870362228667,2.832325926766326,base,adaptive disabled,1.0,82.5,90,90,70,80,NEW_YORK,bullish,bullish,FVG,BOS bullish | Vol 3.2x | FVG | ChoCH | Engulfing | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 15,BOS+2 | 1h+2 | 4h+2 | Vol+2 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+1,0,0,-1.0,range,0.3407,0,5.1371,0.0526,3.0607,-1,0.0,1.2087,0.2943,0.0,0.1455,1.601,1.0,0.3207,0.2109375,707,0,2,1.901,1.243,1,1.972,3
ETHUSDT,707,710,1775655000,1775658600,LONG,SL,2252.97,2269.191384,2388.1482,2225.93436,-1.028642192306169,-1.061975525639503,0.033333333333333826,17,1.91,59.67,0.3221818181818172,0.005523283245801618,1.6056614781252918,base,adaptive disabled,1.15,81.1,90,98,60,80,NEW_YORK,bullish,bullish,OB,BOS bullish | Vol 1.9x | FVG | OB | ChoCH | Engulfing | BullWick | Session:NEW_YORK | StrongTrend1h | Zone:OB | MTF 17 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | OB+1 | ChoCH+1 | Engulfing+1 | BullWick+1 | Zone:OB+1 | Sess:NEW_YORK | Strong1h+1 | QualityRisk:1.15,0,1,-1.0,bear,0.4966,0,2.8869,0.1111,3.1711,-1,0.0,1.1825,0.733,0.0,-0.0935,1.276,1.0,0.1151,1.0,707,4,1,0.492,0.402,1,1.498,3
BTCUSDT,785,812,1775725200,1775750400,LONG,TRAIL,71175.1,71687.56072,75445.606,70320.9988,0.7523698596840658,0.7277604846840658,0.02460937499999987,16,2.34,60.22,0.468288030519792,0.0031925317135262886,1.284204493080866,base,adaptive disabled,1.0,80.0,60,100,90,80,LONDON,neutral,bullish,FVG,BOS bullish | Vol 2.3x | FVG | ChoCH | Session:LONDON | Zone:FVG | MTF 16,BOS+2 | BodyStrong+1 | 1hN+1 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:LONDON | NestedOB_1h+2,0,0,-1.0,bull,0.2626,0,3.0379,0.0526,2.3345,-1,0.0,0.7846,2.2609,0.0,0.129,2.214,1.0,0.1507,0.73828125,785,0,1,0.805,4.06,0,1.056,2
BTCUSDT,816,839,1775753100,1775774700,LONG,TRAIL,72010.0,73096.77246051,81066.43717091,70198.71256582,0.0911471845299585,0.08667460615993988,0.004472578370018612,17,1.44,66.11,0.6227605754318433,0.004453738071621416,1.6500949012988606,base,adaptive disabled,1.0,78.5,90,100,50,80,NEW_YORK,bullish,bullish,FVG,BOS bullish | Vol 1.4x | FVG | ChoCH | BullWick | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 17,BOS+2 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | BullWick+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+1 | NestedOB_1h+2,0,1,-1.0,bear,0.197,0,3.6531,0.1765,1.3163,-1,0.0,0.1895,1.0454,0.0,0.0447,1.535,1.0,0.2671,0.28125,816,3,4,1.949,2.741,1,0.937,0
BTCUSDT,893,902,1775822400,1775831400,LONG,TRAIL,72050.4,72569.16288,76373.424,71185.7952,0.6177499480832218,0.5890390105832218,0.028710937499999964,13,1.46,64.89,0.7416593226740437,0.0024846205943161548,1.0429093590654772,base,adaptive disabled,1.15,74.0,60,100,70,80,OVERLAP,neutral,bullish,FVG,BOS bullish | Vol 1.5x | FVG | ChoCH | Session:OVERLAP | Zone:FVG | MTF 13 | Risk x1.15,BOS+2 | BodyStrong+1 | 1hN+1 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OVERLAP | QualityRisk:1.15,0,0,-1.0,range,0.206,0,3.2731,0.1111,1.0315,-1,0.0,0.21,1.9228,0.0,0.0422,1.893,1.0,0.1945,0.861328125,891,0,2,1.968,2.118,1,0.922,0
BTCUSDT,907,928,1775835000,1775854800,LONG,TRAIL,72588.7,73301.202169,78526.21807499,71401.196385,0.10911874676693195,0.10396114430986488,0.005157602457067072,15,2.52,69.39,0.47833516416453503,0.0065627875373930914,3.1424697341147674,base,adaptive disabled,1.0,80.5,90,80,70,80,NEW_YORK,bullish,bullish,FVG,BOS bullish | Vol 2.5x | FVG | ChoCH | Engulfing | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 15,BOS+2 | 1h+2 | 4h+2 | Vol+2 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+1,0,0,-1.0,range,0.436,0,4.027,0.0526,1.8843,-1,0.0,0.2551,1.2121,2.909,0.1954,1.475,1.0,0.2564,0.2109375,904,1,2,1.52,0.193,1,2.169,2
