symbol,entry_bar,exit_bar,entry_time,exit_time,direction,outcome,entry,tp1,tp2,sl,gross_r,net_r,cost_r,mtf_score,volume_ratio,rsi,eff_ratio,vol_atr_pct,vol_ratio_regime,adaptive_pack,adaptive_reason,risk_mult,quality_score,trend_score,volatility_score,entry_quality_score,portfolio_risk_score,session,trend_1h,trend_4h,entry_source,entry_is_intrabar,atr_at_signal,signals,score_tags,premium,sniper,knn_score,swing_trend,pullback_frac,run_len_before,impulse6_atr,retrace_bars_ratio,pullback_vol_ratio,post_sl_tp1,post_sl_max_r,mae_r,mfe_tp1,accel_ratio,buy_pressure,absorption,obv_agree,obv_strength,size_mult,signal_bar,zone_age_bars,bos_candles_ago,extension_atr,room_atr,tp1_beyond_level,entry_range_atr,run_bars
BTCUSDT,391,448,1775370600,1775422800,SHORT,SL,66748.6,66268.01008,62743.684,67549.5832,-0.4063397198124803,-0.41864440731248054,0.012304687500000187,14,2.69,30.52,0.4761433868974186,0.0036927095555390143,3.605349373020767,base,adaptive disabled,1.0,76.0,60,80,90,80,OFF_HOURS,neutral,bearish,FVG,True,108.47620707359455,BOS bearish | Vol 2.7x | FVG | ChoCH | Engulfing | Zone:FVG | MTF 14,BOS+2 | BodyStrong+1 | 1hN+1 | 4h+2 | Vol+2 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:OFF_HOURS,0,0,-1.0,range,0.3011,0,5.1034,0.0526,2.6238,-1,0.0,1.3702,0.205,0.0,-0.0895,1.658,1.0,-0.3565,0.369140625,391,0,2,2.9,1.61,1,1.625,2
BTCUSDT,395,448,1775374200,1775422800,SHORT,SL,66748.6,66268.01008,62743.684,67549.5832,-0.3047547898593602,-0.3139833054843604,0.00922851562500014,14,1.3,35.39,0.3280410356619325,0.0030642471693325406,2.9829803189346755,base,adaptive disabled,1.0,71.8,60,89,70,80,OFF_HOURS,neutral,bearish,FVG,True,107.57076371287577,BOS bearish | Vol 1.3x | FVG | ChoCH | Engulfing | Zone:FVG | MTF 14,BOS+2 | BodyStrong+1 | 1hN+1 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:OFF_HOURS,0,0,-1.0,range,0.3011,1,3.2407,0.3333,1.4835,-1,0.0,1.3702,0.205,10.0,-0.0553,1.463,1.0,-0.2491,0.27685546875,392,1,3,2.337,0.545,1,1.088,0
ETHUSDT,395,442,1775374200,1775417400,SHORT,SL,2035.67,2018.37060116,1891.50834298,2064.5023314,-1.0129741450599499,-1.0407743618159213,0.027800216755971458,13,1.8,30.7,0.44431554524361816,0.00554417398456828,3.737554903243263,base,adaptive disabled,1.0,70.0,60,80,70,80,OFF_HOURS,neutral,bearish,FVG,True,4.8523314047532295,BOS bearish | Vol 1.8x | FVG | ChoCH | Engulfing | Zone:FVG | MTF 13,BOS+2 | BodyStrong+1 | 1hN+1 | 4h+2 | Vol+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:OFF_HOURS,0,0,-1.0,range,0.2872,1,4.5895,0.3333,1.8248,-1,0.0,1.1778,0.9052,4.601,-0.0738,1.483,1.0,-0.2265,0.984375,392,1,5,2.996,0.437,1,0.795,0
ETHUSDT,500,552,1775468700,1775516400,LONG,SL,2147.14,2170.65715178,2343.11626486,2107.94474703,-0.8250999177056757,-0.8415341017251801,0.01643418401950435,16,1.75,66.31,0.5334637964774955,0.008867551023249707,2.2239296345662884,base,adaptive disabled,1.0,82.5,90,90,70,80,LONDON,bullish,bullish,FVG,True,10.405252971699303,BOS bullish | Vol 1.8x | FVG | ChoCH | Engulfing | Session:LONDON | StrongTrend1h | Zone:FVG | MTF 16,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:LONDON | Strong1h+1,0,0,-1.0,range,0.4833,0,3.9115,0.1111,5.3295,-1,0.0,1.1134,0.9295,0.0,-0.1383,1.38,1.0,0.4272,0.75,500,1,4,1.284,1.543,1,1.27,2
ETHUSDT,528,552,1775493900,1775516400,LONG,SL,2147.14,2162.599408,2275.9684,2121.37432,-1.5000000000000089,-1.5333333333333423,0.03333333333333336,17,1.51,64.69,0.44324217981507835,0.006373002841412983,1.9956974787060864,base,adaptive disabled,1.0,76.5,90,90,50,80,NEW_YORK,bullish,bullish,FVG,True,11.41018498794104,BOS bullish | Vol 1.5x | FVG | LiqSweep | ChoCH | Engulfing | BullWick | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 17,BOS+2 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | LiqSweep+1 | ChoCH+1 | Engulfing+1 | BullWick+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+1,0,0,-1.0,range,0.6504,1,1.1814,0.3333,0.4901,-1,0.0,1.6937,1.3092,0.0,0.0157,1.583,-1.0,-0.1223,1.0,523,24,2,0.95,0.245,1,0.64,0
BTCUSDT,529,553,1775494800,1775517300,LONG,SL,69598.7,70099.81064,73774.622,68763.5156,-0.421875,-0.43125,0.009375000000000019,15,1.54,68.62,0.6885322384995672,0.0032758939080962217,1.2665924196248801,base,adaptive disabled,1.0,84.5,90,100,70,80,NEW_YORK,bullish,bullish,FVG,True,248.71942098299775,BOS bullish | Vol 1.5x | FVG | ChoCH | BullWick | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | BTC+2 | FVG+1 | ChoCH+1 | BullWick+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+1,0,0,-1.0,range,0.6071,0,2.8458,0.0526,2.1516,-1,0.0,1.5921,0.6961,0.0,0.0864,1.383,1.0,0.0793,0.28125,526,27,1,0.962,0.96,1,2.364,1
BTCUSDT,707,711,1775655000,1775659500,LONG,SL,72369.3,73112.42785482,78562.03212352,71130.7535753,-0.223481479563467,-0.2284115811452297,0.004930101581762673,15,3.16,69.46,0.5962486473488022,0.006944870362228667,2.832325926766326,base,adaptive disabled,1.0,82.5,90,90,70,80,NEW_YORK,bullish,bullish,FVG,True,257.2464247041778,BOS bullish | Vol 3.2x | FVG | ChoCH | Engulfing | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 15,BOS+2 | 1h+2 | 4h+2 | Vol+2 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+1,0,0,-1.0,range,0.3407,0,5.1371,0.0526,3.0607,-1,0.0,1.2087,0.2943,0.0,0.1455,1.601,1.0,0.3207,0.2109375,707,0,2,1.901,1.243,1,1.972,3
ETHUSDT,707,710,1775655000,1775658600,LONG,SL,2252.97,2269.191384,2388.1482,2225.93436,-1.028642192306169,-1.061975525639503,0.033333333333333826,17,1.91,59.67,0.3221818181818172,0.005523283245801618,1.6056614781252918,base,adaptive disabled,1.15,81.1,90,98,60,80,NEW_YORK,bullish,bullish,OB,True,9.698892146910838,BOS bullish | Vol 1.9x | FVG | OB | ChoCH | Engulfing | BullWick | Session:NEW_YORK | StrongTrend1h | Zone:OB | MTF 17 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | OB+1 | ChoCH+1 | Engulfing+1 | BullWick+1 | Zone:OB+1 | Sess:NEW_YORK | Strong1h+1 | QualityRisk:1.15,0,1,-1.0,bear,0.4966,0,2.8869,0.1111,3.1711,-1,0.0,1.1825,0.733,0.0,-0.0935,1.276,1.0,0.1151,1.0,707,4,1,0.492,0.402,1,1.498,3
BTCUSDT,785,812,1775725200,1775750400,LONG,TRAIL,71175.1,71687.56072,75445.606,70320.9988,0.7523698596840658,0.7277604846840658,0.02460937499999987,16,2.34,60.22,0.468288030519792,0.0031925317135262886,1.284204493080866,base,adaptive disabled,1.0,80.0,60,100,90,80,LONDON,neutral,bullish,FVG,True,173.4083797712565,BOS bullish | Vol 2.3x | FVG | ChoCH | Session:LONDON | Zone:FVG | MTF 16,BOS+2 | BodyStrong+1 | 1hN+1 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:LONDON | NestedOB_1h+2,0,0,-1.0,bull,0.2626,0,3.0379,0.0526,2.3345,-1,0.0,0.7846,2.2609,0.0,0.129,2.214,1.0,0.1507,0.73828125,785,0,1,0.805,4.06,0,1.056,2
BTCUSDT,787,812,1775727000,1775750400,LONG,TRAIL,71175.1,71687.56072,75445.606,70320.9988,0.5642773947630493,0.5458203635130494,0.018457031249999905,16,2.17,62.59,0.46904761904761905,0.0036880582590761058,1.4465261736941972,base,adaptive disabled,1.0,74.0,60,100,70,80,LONDON,neutral,bullish,FVG,True,177.5077812034052,BOS bullish | Vol 2.2x | FVG | ChoCH | BullWick | Session:LONDON | Zone:FVG | MTF 16,BOS+2 | 1hN+1 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | BullWick+1 | Zone:FVG+1 | Sess:LONDON | NestedOB_1h+2,0,0,-1.0,bull,0.42,0,4.0342,0.0526,2.6342,-1,0.0,0.7846,2.2609,10.0,0.2287,1.668,1.0,0.2677,0.5537109375,786,1,2,1.187,3.566,0,2.018,1
