symbol,entry_bar,exit_bar,entry_time,exit_time,direction,outcome,entry,tp1,tp2,sl,gross_r,net_r,cost_r,mtf_score,volume_ratio,rsi,eff_ratio,vol_atr_pct,vol_ratio_regime,adaptive_pack,adaptive_reason,risk_mult,quality_score,trend_score,volatility_score,entry_quality_score,portfolio_risk_score,session,trend_1h,trend_4h,entry_source,signals,score_tags,premium,sniper,knn_score,swing_trend,pullback_frac,run_len_before,impulse6_atr,retrace_bars_ratio,pullback_vol_ratio,post_sl_tp1,post_sl_max_r,mae_r,mfe_tp1,accel_ratio,buy_pressure,absorption,obv_agree,obv_strength,size_mult,signal_bar,zone_age_bars,bos_candles_ago,extension_atr,room_atr,tp1_beyond_level,entry_range_atr,run_bars
ETHUSDT,1213,1222,1776110400,1776119400,LONG,TRAIL,2252.06,2288.97861129,2559.71509406,2190.52898119,0.5134167335185734,0.502608177417729,0.010808556100844493,13,1.91,70.95,0.46408304498270125,0.006634144224468275,1.0,base,adaptive disabled,1.15,74.0,60,100,70,80,DEAD_ZONE,neutral,bullish,FVG,BOS bullish | Vol 1.9x | FVG | ChoCH | Engulfing | Zone:FVG | MTF 13 | Risk x1.15,BOS+2 | BodyStrong+1 | 1hN+1 | 4h+2 | Vol+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:DEAD_ZONE | QualityRisk:1.15,0,0,-1.0,range,0.2153,3,5.4275,0.0526,1.8995,-1,0.0,0.0562,2.3105,0.0,0.2153,1.167,1.0,0.5129,0.73828125,1213,0,2,2.647,-1.0,0,1.637,2
ETHUSDT,1260,1264,1776152700,1776157200,LONG,TRAIL,2371.79,2388.866888,2514.0974,2343.32852,0.48559052445621664,0.4574655244562166,0.028125000000000063,15,9.67,71.69,0.4770491803278651,0.004564778179523892,1.5945891973550825,base,adaptive disabled,1.0,90.5,90,100,90,80,LONDON,bullish,bullish,FVG,BOS bullish | Vol 9.7x | FVG | ChoCH | Session:LONDON | StrongTrend1h | Zone:FVG | MTF 15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:LONDON | Strong1h+1,0,1,-1.0,bear,0.5229,0,4.1248,0.1765,4.8252,-1,0.0,0.0271,1.382,0.0,-0.0474,3.976,1.0,0.3198,0.84375,1258,0,1,2.104,1.657,1,0.059,0
BTCUSDT,1283,1283,1776173400,1776174300,LONG,TP1,74559.2,75096.02624,79032.752,73664.4896,0.0,-0.012500000000000053,0.012500000000000053,17,1.64,56.32,0.31158767345468563,0.002241465278691344,1.9384269920772028,base,adaptive disabled,1.15,75.9,90,87,50,80,NEW_YORK,bullish,bullish,FVG,BOS bullish | Vol 1.6x | FVG | LiqSweep | ChoCH | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 17 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | LiqSweep+1 | ChoCH+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+1 | NestedOB_1h+2 | QualityRisk:1.15,0,1,-1.0,bear,0.5172,0,3.9847,-1.0,-1.0,-1,0.0,0.0206,1.2006,0.0,-0.2886,1.078,1.0,0.2268,0.375,1283,0,1,0.275,0.257,1,1.521,3
ETHUSDT,1285,1287,1776175200,1776177900,LONG,TP1,2385.13,2402.302936,2528.2378,2356.50844,-0.30894542435841926,-0.33394542435841923,0.024999999999999963,17,3.44,64.15,0.5835777126099851,0.0044136914482119805,2.1162357594661043,base,adaptive disabled,1.0,82.5,90,90,70,80,NEW_YORK,bullish,bullish,FVG,BOS bullish | Vol 3.4x | FVG | ChoCH | Engulfing | BullWick | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 17,BOS+2 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | BullWick+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+1,0,1,-1.0,bear,0.3694,0,3.6744,0.1111,8.1273,-1,0.0,0.6233,1.7399,0.0,0.3426,3.069,1.0,0.1613,0.75,1285,0,3,1.959,0.52,1,1.122,1
BTCUSDT,1332,1355,1776217500,1776239100,LONG,SL,74621.4,75203.23722964,79470.0435803,73651.67128394,-0.2926978394052618,-0.3013548043491364,0.008656964943874697,18,2.15,58.89,0.7477752351893998,0.0020491453739764063,0.8003672160986947,base,adaptive disabled,1.15,90.5,90,100,90,80,OFF_HOURS,bullish,bullish,FVG,BOS bullish | Vol 2.1x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 18 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1 | NestedOB_1h+2 | QualityRisk:1.15,0,0,-1.0,range,0.1512,0,1.8144,0.1111,0.9781,-1,0.0,1.0686,0.1573,3.454,0.208,2.884,1.0,0.5523,0.28125,1331,0,1,0.094,1.742,1,0.557,0
ETHUSDT,1387,1403,1776267000,1776282300,LONG,TP2,2332.57,2368.09,2377.14,2303.88491471,2.0393219824377673,1.996630833444499,0.04269114899326807,14,2.54,61.15,0.15010515247108416,0.005420760703170136,2.1055433131269896,base,adaptive disabled,1.0,73.6,60,68,90,80,NEW_YORK,neutral,bullish,FVG,BOS bullish | Vol 2.5x | FVG | ChoCH | Session:NEW_YORK | Zone:FVG | MTF 14,BOS+2 | BodyStrong+1 | 1hN+1 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:NEW_YORK,0,0,-1.0,bull,0.4333,0,2.8583,0.1111,1.7877,-1,0.0,0.4169,1.4367,0.872,0.1859,1.421,1.0,0.2201,1.3125,1386,3,3,1.132,5.56,0,1.244,2
ETHUSDT,1405,1476,1776283200,1776348000,LONG,SL,2363.08,2394.06292826,2621.2710688,2311.44178624,-0.6327799244154212,-0.643076426972058,0.010296502556636873,15,2.06,69.91,0.5602605863192167,0.004657050948543589,1.4635629912911994,base,adaptive disabled,1.0,90.5,90,100,90,80,DEAD_ZONE,bullish,bullish,FVG,BOS bullish | Vol 2.1x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:DEAD_ZONE | Strong1h+1,0,0,-1.0,bull,0.3258,0,3.9059,0.1111,1.4716,-1,0.0,1.3593,0.4906,1.937,0.1507,1.129,1.0,0.3387,0.5625,1404,1,3,1.951,2.037,1,0.713,1
BTCUSDT,1437,1476,1776312000,1776348000,LONG,SL,74851.8,75390.73296,79342.908,73953.5784,-0.36302984697762875,-0.3724048469776287,0.009374999999999955,16,1.42,56.03,0.3360456816559656,0.003507629573075115,1.3859754075505553,base,adaptive disabled,1.15,84.5,90,100,70,80,OFF_HOURS,bullish,bullish,FVG,BOS bullish | Vol 1.4x | FVG | ChoCH | BullWick | StrongTrend1h | Zone:FVG | MTF 16 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | BullWick+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1 | QualityRisk:1.15,0,1,-1.0,bear,0.4876,0,2.349,0.3333,0.6555,-1,0.0,1.3936,0.4505,0.0,-0.0641,0.684,-1.0,-0.1797,0.28125,1433,0,1,0.436,0.309,1,0.086,0
BTCUSDT,1571,1575,1776432600,1776437100,LONG,TRAIL,76500.1,77578.36927707,85485.6773089,74702.98453822,0.11736385932659575,0.11377216136685155,0.0035916979597441986,15,3.52,71.16,0.6725011284417464,0.00795778845217294,4.745517819202597,base,adaptive disabled,1.0,86.5,90,80,90,80,NEW_YORK,bullish,bullish,FVG,BOS bullish | Vol 3.5x | FVG | ChoCH | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+1,0,0,-1.0,bull,0.2476,0,5.0944,0.0526,3.4286,-1,0.0,0.1933,1.4611,7.746,0.1763,2.158,1.0,0.3761,0.2109375,1571,0,1,0.982,-1.0,0,1.629,2
ETHUSDT,1782,1798,1776622500,1776637800,SHORT,TRAIL,2299.78,2264.58084116,2006.45367633,2358.44526473,0.4188168264999878,0.4099964367449682,0.008820389755019557,14,1.66,30.03,0.5621588841722268,0.0051658587808315485,2.079240284341001,base,adaptive disabled,1.15,76.5,90,90,50,80,OFF_HOURS,bearish,bearish,FVG,BOS bearish | Vol 1.7x | FVG | ChoCH | Engulfing | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1 | TrendPairRisk:1.15,0,0,-1.0,bear,0.1666,0,3.4416,0.0526,1.6367,-1,0.0,0.0615,1.3409,2.501,-0.1518,1.518,1.0,-0.5307,0.5625,1782,0,5,2.281,0.926,1,1.097,2
