symbol,entry_bar,exit_bar,entry_time,exit_time,direction,outcome,entry,tp1,tp2,sl,gross_r,net_r,cost_r,mtf_score,volume_ratio,rsi,eff_ratio,vol_atr_pct,vol_ratio_regime,adaptive_pack,adaptive_reason,risk_mult,quality_score,trend_score,volatility_score,entry_quality_score,portfolio_risk_score,session,trend_1h,trend_4h,entry_source,signals,score_tags,premium,sniper,knn_score,swing_trend,pullback_frac,run_len_before,impulse6_atr,retrace_bars_ratio,pullback_vol_ratio,post_sl_tp1,post_sl_max_r,mae_r,mfe_tp1,accel_ratio,buy_pressure,absorption,obv_agree,obv_strength,size_mult,signal_bar,zone_age_bars,bos_candles_ago,extension_atr,room_atr,tp1_beyond_level,entry_range_atr,run_bars
ETHUSDT,1213,1222,1776110400,1776119400,LONG,TRAIL,2252.06,2288.97861129,2559.71509406,2190.52898119,0.5134167335185734,0.502608177417729,0.010808556100844493,13,1.91,70.95,0.46408304498270125,0.006634144224468275,1.0,base,adaptive disabled,1.15,74.0,60,100,70,80,DEAD_ZONE,neutral,bullish,FVG,BOS bullish | Vol 1.9x | FVG | ChoCH | Engulfing | Zone:FVG | MTF 13 | Risk x1.15,BOS+2 | BodyStrong+1 | 1hN+1 | 4h+2 | Vol+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:DEAD_ZONE | QualityRisk:1.15,0,0,-1.0,range,0.2153,3,5.4275,0.0526,1.8995,-1,0.0,0.0562,2.3105,0.0,0.2153,1.167,1.0,0.5129,0.73828125,1213,0,2,2.647,-1.0,0,1.637,2
ETHUSDT,1260,1264,1776152700,1776157200,LONG,TRAIL,2371.79,2388.866888,2514.0974,2343.32852,0.48559052445621664,0.4574655244562166,0.028125000000000063,15,9.67,71.69,0.4770491803278651,0.004564778179523892,1.5945891973550825,base,adaptive disabled,1.0,90.5,90,100,90,80,LONDON,bullish,bullish,FVG,BOS bullish | Vol 9.7x | FVG | ChoCH | Session:LONDON | StrongTrend1h | Zone:FVG | MTF 15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:LONDON | Strong1h+1,0,1,-1.0,bear,0.5229,0,4.1248,0.1765,4.8252,-1,0.0,0.0271,1.382,0.0,-0.0474,3.976,1.0,0.3198,0.84375,1258,0,1,2.104,1.657,1,0.059,0
ETHUSDT,1261,1264,1776153600,1776157200,LONG,TRAIL,2377.32,2394.436704,2519.9592,2348.79216,0.320903633082626,0.29277863308262614,0.028124999999999806,16,2.11,68.87,0.49295774647886403,0.005304199414357287,1.9051237696532162,base,adaptive disabled,1.0,88.5,90,90,90,80,LONDON,bullish,bullish,FVG,BOS bullish | Vol 2.1x | FVG | ChoCH | BullWick | Session:LONDON | StrongTrend1h | Zone:FVG | MTF 16,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | BTC+2 | FVG+1 | ChoCH+1 | BullWick+1 | Zone:FVG+1 | Sess:LONDON | Strong1h+1,0,1,-1.0,bear,0.3505,1,4.1951,0.25,4.9757,-1,0.0,0.0999,1.0557,0.0,0.0812,2.824,1.0,0.3267,0.84375,1259,0,2,1.792,2.033,1,0.87,0
BTCUSDT,1283,1283,1776173400,1776174300,LONG,TP1,74559.2,75096.02624,79032.752,73664.4896,0.0,-0.012500000000000053,0.012500000000000053,17,1.64,56.32,0.31158767345468563,0.002241465278691344,1.9384269920772028,base,adaptive disabled,1.15,75.9,90,87,50,80,NEW_YORK,bullish,bullish,FVG,BOS bullish | Vol 1.6x | FVG | LiqSweep | ChoCH | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 17 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | LiqSweep+1 | ChoCH+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+1 | NestedOB_1h+2 | QualityRisk:1.15,0,1,-1.0,bear,0.5172,0,3.9847,-1.0,-1.0,-1,0.0,0.0206,1.2006,0.0,-0.2886,1.078,1.0,0.2268,0.375,1283,0,1,0.275,0.257,1,1.521,3
ETHUSDT,1285,1287,1776175200,1776177900,LONG,TP1,2385.13,2402.302936,2528.2378,2356.50844,-0.30894542435841926,-0.33394542435841923,0.024999999999999963,17,3.44,64.15,0.5835777126099851,0.0044136914482119805,2.1162357594661043,base,adaptive disabled,1.0,82.5,90,90,70,80,NEW_YORK,bullish,bullish,FVG,BOS bullish | Vol 3.4x | FVG | ChoCH | Engulfing | BullWick | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 17,BOS+2 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | BullWick+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+1,0,1,-1.0,bear,0.3694,0,3.6744,0.1111,8.1273,-1,0.0,0.6233,1.7399,0.0,0.3426,3.069,1.0,0.1613,0.75,1285,0,3,1.959,0.52,1,1.122,1
ETHUSDT,1287,1289,1776177000,1776179700,LONG,SL,2379.73,2396.864056,2522.5138,2351.17324,-1.499999999999992,-1.5333333333333254,0.0333333333333334,17,2.02,53.78,0.21372997711671346,0.005714150008214894,2.739767544746847,base,adaptive disabled,1.15,85.5,90,75,90,80,NEW_YORK,bullish,bullish,FVG,BOS bullish | Vol 2.0x | FVG | ChoCH | Engulfing | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 17 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+1 | QualityRisk:1.15,0,1,-1.0,bear,0.5709,1,3.036,0.25,6.4142,-1,0.0,1.6248,2.0591,0.0,0.2039,1.102,-1.0,0.0034,1.0,1286,3,4,0.526,1.794,1,1.487,0
BTCUSDT,1332,1355,1776217500,1776239100,LONG,SL,74621.4,75203.23722964,79470.0435803,73651.67128394,-0.2926978394052618,-0.3013548043491364,0.008656964943874697,18,2.15,58.89,0.7477752351893998,0.0020491453739764063,0.8003672160986947,base,adaptive disabled,1.15,90.5,90,100,90,80,OFF_HOURS,bullish,bullish,FVG,BOS bullish | Vol 2.1x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 18 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1 | NestedOB_1h+2 | QualityRisk:1.15,0,0,-1.0,range,0.1512,0,1.8144,0.1111,0.9781,-1,0.0,1.0686,0.1573,3.454,0.208,2.884,1.0,0.5523,0.28125,1331,0,1,0.094,1.742,1,0.557,0
BTCUSDT,1333,1355,1776218400,1776239100,LONG,SL,74621.4,75201.09199902,79452.16665852,73655.2466683,-0.22033575625664795,-0.2268525071888437,0.0065167509321957485,17,1.37,56.9,0.5153639443860192,0.0020577417515132354,0.8302523815081269,base,adaptive disabled,1.15,78.5,90,100,50,80,OFF_HOURS,bullish,bullish,FVG,BOS bullish | Vol 1.4x | FVG | ChoCH | BullWick | StrongTrend1h | Zone:FVG | MTF 17 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | BullWick+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1 | NestedOB_1h+2 | QualityRisk:1.15,0,0,-1.0,range,0.1512,1,1.7353,0.1765,1.0638,-1,0.0,1.0726,0.0112,6.042,0.172,1.938,1.0,0.5734,0.2109375,1333,2,3,0.299,1.98,1,0.705,0
ETHUSDT,1387,1403,1776267000,1776282300,LONG,TP2,2332.57,2368.09,2377.14,2303.88491471,2.0393219824377673,1.996630833444499,0.04269114899326807,14,2.54,61.15,0.15010515247108416,0.005420760703170136,2.1055433131269896,base,adaptive disabled,1.0,73.6,60,68,90,80,NEW_YORK,neutral,bullish,FVG,BOS bullish | Vol 2.5x | FVG | ChoCH | Session:NEW_YORK | Zone:FVG | MTF 14,BOS+2 | BodyStrong+1 | 1hN+1 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:NEW_YORK,0,0,-1.0,bull,0.4333,0,2.8583,0.1111,1.7877,-1,0.0,0.4169,1.4367,0.872,0.1859,1.421,1.0,0.2201,1.3125,1386,3,3,1.132,5.56,0,1.244,2
ETHUSDT,1405,1476,1776283200,1776348000,LONG,SL,2363.08,2394.06292826,2621.2710688,2311.44178624,-0.6327799244154212,-0.643076426972058,0.010296502556636873,15,2.06,69.91,0.5602605863192167,0.004657050948543589,1.4635629912911994,base,adaptive disabled,1.0,90.5,90,100,90,80,DEAD_ZONE,bullish,bullish,FVG,BOS bullish | Vol 2.1x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:DEAD_ZONE | Strong1h+1,0,0,-1.0,bull,0.3258,0,3.9059,0.1111,1.4716,-1,0.0,1.3593,0.4906,1.937,0.1507,1.129,1.0,0.3387,0.5625,1404,1,3,1.951,2.037,1,0.713,1
