ts,hour_utc,coin,spread,cost54,cost109
1789355495,3,BTC,0.000001,0.000001,0.000001
1789355495,3,ETH,0.000080,0.000040,0.000040
1789355495,3,SOL,0.000099,0.000049,0.000049
1789355495,3,ADA,0.000481,0.000241,0.000241
1789355495,3,LINK,0.000350,0.000244,0.000254
1789355495,3,AVAX,0.000135,0.000067,0.000067
1789355495,3,XRP,0.000291,0.000146,0.000146
1789355495,3,DOT,0.000980,0.000571,0.000579
1789355495,3,XLM,0.000055,0.000511,0.000846
1789355495,3,SUI,0.000419,0.000209,0.000209
1789355495,3,HYPE,0.000151,0.000087,0.000114
1789355495,3,ZEC,0.000396,0.000206,0.000225
1789355495,3,AAVE,0.001752,0.001142,0.001489
1789355495,3,TAO,0.000423,0.000542,0.000589
1789355495,3,NEAR,0.000842,0.000421,0.000421
1789355495,3,BILL,0.006130,0.003720,0.003776
1789355545,3,BTC,0.000001,0.000001,0.000001
1789355545,3,ETH,0.000079,0.000040,0.000040
1789355545,3,SOL,0.000099,0.000049,0.000049
1789355545,3,ADA,0.000481,0.000241,0.000241
1789355545,3,LINK,0.000350,0.000244,0.000254
1789355545,3,AVAX,0.000673,0.000337,0.000379
1789355545,3,XRP,0.000146,0.000114,0.000130
1789355545,3,DOT,0.000882,0.000522,0.000531
1789355545,3,XLM,0.001654,0.000982,0.001547
1789355545,3,SUI,0.000558,0.000279,0.000279
1789355545,3,HYPE,0.000276,0.000148,0.000162
1789355545,3,ZEC,0.000009,0.000005,0.000005
1789355545,3,AAVE,0.001831,0.001222,0.001692
1789355545,3,TAO,0.000846,0.000423,0.000423
1789355545,3,NEAR,0.000842,0.000421,0.000421
1789355545,3,BILL,0.006121,0.003714,0.003770
1789355602,3,BTC,0.000001,0.000001,0.000001
1789355602,3,ETH,0.000024,0.000012,0.000012
1789355602,3,SOL,0.000099,0.000049,0.000049
1789355602,3,ADA,0.000481,0.000240,0.000240
1789355602,3,LINK,0.000263,0.000200,0.000210
1789355602,3,AVAX,0.000538,0.000269,0.000312
1789355602,3,XRP,0.000146,0.000114,0.000130
1789355602,3,DOT,0.001078,0.000621,0.000629
1789355602,3,XLM,0.000606,0.000458,0.000944
1789355602,3,SUI,0.000279,0.000140,0.000140
1789355602,3,HYPE,0.000113,0.000056,0.000056
1789355602,3,ZEC,0.000460,0.000238,0.000257
1789355602,3,AAVE,0.000635,0.000542,0.000977
1789355602,3,TAO,0.000423,0.000542,0.000589
1789355602,3,NEAR,0.000421,0.000210,0.000210
1789355602,3,BILL,0.006116,0.003693,0.003758
1789356105,3,BTC,0.000001,0.000001,0.000001
1789356105,3,ETH,0.000004,0.000002,0.000002
1789356105,3,SOL,0.000198,0.000099,0.000099
1789356105,3,ADA,0.000481,0.000241,0.000241
1789356105,3,LINK,0.000351,0.000245,0.000254
1789356105,3,AVAX,0.000404,0.000202,0.000245
1789356105,3,XRP,0.000218,0.000109,0.000172
1789356105,3,DOT,0.000589,0.000376,0.000384
1789356105,3,XLM,0.002536,0.001305,0.001314
1789356105,3,SUI,0.000140,0.000175,0.000263
1789356105,3,HYPE,0.000251,0.000135,0.000149
1789356105,3,ZEC,0.000343,0.000171,0.000171
1789356105,3,AAVE,0.000317,0.001064,0.001527
1789356105,3,TAO,0.000849,0.000425,0.000425
1789356105,3,NEAR,0.000420,0.000210,0.000210
1789356105,3,BILL,0.005378,0.003327,0.003393
1789356156,3,BTC,0.000001,0.000001,0.000001
1789356156,3,ETH,0.000068,0.000034,0.000034
1789356156,3,SOL,0.000099,0.000049,0.000049
1789356156,3,ADA,0.000481,0.000241,0.000241
1789356156,3,LINK,0.000263,0.000270,0.000289
1789356156,3,AVAX,0.000269,0.000135,0.000178
1789356156,3,XRP,0.000218,0.000109,0.000124
1789356156,3,DOT,0.000687,0.000425,0.000434
1789356156,3,XLM,0.002868,0.001471,0.001480
1789356156,3,SUI,0.000279,0.000140,0.000140
1789356156,3,HYPE,0.000238,0.000123,0.000150
1789356156,3,ZEC,0.000072,0.000044,0.000063
1789356156,3,AAVE,0.000475,0.000407,0.000844
1789356156,3,TAO,0.000849,0.000424,0.000424
1789356156,3,NEAR,0.000838,0.000419,0.000419
1789356156,3,BILL,0.006130,0.003701,0.003767
1789356212,3,BTC,0.000001,0.000001,0.000001
1789356212,3,ETH,0.000004,0.000002,0.000002
1789356212,3,SOL,0.000198,0.000099,0.000099
1789356212,3,ADA,0.000481,0.000241,0.000241
1789356212,3,LINK,0.000263,0.000201,0.000210
1789356212,3,AVAX,0.000943,0.000472,0.000472
1789356212,3,XRP,0.000146,0.000114,0.000130
1789356212,3,DOT,0.001276,0.000720,0.000728
1789356212,3,XLM,0.002593,0.001333,0.001343
1789356212,3,SUI,0.000418,0.000209,0.000209
1789356212,3,HYPE,0.000113,0.000058,0.000159
1789356212,3,ZEC,0.000325,0.000164,0.000168
1789356212,3,AAVE,0.001268,0.000804,0.001241
1789356212,3,TAO,0.000850,0.000425,0.000425
1789356212,3,NEAR,0.000420,0.000210,0.000210
1789356212,3,BILL,0.005366,0.003993,0.004106
1789356716,3,BTC,0.000001,0.000001,0.000001
1789356716,3,ETH,0.000004,0.000002,0.000002
1789356716,3,SOL,0.000198,0.000099,0.000099
1789356716,3,ADA,0.000964,0.000482,0.000482
1789356716,3,LINK,0.000351,0.000245,0.000254
1789356716,3,AVAX,0.000404,0.000202,0.000202
1789356716,3,XRP,0.000218,0.000109,0.000109
1789356716,3,DOT,0.000589,0.000294,0.000294
1789356716,3,XLM,0.001596,0.001225,0.001815
1789356716,3,SUI,0.000418,0.000209,0.000209
1789356716,3,HYPE,0.000013,0.000124,0.000191
1789356716,3,ZEC,0.000162,0.000242,0.000326
1789356716,3,AAVE,0.000397,0.000259,0.000269
